parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B09V3NNHB4,G-Star Raw Men's 3301 Slim Fit Jeans,4085,4.3,AMAZON FASHION,G-Star Raw,129.65,https://m.media-amazon.com/images/I/81m-zZYRXTL._AC_UL1500_.jpg,True,OK (image/jpeg),"The G-Star 3301 Slim Fit Jeans feature a classic 5-pocket construction inspired by authentic Western denim, updated with a slimmer leg for a clean look. The 3301 is a classic 5-pocket jean and represe..."
B07D9K8KLL,Soojun Mens Casual Loose Fit Elastic Waist Jeans Denim Pants,3449,4.2,AMAZON FASHION,Soojun,31.69,https://m.media-amazon.com/images/I/71SxcLjp-4L._AC_UL1500_.jpg,True,OK (image/jpeg),
B08KR19G7S,Levi's Women's Mile High Super Skinny Jeans,3437,4.4,AMAZON FASHION,Levi's,27.73,https://m.media-amazon.com/images/I/71-LAOlkFhL._AC_UL1500_.jpg,True,OK (image/jpeg),Ultra high rise with a super sleek silhouette. Ultra high rise with a super sleek silhouette. Levi's Sculpt with Hyperstretch is an advanced blend of soft cotton fibers for extreme stretch.
B07WRJZC89,SANSTHS Women Black Buckle Belt Casual Leather Belt with Black Metal Buckle for Jeans Pants Dresses,3356,4.5,AMAZON FASHION,SANSTHS,14.99,https://m.media-amazon.com/images/I/710G9GJKsJL._AC_UL1500_.jpg,True,OK (image/jpeg),
B0BNHQ4QT6,Levi's Women's 725 High Rise Bootcut Jeans (Standard and Plus),3306,4.4,AMAZON FASHION,Levi's,48.65,https://m.media-amazon.com/images/I/51dH4NUv7uS._AC_UL1000_.jpg,True,OK (image/jpeg),"Designed to flatter, hold and lift. A classic leg-lengthening silhouette. Constructed for timeless style and all-day comfort. Levi's Sculpt with Hypersoft is super-soft for enhanced comfort with suppo..."
B0982TJQZM,"KIDSCOOL SPACE Baby Girl Boy Slim Jeans,D Ring Elastic Band Inside Ripped Denim Pants",2984,4.4,AMAZON FASHION,KIDSCOOL SPACE,21.99,https://m.media-amazon.com/images/I/711lCMQLhoL._AC_UL1460_.jpg,True,OK (image/jpeg),"About KIDSCOOL SPACE KIDSCOOL SPACE is a professional kids jean manufacturer & seller over decades,we made a large quantity many kinds of good quality and popular jean clothes every year This is a cut..."
B0C1VN8L36,HannahZone Womens Ripped Bell Bottom Plus Size Jeans Elastic Waist Flared Jean Pants 5XL,2888,4.0,AMAZON FASHION,HannahZone,33.99,https://m.media-amazon.com/images/I/51AFnb0ogGS._AC_UL1300_.jpg,True,OK (image/jpeg),
B0BKJD3325,Silver Jeans Co. Men's Gordie Loose Fit Straight Leg Jeans,2800,4.5,AMAZON FASHION,Silver Jeans Co.,51.91,https://m.media-amazon.com/images/I/91RZhP-JiaL._AC_UL1500_.jpg,True,OK (image/jpeg),"Perfect for larger builds, gordie sits at the waist and features an extra loose fit through the hip and thigh. This pair's crafted in comfortable low-stretch denim that's great for all-day wear, and i..."
B077SVKMLN,Levi's Women's Pull-on Jeans,2709,4.2,AMAZON FASHION,Levi's,,https://m.media-amazon.com/images/I/81nUwVEz5BL._AC_UL1500_.jpg,True,OK (image/jpeg),"The classic look of a jean with the supreme comfort and mobility of a legging. These jeans feature an elastic waistband and stretch fabrication, allowing you to slip on with ease and stay comfortable ..."
B07FKVCY9L,Lavnis Men's Moto Biker Jeans Shorts Ripped Distressed Denim Shorts with Broken Hole,2705,4.0,AMAZON FASHION,Lavnis,31.99,https://m.media-amazon.com/images/I/71GY9xLQbCL._AC_UL1008_.jpg,True,OK (image/jpeg),
B07C9YCSBP,CHARTOU Womens Chic Floral Embroidered High-Rise Bell Bottom Flare Jeans Broad Feet Long Denim Pants,2607,4.3,AMAZON FASHION,CHARTOU,36.99,https://m.media-amazon.com/images/I/71T-EIWO8kL._AC_UL1500_.jpg,,not checked,
B0716HYXRT,"JingHao Mens Belt Big and Tall 30""-65"",Genuine Leather Belts for Men,Casual Work Dress Jeans Belt,Black Brown Width 1.45"" A18",2377,4.4,AMAZON FASHION,JingHao,19.89,https://m.media-amazon.com/images/I/71fxVpFeh9L._AC_UL1500_.jpg,,not checked,
B0BGRK43Q5,Levi's Men's 514 Straight Fit Cut Jeans (Legacy),2371,4.3,AMAZON FASHION,Levi's,69.5,https://m.media-amazon.com/images/I/819GaqqZKJL._AC_UL1500_.jpg,,not checked,
B00M3PK75I,jeansian Men's 3 Packs Ourdoor Sport Quick Dry Polo T-Shirt Tee Tshirt Golf Tennis Bowling Fit LSL195,2194,4.4,AMAZON FASHION,jeansian,42.99,https://m.media-amazon.com/images/I/71j0q5o8bKL._AC_UL1100_.jpg,,not checked,
B0C4K1LJYN,Calvin Klein Men's Straight Fit Jeans,2155,4.5,AMAZON FASHION,Calvin Klein,132.89,https://m.media-amazon.com/images/I/714eLJOHJwL._AC_UL1500_.jpg,,not checked,"Designed with a straight fit, these reimagined denim jeans feature 5-pocket styling and sit at the waist with straight legs. Updated with metal hardware in a light nickel finish, redrawn back pocket o..."
B097GWK5VV,"FAIRWIN Stretch Belts for Men 2 Pack Elastic Braided Golf 1.3"" Woven Casual Men’s Belts No Hole for Jeans Pants",1953,4.5,AMAZON FASHION,FAIRWIN,24.59,https://m.media-amazon.com/images/I/81xeSnzXpTL._AC_UL1500_.jpg,,not checked,
B085F38RC7,Gloria Vanderbilt Women's Amanda Capri Jeans,1946,4.3,AMAZON FASHION,Gloria Vanderbilt,,https://m.media-amazon.com/images/I/61Pc5NDzffS._AC_UL1500_.jpg,,not checked,"The # 1 selling women's jean in America in a capri! Amanda capri jean has the same five pockets that is contoured through hip and thigh and hits at natural waist line, for that comfort fit you've come..."
B09TKZ7BC7,luvamia Women's Classic High Waist Stretch Loose Balloon Tapered Jeans Mom Jeans,1753,3.8,AMAZON FASHION,luvamia,39.99,https://m.media-amazon.com/images/I/71u75nxVF8L._AC_UL1500_.jpg,,not checked,
B09TLG6PSP,luvamia Women's High Waisted Ripped Denim Shorts Frayed Raw Hem Casual Jeans Shorts,1681,3.7,AMAZON FASHION,luvamia,34.49,https://m.media-amazon.com/images/I/81DsmjIVOuL._AC_UL1500_.jpg,,not checked,
B0BHWMW53B,MetHera Women's Le Mel Classic Stretch Curvy Bootcut Jeans,1632,4.3,AMAZON FASHION,MetHera,39.99,https://m.media-amazon.com/images/I/61Wez6y24LL._AC_UL1500_.jpg,,not checked,
B09NB8X416,Levi's Girls' 710 Super Skinny Fit Jeans,1603,4.6,AMAZON FASHION,Levi's,24.0,https://m.media-amazon.com/images/I/81ajanCWPmL._AC_UL1500_.jpg,,not checked,Levi Strauss & Co. has been innovating since 1873. Now we continue to move forward and our commitment to quality and innovation continues. Levi's® are made to be lived in - we want our kids to have th...
