parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0BGRHX51N,Levi's Men's 501 Original Fit Jeans,83929,4.5,AMAZON FASHION,Levi's,52.87,https://m.media-amazon.com/images/I/61KZWAUBVbL._AC_UL1000_.jpg,True,OK (image/jpeg),The original blue jean since 1873 reimagined as a jogger with All-American style and scrunched at the ankles
B0BGRJ1JTZ,Levi's Men's 514 Straight Fit Jeans,34279,4.5,AMAZON FASHION,Levi's,46.22,https://m.media-amazon.com/images/I/71g8Eny1auL._AC_UL1500_.jpg,True,OK (image/jpeg),"Classic straight-fit jeans ideal for medium to athletic builds, Levi's 514 Straight Fit Jeans are versatile and comfortable. They sit low on the waist with a regular fit through the thigh and a straig..."
B0BFZVHCB8,Signature by Levi Strauss & Co. Gold Label Men's Regular Fit Flex Jeans (Available in Big & Tall),31737,4.5,AMAZON FASHION,Signature by Levi Strauss & Co. Gold Label,23.3,https://m.media-amazon.com/images/I/81f-kWC9OgL._AC_UL1500_.jpg,True,OK (image/jpeg),"Crafted from premium durable denim, the Signature by Levi Strauss and Co.™ Men’s Regular Fit Jeans offer a classic fit through the seat and thigh and are cut straight to ankle. There is no shortage of..."
B0BFZPB9YF,Levi's Men's 569 Loose Straight Fit Jeans,24865,4.5,AMAZON FASHION,Levi's,49.99,https://m.media-amazon.com/images/I/81JKlKaCLpL._AC_UL1500_.jpg,True,OK (image/jpeg),"A modern, laid-back fit. Roomy feel, but not baggy."
B0BGRJ3LJ9,Levi's Men's 511 Slim Fit Stretch Jeans,18046,4.5,AMAZON FASHION,Levi's,57.6,https://m.media-amazon.com/images/I/61h-M8VmIpL._AC_UL1367_.jpg,True,OK (image/jpeg),
B07CJC477H,"SUOSDEY No Buckle Elastic Stretch Belts for Men and Women, Comfortable Invisible Belts for Jeans Pants",16502,4.6,AMAZON FASHION,SUOSDEY,12.19,https://m.media-amazon.com/images/I/71cUS22j85S._AC_UL1500_.jpg,True,OK (image/jpeg),
B08P67X49C,The Children's Place Boys' Basic Straight Leg Jeans,15975,4.6,AMAZON FASHION,The Children's Place,24.95,https://m.media-amazon.com/images/I/81E2a-W01VL._AC_UL1500_.jpg,True,OK (image/jpeg),Pair these comfy stretch jeans with his favorite graphic tee or top for a casual look or a cool jacket for a edgy look
B076CTRTCV,Signature by Levi Strauss & Co. Gold Label Men's Bootcut Jeans (Available in Big & Tall),14620,4.5,AMAZON FASHION,Signature by Levi Strauss & Co. Gold Label,27.99,https://m.media-amazon.com/images/I/81YRxi-pWDL._AC_UL1500_.jpg,True,OK (image/jpeg),"Signature by Levi Strauss & Co.™ Men’s Boot Cut Fit Jeans provide dependable all day comfort and authentic style. Crafted from premium durable denim, these Boot Cut Jeans fit easy through the seat and..."
B00KCR9XPE,Levi's Women's Straight 505 Jeans,14593,4.3,AMAZON FASHION,Levi's,,https://m.media-amazon.com/images/I/61Yjcr0hRaL._AC_UL1500_.jpg,True,OK (image/jpeg),"A true classic. The 505 women's straight leg jean offers an essential, versatile fit that works with just about anything. Pair them with flats or heels depending on your preference. Find your favorite..."
B01MTYPTQH,Boy's Skinny Fit Ripped Destroyed Distressed Stretch Slim Jeans Pants,12955,4.4,AMAZON FASHION,FREDD MARSHALL,23.99,https://m.media-amazon.com/images/I/71VO+zG3owL._AC_UL1500_.jpg,True,OK (image/jpeg),
B0BYRY2TG8,HYBRID Women's Butt Lift Super Comfy Stretch Denim Skinny Yoga Jeans,11553,4.1,AMAZON FASHION,Hybrid & Company,28.69,https://m.media-amazon.com/images/I/71lMhtxN8DL._AC_UL1500_.jpg,,not checked,
B07P37Z1JR,beltox fine Men’s Casual Leather Jeans Belts 1 1/2” Wide 4MM Thick Alloy Prong Buckle Work Dress Belt for Men,11505,4.5,AMAZON FASHION,beltox fine,17.99,https://m.media-amazon.com/images/I/713a2aAUUNL._AC_UL1500_.jpg,,not checked,
B0964KXQNG,WallFlower Women's Legendary Bootcut Mid-Rise Insta Stretch Juniors Jeans (Standard and Plus),10581,4.3,AMAZON FASHION,WallFlower,,https://m.media-amazon.com/images/I/71AcbQXCfDL._AC_UL1500_.jpg,,not checked,"The Legendary Bootcut is our throwback inspired mid rise fit in stretch denim. Whether you’re looking for your go to jeans in a fresh wash or you want to try a new fit entirely, WallFlower has a littl..."
B0BHVK534G,Levi's Women's Classic Straight Jeans (Also Available in Plus),10436,4.3,AMAZON FASHION,Levi's,,https://m.media-amazon.com/images/I/51ZgR89ZXxL._AC_UL1000_.jpg,,not checked,"The comfort-meets-style essential, Levi's classic fits are the go-to jeans you'll wear everywhere. The classic straight jeans even out your silhouette with a straight leg-an essential part of your den..."
B09QT6ZMC3,Signature by Levi Strauss & Co. Gold Label Women's Mid Rise Slim Boyfriend Jeans (Standard and Plus),10384,4.4,AMAZON FASHION,Signature by Levi Strauss & Co. Gold Label,29.99,https://m.media-amazon.com/images/I/81x7pdIpCkL._AC_UL1500_.jpg,,not checked,"Made from premium denim with built-in stretch, Signature by Levi Strauss & Co. Women's Mid Rise Slim Boyfriend Jeans are a prime example of our denim heritage and expertise. With a slim cut through th..."
B08L17FJPN,"BULLIANT Belt for Men 2Pack, Mens Stretch Braided Web Belt Elastic for Casual Golf Hunting Pants Jeans,1 3/8""",10303,4.6,AMAZON FASHION,BULLIANT,30.99,https://m.media-amazon.com/images/I/81mXzrSFaYL._AC_UL1500_.jpg,,not checked,
B0BSF48BRK,Hybrid Women's Butt Lift Super Comfy Stretch Denim Capri Jeans,9348,4.0,AMAZON FASHION,Hybrid & Company,24.69,https://m.media-amazon.com/images/I/51gsxpYpxdL._AC_UL1274_.jpg,,not checked,
B07ZK3DPF6,Levi's Women's 721 High Rise Skinny Ankle Jeans,8468,4.4,AMAZON FASHION,Levi's,38.74,https://m.media-amazon.com/images/I/81OlVfvW8eL._AC_UL1500_.jpg,,not checked,"Inspired by vintage designs from the Levi's archives, these styles give a modern spin to retro trends. The 721 high-rise skinny jean is sleek, sexy and retro. It's the ultimate waist-defining fit. Thi..."
B081RVYV8Y,Signature by Levi Strauss & Co. Gold Label Men's Slim Fit Jeans,6576,4.5,AMAZON FASHION,Signature by Levi Strauss & Co. Gold Label,,https://m.media-amazon.com/images/I/81qgdETMhlS._AC_UL1500_.jpg,,not checked,Signature by Levi Strauss & Co Men's slim fit jeans will be the pair in your closet that's always put comfort first. These jeans fit slim through the seat and thigh and slim leg opening with a lot of ...
B098BZ73FP,The Children's Place Girls' Basic Bootcut Jeans,6377,4.6,AMAZON FASHION,The Children's Place,,https://m.media-amazon.com/images/I/71IzCM98ioL._AC_UL1100_.jpg,,not checked,Value-priced clothes and apparel that is fun & easy to put together
B071R2LXYL,Enrica Men's Casual Printed Jeans Skinny Denim Pants,6297,4.3,AMAZON FASHION,Enrica,35.99,https://m.media-amazon.com/images/I/61tq-4uOSKL._AC_UL1010_.jpg,,not checked,
B0BWJS9T97,Levi's Women's 724 High Rise Straight Jeans ​​​​​(Also Available in Plus),6176,4.2,AMAZON FASHION,Levi's,59.99,https://m.media-amazon.com/images/I/51GWbUonyiS._AC_UL1000_.jpg,,not checked,"Levi's signature 'Lot 700' fits are the ultimate look-amazing jeans, designed to flatter, hold and lift. A versatile fit with a classic high-rise. Flatters your waist and holds you Sculpt with Hyperso..."
B07XXP9W9C,Women's Elastic Ripped Hole Classic Denim Bell Bottom Jeans,6117,3.8,AMAZON FASHION,shengfan,,https://m.media-amazon.com/images/I/61SEbTuYE1L._AC_UL1500_.jpg,,not checked,
B0BZF5K5SZ,Levi's Women's Ribcage Straight Ankle Jeans,5767,4.3,AMAZON FASHION,Levi's,52.87,https://m.media-amazon.com/images/I/51y3AeLs7YL._AC_UL1000_.jpg,,not checked,Levi's highest high rise with a classic straight leg. Levi's highest high rise with a classic straight leg. Iconic leather patch at back waist. Made with an extra-high rise and button fly to help defi...
B0BY8NSJHQ,Levi's Boys' 505 Regular Fit Jeans,5736,4.6,AMAZON FASHION,Levi's,24.99,https://m.media-amazon.com/images/I/81K9XMZlXpL._AC_UL1500_.jpg,,not checked,Levi Strauss & Co. has been innovating since 1873. Now we continue to move forward and our commitment to quality and innovation continues. Levi's® are made to be lived in - we want our kids to have th...
B0B6J18Q5M,LONGBIDA Men's Ripped Destroyed Jeans Stretchy Knee Holes Slim Fit Tapered Leg Denim Pants,5553,4.3,AMAZON FASHION,LONGBIDA,29.99,https://m.media-amazon.com/images/I/51GbBo5lEAL._AC_UL1001_.jpg,,not checked,
B01EW2D8YG,Hybrid & Company Womens Super Stretch Comfy Denim Skinny Jeans,5319,4.2,AMAZON FASHION,Hybrid & Company,24.99,https://m.media-amazon.com/images/I/71AuRFLj0EL._AC_UL1500_.jpg,,not checked,
B07Z48RW2L,Bell Bottom Jeans for Women Ripped High Waisted Classic Flared Pants,5192,3.9,AMAZON FASHION,LaiyiVic,35.99,https://m.media-amazon.com/images/I/51Zv3uZZ4oL._AC_UL1200_.jpg,,not checked,
B0C56Z2867,Sidefeel Women Button Up Bell Bottom Jeans Ripped Flare Fitted Denim Pants Size,5165,3.8,AMAZON FASHION,Sidefeel,39.99,https://m.media-amazon.com/images/I/61kMr7IWdqL._AC_UL1500_.jpg,,not checked,
B098RP2ZF1,The Children's Place Baby Single and Toddler Girls Basic Bootcut Jeans,5142,4.7,AMAZON FASHION,The Children's Place,,https://m.media-amazon.com/images/I/81McNNoQNvL._AC_UL1500_.jpg,,not checked,"A great fit, super wash and extra comfy to boot for your little man"
