parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B09MJWKDSW,HUNGSON Mens Slim Fit Jeans Skinny Stretch Denim Pants for Men Straight Fit,940,4.0,AMAZON FASHION,HUNGSON,33.99,https://m.media-amazon.com/images/I/41gG2SGmWrS._AC_UL1300_.jpg,True,OK (image/jpeg),
B0862Y45P8,Levi's Women's 525 Perfect Waist Straight Jeans,919,4.4,AMAZON FASHION,Levi's,,https://m.media-amazon.com/images/I/81VtkNHs0JL._AC_UL1500_.jpg,True,OK (image/jpeg),"Levi's 525 perfect waist straight leg jeans have a no gap waistband with hidden elastic, designed to flatten your tummy. More than 140 years after inventing the blue jean, one thing is clear: Levi’s c..."
B074K3FLFM,FASHION LOVER High Rise-Waisted Colored Destroyed Ripped Distressed Jeans Pants for Women,821,4.2,AMAZON FASHION,FASHION LOVER,29.99,https://m.media-amazon.com/images/I/6121fB22ryL._AC_UL1500_.jpg,True,OK (image/jpeg),High Waisted - Rise ladies women Mutil-Color stretch skinny Jeans Pants
B081ZHPRBM,Vibrant Women's Juniors Ripped Rise Skinny Jeans,789,4.4,AMAZON FASHION,Vibrant,43.49,https://m.media-amazon.com/images/I/61EeS2SYVuL._AC_UL1001_.jpg,True,OK (image/jpeg),
B07BYXZM6W,Cinch Men's Green Label Original Fit Dark Stonewash Jeans,780,4.6,AMAZON FASHION,Cinch,49.94,https://m.media-amazon.com/images/I/61NAAWFjqAL._AC_UL1024_.jpg,True,OK (image/jpeg),"CinchDark stonewashGreen labelOriginal fitFitted waistRelaxed thigh and kneeOriginal riseSlightly tapered leg16-3/8"" leg openingMB90530002These Men's Cinch Green Label Original Fit Dark Stonewash Jean..."
B07TQP23TJ,Cover Girl Women's Juniors and plus size ripped distressed tight skinny jeans,672,3.8,AMAZON FASHION,cover girl,,https://m.media-amazon.com/images/I/71keYQ8mzGL._AC_UL1500_.jpg,True,OK (image/jpeg),"Rely on Cover Girl Jeans For the Finest Stretchy Jeans for girls and woman looking to show their curves and bring out their finest shape. A full line of Ripped, distressed, low rise, high waisted or m..."
B09TZQFJZJ,Vetinee Womens Overalls Denim Stretch Straight Leg Jeans Overall Regular Fit Bib Jean Jumpsuits Comfy Adjustable Straps,660,4.3,AMAZON FASHION,Vetinee,44.99,https://m.media-amazon.com/images/I/614RmLB+R7L._AC_UL1300_.jpg,True,OK (image/jpeg),
B01GQTYTJ6,BodiLove Women's Stretchy 5 Pocket Skinny Distressed Denim Jeans,639,4.4,AMAZON FASHION,BodiLove,24.9,https://m.media-amazon.com/images/I/71W7JuNNcWL._AC_UL1500_.jpg,True,OK (image/jpeg),"Our Distressed Skinny Jeans are a must have this Fall for the back to school season! These unique and trendy skinny jeans feature a slim stretch fit, ankle length hem, front zipper & button closure, a..."
B0988DCPY3,NYDJ Women's Pull-On Skinny Ankle Jeans | Slimming & Flattering Fit,539,3.9,AMAZON FASHION,NYDJ,,https://m.media-amazon.com/images/I/61hEbCkMj1L._AC_UL1500_.jpg,True,OK (image/jpeg),Your other jeans might get jealous. NYDJ’s Pull-On Skinny Ankle Jeans with Side Slits are a style no-brainer you’ll reach for again and again. Our revolutionary fit gives you a classic silhouette that...
B0774B5L8M,Emmababy Toddler Girls Clothes Kids Baby Off Shoulder Tops Fall Ruffle Sleeve Shirt+Ripped Jeans Long Pants Denim Outfits,518,4.4,AMAZON FASHION,Emmababy,10.79,https://m.media-amazon.com/images/I/61LbkWYYCXL._AC_UL1098_.jpg,True,OK (image/jpeg),Size(inch) 80 Tops Length: 11.81 Bust: 22.05 Waist: 16.14 Pants Length: 17.72 Advised Age: 1-2 Years 90 Tops Length: 12.60 Bust: 23.23 Waist: 16.93 Pants Length: 19.69 Advised Age: 2-3 Years 100 Tops ...
