parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B09DCNKHWT,SRETOUU Men's Distressed Ripped Slim Fit Skinny Washed Stretch Tapered Leg with Holes Ripped Jeans,99,4.3,AMAZON FASHION,SRETOUU,19.9,https://m.media-amazon.com/images/I/81EkITxYZJL._AC_UL1500_.jpg,True,OK (image/jpeg),"Color Disclaimer : Due to monitor settings, monitor pixel definitions, we cannot guarantee that the color you see on your screen as an exact color of the product. Please check the size chart. We stron..."
B093BJC42K,Women's Classic Elastic Slim Bootcut Jeans Button Fly Bell Bottom High Waisted Jeans for Women,98,3.6,AMAZON FASHION,Akivide,34.99,https://m.media-amazon.com/images/I/51yeE6GmSyL._AC_UL1000_.jpg,True,OK (image/jpeg),Decoration/Process:Buckle Edition type:Regular Fit Closure Type:Buttons Pants Length:Long Waistlines:Natural Pants type:Bell-Bottomtrousers Silhouette:H-Line Thickness:Regular Size Type:Regular Size A...
B077G8TQ5Y,Bockle® 5 GAY-ZIP gesteppt jeans leather pants trousers full zip,92,4.0,AMAZON FASHION,Bockle,193.0,https://m.media-amazon.com/images/I/51ilXhVjSJL._AC_UL1001_.jpg,True,OK (image/jpeg),These Bockle leather pants are made of cowhide aniline leather.The surface of the leather pants has retained the natural structure of the leather.High quality and always unique.Have fun wearing it!
B07D2MHQ9T,Chico's Women's Sateen Slim Crop Jeans,90,4.1,AMAZON FASHION,Chico's,,https://m.media-amazon.com/images/I/51n2mJsXuJL._AC_UL1250_.jpg,True,OK (image/jpeg),
B07QKZRWZM,YUKE Girls Skinny Fit Jeans Denim Distressed Ripped Hole Fashion Stretchy Pant 9-14 Age,88,4.1,AMAZON FASHION,YUKE,,https://m.media-amazon.com/images/I/81IdJw161TL._AC_UL1500_.jpg,True,OK (image/jpeg),"girl’s soft stretch distressed skinny jeans are a comfortable, stylish addition to your girl's wardrobe. Made of super soft and stretchy denim for a great feel, they are easy to pull on and just what ..."
B007647CLS,Tommy Hilfiger Men's Brown Belt - Dress or Casual Belt for Jeans with Solid Strap and Classic Single Prong Silver Buckle,87,4.0,AMAZON FASHION,Tommy Hilfiger,,https://m.media-amazon.com/images/I/8116XFzf-FL._AC_UL1500_.jpg,True,OK (image/jpeg),
B07XJL6MVX,Wrangler Women's Premium Patch Booty Up Technology Sits Above Hip Jeans,87,4.3,AMAZON FASHION,Wrangler,,https://m.media-amazon.com/images/I/51SsvFbvnvL._AC_UL1023_.jpg,True,OK (image/jpeg),"Women's wrangler premium patch booty up ""carolina breakaway"" jean"
B09K4WV5XX,Level 7 Men's Premium Jeans Overdyed Black Slim Taper Leg Mended Broken Holes,85,4.1,AMAZON FASHION,Level 7,72.0,https://m.media-amazon.com/images/I/81L44b+WxgL._AC_UL1500_.jpg,True,OK (image/jpeg),
B08G37DVDW,Blue Bay Industries Mens Jeans Regular Fit Straight Leg 5 Pockets Zipper Fly 100% Cotton Denim Boyfriend,82,3.9,AMAZON FASHION,Blue Bay Industries,25.99,https://m.media-amazon.com/images/I/71LcjTTZ+FL._AC_UL1500_.jpg,True,OK (image/jpeg),"Blue Bay Men’s Jeans stand for authenticity. Designed to make a contemporary statement, these 100% cotton jeans are made using the best handpicked Washed denim fabric. The straight legs, makes this pa..."
B0BKJD38HH,Silver Jeans Co. Women's Infinite Fit High Rise Skinny Leg Jeans,81,4.3,AMAZON FASHION,Silver Jeans Co.,47.6,https://m.media-amazon.com/images/I/81dd3TVNp7L._AC_UL1500_.jpg,True,OK (image/jpeg),"You’ve never seen jeans like these. Introducing Infinite Fit, a high-rise skinny jean that stretches to fit up to four sizes. These stretchy denim jeans feature 90% elasticity and a supple feel that m..."
