parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B01N322FR3,Mi in-Ear Headphones Basic (Silver),4575,4.3,All Electronics,Xiaomi,14.99,https://m.media-amazon.com/images/I/516f1XuEtBL._AC_SL1000_.jpg,True,OK (image/jpeg),Mi In-Ear Headphones Basic (Silver)
B08TTT6F56,"Zeskit Premium 3.5mm Jack Male to Female AUX Audio Extension Cable, TRRS 4 Poles for Headphones with Mic, Speakers - 12ft",4514,4.6,All Electronics,Zeskit,8.99,https://m.media-amazon.com/images/I/71N0c-xjbnL._SL1500_.jpg,True,OK (image/jpeg),"Now that entire music libraries have come off the living room shelves and travel with us in purses and pockets, our personal entertainment has become a part of our everyday lives like never before. An..."
B09XX4J56H,"Genuine Leather Case Compatible with AirPods Pro Case, VOMA Protective Cover for AirPods Pro Wireless Charging Case Headphones, Soft Leather Cover with Keychain Retro Floral",4484,4.6,Cell Phones & Accessories,VOMA,11.99,https://m.media-amazon.com/images/I/71UGKF4Dh3L._AC_SL1500_.jpg,True,OK (image/jpeg),
B07Q2C85LP,Replacement Ear Cushion Pads Cover Compatible with Beats Studio 2.0 Wireless/Wired and Studio 3.0 Over Ear Headphones only by Dr.DRE-1 Pair(Floral Black),3813,4.5,All Electronics,cipher.v,11.28,https://m.media-amazon.com/images/I/71C5HQc2jBL._AC_SL1000_.jpg,True,OK (image/jpeg),Professional Replacement Earpads Cushion for Beats Studio 2.0 / 3.0 Over Ear Headphones only FIT BEATS HEADPHONES PERFECTLY COMPATIBLE for Beats by Dr. Dre Studio 2.0 Wired/Wireless & Beats Studio 3.0...
B0C3LZNC5T,"CableCreation 3.5mm Audio Extension Cable, Angle 3.5mm Male to Female Aux Extension Cord Compatible with Beats Headphones, Echo Dog, Phones, Speakers, Home& Car Stereo, 3Feet",3741,4.6,Industrial & Scientific,CableCreation,6.99,https://m.media-amazon.com/images/I/71jOYU6NJOL._SL1500_.jpg,True,OK (image/jpeg),
B07NW9X5BW,"PHILIPS UpBeat SHE2405 in-Ear Headphones, in-line Mic - White, One Size (SHE2405WT/00)",3598,3.9,All Electronics,PHILIPS,9.99,https://m.media-amazon.com/images/I/51UMVFfO9OL._AC_SL1000_.jpg,True,OK (image/jpeg),"With Philips upbeat headphones, show your colors and match your style! In-ear are designed to fit ear geometry for super comfort with natural fit. A modern earphones design with translucent Housing fo..."
B09MF25SCF,"JBL Tune 215TWS True Wireless Earbud Headphones - Pure Bass Sound, Bluetooth, 25H Battery, Dual Connect (Black)",3450,4.3,All Electronics,JBL,69.95,https://m.media-amazon.com/images/I/61kqobhdpcL._AC_SL1500_.jpg,True,OK (image/jpeg),"Feel at one with your music and your world, with no wires holding you back. Your favorite music sounds better with JBL Pure Bass. Ultra-comfortable, the JBL Tune 215TWS headphones keep you on top of y..."
B07S1582YY,"Jabra Move Style Edition, Black – Wireless Bluetooth Headphones with Superior Sounds Quality, Long Battery Life, Ultra-Light and Comfortable Wireless Headphones, 3.5 mm Jack Connector Included",3434,4.3,Cell Phones & Accessories,Jabra,149.95,https://m.media-amazon.com/images/I/71olPcNTszL._AC_SL1500_.jpg,True,OK (image/jpeg),"Jabra Move Style Edition is designed for music on the move. These wireless headphones feature the crisp digital sound of Jabra’s signature (Digital Signal Processing) DSP that gives your music, movies..."
B08Y5LDGQB,"USB C Headphones, Type C Earphones for Samsung S21 S22 S23 Ultra 5G USB C Earbuds Magnetic HiFi Stereo DAC Earphone Mic Wired Headphone for Android Galaxy S20 FE A54 Note 20 Google Pixel 7 Pro 7A 6A 6",3388,4.3,All Electronics,iMangoo,13.98,https://m.media-amazon.com/images/I/61i2KAzvneL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BB5B1H73,Skullcandy Riff Wired On-Ear Headphones - White/Crimson,3123,4.2,All Electronics,Skullcandy,24.95,https://m.media-amazon.com/images/I/71TRquH8RYL._AC_SL1500_.jpg,True,OK (image/jpeg),"Lightweight, stylish headphones with a virtually indestructible headband. Riff let's you manage calls and tracks with buttons on the ear cups and even folds up when you're packing it on the go. It's e..."
B08H7XC6KW,"OAPRIRE Headphone Hanger Wall Mount (2 Pack) - Headphone Holder Kit with Cable Clip, Universal Headphone Stand for Sennheiser, Sony, Bose, Beats, AKG, Gaming Headphones, Earphones (Clear Green)",2998,4.6,All Electronics,OAPRIRE,,https://m.media-amazon.com/images/I/61x+QVuygKL._AC_SL1500_.jpg,,not checked,
B0BLCGPBDM,"PALOVUE Wireless Earbuds Bluetooth Headphones, Wireless Earphones CVC8.0 Noise Cancelling Earbuds with Touch Control and 4 Mic for Clearer Call, Deep Bass Stereo in-Ear Headphones Qualcomm CSR Chip",2887,4.1,All Electronics,PALOVUE,13.99,https://m.media-amazon.com/images/I/81Rkx7S02EL._AC_SL1500_.jpg,,not checked,
B0C1KX2J75,"SoundPEATS Q30 HD Bluetooth Headphones in-Ear Stereo Wireless 5.0 Magnetic Earphones IPX6 Sweatproof Earbuds with Mic for Sports, Immersive Bass, 10mm Drivers, aptX-HD, 13 Hours Playtime",2675,4.2,All Electronics,SoundPEATS,32.99,https://m.media-amazon.com/images/I/512bcXS0w-L._AC_SL1500_.jpg,,not checked,
B07WJ1FSL1,"OneCut 5 Pairs Silicone Ear Tips Compatible for AirPods 1&2,Silicone Soft Anti-Slip Sport Earbud Tips, Anti-Drop Ear Hook Gel Headphones Earphones Protective Accessories Tips (Pink)",2630,4.3,All Electronics,OneCut,8.99,https://m.media-amazon.com/images/I/51xSQRU-pSL._AC_SL1000_.jpg,,not checked,
B09HXQ2GM7,"APPHOME Headphone Hook Desk, Headphones Stand Under Table Foldable Headset Holder Clamp Hanger Mount, Built in Cable Clip Organizer for PC Gaming, Office, Backpack Bag Purse Hanging",2390,4.8,All Electronics,APPHOME,16.99,https://m.media-amazon.com/images/I/61S6A91gZ8S._AC_SL1500_.jpg,,not checked,
B08BNB4KY3,"Sennheiser Momentum 3 Wireless - Active Noise Cancelling Headphones with Alexa, Auto On/Off, Smart Pause Functionality and Smart Control App - White",2326,4.2,All Electronics,Sennheiser Consumer Audio,,https://m.media-amazon.com/images/I/61Z-UAzScZL._AC_SL1200_.jpg,,not checked,"With Active Noise Cancellation, innovative Transparent Hearing and Sennheiser’s proprietary neodymium transducers the Momentum 3 Wireless deliver exceptional sound like no other Bluetooth headphone to..."
B07Z2PTQXM,JARMOR Earpads Sweater Cover Protectors with Stretchable Knit Fabric for Beats Studio 3 / 2 Wireless/Wired Bose QC35 25 15 Headphones and Other Headsets with 3-4 Inch Ear Cushions [ 2 Pairs ] (Grey),1935,4.4,All Electronics,Jarmor,10.99,https://m.media-amazon.com/images/I/81VU9jQ7ohL._AC_SL1500_.jpg,,not checked,
B08YP4H8HS,Sakar LOL Surprise Volume Limiting Headphones,1831,3.7,All Electronics,Sakar,,https://m.media-amazon.com/images/I/71iXIuRxPSL._AC_SL1500_.jpg,,not checked,Do normal headphones and earphones cause your child discomfort? Now they can rock out to all their favorite music with L.O.L. Surprise! kid-safe headphones. these kids headphones feature unique volume...
B08T1TMN58,"BESTGOT Audio Cable with Microphone Volume Control Aux Cord 3.5mm (4.3ft / 1.3m) for PS4 Controller, Headphones, Tablet PC, Computer, Laptop,Car,Mobile Phone and More (1 Pack White)",1814,4.2,All Electronics,BESTGOT,7.99,https://m.media-amazon.com/images/I/61XcfmrqEQL._AC_SL1500_.jpg,,not checked,
B01LZ4D2T5,"3.5mm to RCA Cable, GearIT Pro Series 25 Feet Premium Gold Plated 3.5mm to RCA Audio Stereo Cable for Headphones, Home System, Car Stereo, iPods, iPhones, MP3 Players and More - Black",1759,4.7,All Electronics,GearIT,,https://m.media-amazon.com/images/I/81KyQqzH+OL._AC_SL1500_.jpg,,not checked,
B07N7TGW66,Sony WI-C400 Wireless in-Ear Headphones with up to 30 Hours Battery Life - Black,1672,4.2,All Electronics,Sony,,https://m.media-amazon.com/images/I/41BCsFdh9dL._AC_.jpg,,not checked,Sony WI-C400 Wireless in-Ear Headphones with up to 30 Hours Battery Life - Black
B008PA65II,SoundMAGIC E10C Wired Earbuds with Microphone HiFi Stereo Earphones Noise Isolating in Ear Headphones Powerful Bass Tangle Free Cord Blue,1561,4.2,All Electronics,SoundMAGIC,32.99,https://m.media-amazon.com/images/I/61Iz72T5NUL._AC_SL1500_.jpg,,not checked,
B07VS2Z5X7,"JARMOR Earpads Sweater Cover Protectors with Knit Fabric for Beats Solo 3 / 2 Wireless / Wired, Solo HD / Mixr / EP Headphones and Other Headsets with 1.57 - 3.14 Inch Ear Cushions [ 2 Pairs ] (Black)",1534,4.5,All Electronics,Jarmor,9.99,https://m.media-amazon.com/images/I/71BpcYp5V2L._AC_SL1500_.jpg,,not checked,
B09Q8XXXXJ,AMAFACE Skull Wireless Earbuds Cool Bluetooth Headphones for Skeleton Lovers 36H Play Time Waterproof Stereo Bluetooth Earphones USB-C LED Display Single/Twin Mode Cartoon Earset for iPhones Android,1496,4.3,All Electronics,AMAFACE,39.99,https://m.media-amazon.com/images/I/71ulBUQ4MRL._AC_SL1500_.jpg,,not checked,"Package include: 1*wireless earbuds,1*charging case,1*instruction,1*USB-C,1*package box"
B0BKSNF4G8,"YMOO Bluetooth 5.3 Transmitter Receiver for TV to 2 Wireless Headphones, 3.5mm Jack in-Flight Bluetooth Audio Adapter for Airplane, Dual Link AptX Adaptive/Low Latency/HD Audio for Home Stereo/PC/Gym",1495,4.1,All Electronics,YMOO,29.99,https://m.media-amazon.com/images/I/51iXu+4yeOL._AC_SL1500_.jpg,,not checked,
