parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B077V2BF3C,"Moread HDMI to VGA, 2 Pack, Gold-Plated HDMI to VGA Adapter (Male to Female) for Computer, Desktop, Laptop, PC, Monitor, Projector, HDTV, Chromebook, Raspberry Pi, Roku, Xbox and More - Black",52288,4.6,Computers,Moread,14.99,https://m.media-amazon.com/images/I/719B78smOLL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07H4HXW14,"MOSISO Laptop Sleeve Compatible with MacBook Air 11, 11.6-12.3 inch Acer Chromebook R11/HP Stream/Samsung/ASUS/Surface Pro X/7/6/5/4/3, Neoprene Bag with Small Case, Wine Red",42362,4.6,Computers,MOSISO,12.99,https://m.media-amazon.com/images/I/51v0+yH-E7L._AC_SL1468_.jpg,True,OK (image/jpeg),
B0C15Q5H7H,"ProCase 14-15.6 Inch Laptop Sleeve Case Protective Bag, Ultrabook Notebook Carrying Case Handbag for MacBook Pro 16"" 2019 14"" 15"" 15.6"" Dell Lenovo HP Acer ASUS Samsung Chromebook Computer -Darkblue",38271,4.7,Computers,ProCase,18.99,https://m.media-amazon.com/images/I/71P8j189TgL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09Y54MQWT,AILIHEN C8 Girls Wired Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Chromebook Laptop Computer PC Mp3/4 (Pink),29145,4.3,All Electronics,AILIHEN,21.98,https://m.media-amazon.com/images/I/71xnALOoykL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BHGPDLS2,"Wacom Intuos Small Bluetooth Graphics Drawing Tablet, 4 Customizable ExpressKeys, Portable for Teachers, Students and Creators, Compatible with Chromebook Mac OS Android and Windows - Black",28984,4.5,Computers,Wacom,81.95,https://m.media-amazon.com/images/I/61eG0iYBj+L._AC_SL1500_.jpg,True,OK (image/jpeg),"Wacom Intuos wireless pen tablet has been designed for those who are getting started drawing, painting or photo editing with their Mac, PC, Chromebook or select Android smartphones/tablets. Enjoy the ..."
B09ZTC6LGP,"KLO Bluetooth Mouse for MacBook/MacBook air/Pro/iPad, Wireless Mouse for Laptop/Notebook/pc/iPad/Chromebook (BT/A deep Pink-Black)",23550,4.3,All Electronics,KLO,14.99,https://m.media-amazon.com/images/I/51lwFZXtsbL._AC_SL1000_.jpg,True,OK (image/jpeg),"Adopt bluetooth 3.0/5.2 technology, built-in 500mAH A product lithium battery, configuration charging line, like a mobile phone, easy to charge, more scientific, charge and discharge of more than 500 ..."
B0BV2YBX3Q,"HP X3000 G3 Wireless Mouse - Blue, 15-Month Battery, Side Grips for Control, Travel-Friendly, Blue LED, Powerful 1600 DPI Optical Sensor, Compatible with Wins PC/Laptop, Mac, Chromebook (683N8AA#ABL)",21339,4.6,Computers,HP,18.99,https://m.media-amazon.com/images/I/61y2LepgSPL._AC_SL1500_.jpg,True,OK (image/jpeg),"Lose the wire but not the power Hit the road with a wireless mouse that looks as good as it feels, keeps you connected, and packs lasting power. Guaranteed by HP."
B087G2TQDQ,"Lacdo 360° Protective 14 Inch Laptop Sleeve Case for HP Lenovo Dell ASUS Acer Chromebook 14 / HP Stream 14 / Dell Inspiron 14 / Lenovo IdeaPad 14 / Acer Spin 3 / ASUS ZenBook 14 Computer Bag, Blue",21268,4.7,Computers,Lacdo,18.99,https://m.media-amazon.com/images/I/816ar7xsAeL._AC_SL1200_.jpg,True,OK (image/jpeg),
B074W2JMS6,"CableCreation USB C Cable 10FT USB A to USB C Cable Braided USB to C Cable Fast Charging Cable 3A 480Mbps Data Compatible with MacBook Air Chromebook Pixel Galaxy S22 S21 S10, etc 3M Space Gray",20965,4.6,Computers,CableCreation,12.59,https://m.media-amazon.com/images/I/51WwwPOI4zL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09W4DTMQX,LED Bluetooth Mouse for Laptop iPad MacBook pro Wireless Mouse for Laptop MacBook Air Mac Chromebook,20119,4.3,All Electronics,PEIBO,14.98,https://m.media-amazon.com/images/I/61uTTSiS27L._AC_SL1500_.jpg,True,OK (image/jpeg),"Packing list: Instructions x1, LED charging Bluetooth + 2.4G dual-mode wireless mouse x1, 2.4g Nano USB wireless receiver x1(hidden in the slot at the bottom of the mouse), USB charging line x1, USB C..."
B0B8J17B9L,"INPHIC Wireless Mouse for Laptop, 2.4G Slim Mouse 700mAh Rechargeable, Noiseless Computer Mouse with USB Receiver, 3 Adjustable DPI Optical Cordless Mouse for MacBook, Chromebook, PC, Laptop-Black",16891,4.5,Computers,INPHIC,11.99,https://m.media-amazon.com/images/I/51dyXQi6Z3L._AC_SL1500_.jpg,,not checked,
B08M65W3PT,"seenda Wireless Mouse, Rechargeable Light Up Mouse for Laptop, Small Cordless Mice with Quiet Click LED Rainbow Lights for PC Computer Kids Chromebook Windows Mac,Hot Pink",15931,4.6,All Electronics,seenda,14.99,https://m.media-amazon.com/images/I/61E2IqH7+vS._AC_SL1500_.jpg,,not checked,
B07FCHTPJ4,"TECKNET Bluetooth Wireless Mouse, 3200 DPI Computer Mouse, 24-Month Battery Life and 6 Adjustable DPI Levels, 6 Buttons Compatible with Ipad Pro/Laptop/Surface Pro/Windows Computer/Chromebook-Red",15578,4.3,All Electronics,TECKNET,14.99,https://m.media-amazon.com/images/I/41fipf0v63L._AC_SL1000_.jpg,,not checked,
B07FNBYS5K,"V Voova 11 11.6 12 Inch Laptop Sleeve Case for Women,Slim Computer Cover Bag Compatible with MacBook Air 11,Mac 12,Surface Pro 9 8 7/Laptop Go 2 3,HP Lenovo Acer Samsung Chromebook 4,Red",14752,4.8,Computers,V Voova,15.96,https://m.media-amazon.com/images/I/81Kud+8b8iL._AC_SL1500_.jpg,,not checked,
B089XF38N2,"Voova Laptop Sleeve Shoulder Bag 13 13.3 14 Inch, Waterproof Carrying Case Compatible with Macbook Air 13 M1/M2, MacBook Pro 13/14, 13.5 Surface Laptop 3/4, Dell XPS 13, HP Chromebook 14,Blue",12728,4.7,Computers,Voova,19.99,https://m.media-amazon.com/images/I/81dBORZfbFL._AC_SL1500_.jpg,,not checked,
B071XHYMPR,"LENTION 4-in-1 USB-C Hub with Type C, USB 3.0, USB 2.0 Compatible 2023-2016 MacBook Pro 13/14/15/16, New Mac Air/Surface, ChromeBook, More, Multiport Charging & Connecting Adapter (CB-C13, Silver)",12475,4.5,All Electronics,LENTION,16.98,https://m.media-amazon.com/images/I/61cUzaqz-jL._AC_SL1500_.jpg,,not checked,
B09YD3X8C9,"FD V8 Wireless Mouse Battery Included, 2.4G Cute Colorful Animal Slim Silent Travel Cordless Mouse Optical Designed Mice with Nano Receiver Compatible for Laptop Computer PC Chromebook (Blue Fox)",10835,4.5,All Electronics,FD,15.99,https://m.media-amazon.com/images/I/61abPtWYLgL._AC_SL1500_.jpg,,not checked,
B07NYZ3HVP,AILIHEN I35 Kid Headphones with Microphone Volume Limited 93dB Children Girls Boys Teen Lightweight Foldable Wired Headset for School Online Course Chromebook Cellphones Tablets (Black/Orange),9445,4.3,Cell Phones & Accessories,AILIHEN,14.98,https://m.media-amazon.com/images/I/71VxLv8r2pL._AC_SL1500_.jpg,,not checked,
B09H2Y1M8K,"USB C Hub,UtechSmart 6 in 1 USB C to HDMI Adapter with 1000M Ethernet, Power Delivery Pd Type C Charging Port, 3 USB 3.0 Ports Adapter Compatible for MacBook Pro, Chromebook,and USB C Devices (Camo)",7906,4.4,Computers,UtechSmart,29.99,https://m.media-amazon.com/images/I/71GOL8WolXL._AC_SL1500_.jpg,,not checked,
