parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07S764D9V,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Microphone and Call Controller, Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops - RP-TCM125-A (Blue)",136251,4.3,Home Audio & Theater,Panasonic,13.99,https://m.media-amazon.com/images/I/51IjAqbVBrL._AC_SL1500_.jpg,True,OK (image/jpeg),"The Panasonic RP-TCM125 ErgoFit Earbud Headphones with Microphone and Call Controller are the perfect combination of style, comfort, functionality and most of all, high-quality sound. The In-line micr..."
B0C338S8M7,"Beats Studio Buds – True Wireless Noise Cancelling Earbuds – Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Moon Gray",67037,4.4,Apple Products,Beats,149.95,https://m.media-amazon.com/images/I/41m81cYUgpL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BHWYQ47Y,"kurdene Bluetooth Wireless Earbuds, S8 Deep Bass Sound 38H Playtime IPX8 Waterproof Earphones Call Clear with Microphone in-Ear Bluetooth Headphones Comfortable for iPhone, Android",63672,4.3,All Electronics,kurdene,20.99,https://m.media-amazon.com/images/I/719OOJkxmrL._AC_SL1500_.jpg,True,OK (image/jpeg),
B091K4WYD1,"OneOdio Over Ear Headphone, Wired Bass Headsets with 50mm Driver, Foldable Lightweight Headphones with Shareport and Mic for Recording Monitoring Podcast Guitar PC TV - (Red)",60653,4.5,All Electronics,OneOdio,32.99,https://m.media-amazon.com/images/I/81OUu0swm1L._AC_SL1500_.jpg,True,OK (image/jpeg),
B094ZNRZMD,"Perytong Sleep Headphones, Bluetooth Sports Headband Headphones with Ultra-Thin HD Stereo Speakers Perfect for Sleeping,Workout,Jogging,Yoga,Insomnia, Air Travel, Meditation",44164,4.3,All Electronics,Perytong,19.99,https://m.media-amazon.com/images/I/61dSl3ndH5L._AC_.jpg,True,OK (image/jpeg),
B0BZ49NHW2,"LUDOS Clamor Wired Earbuds in Ear, Noise Isolating Headphones with Microphone, 3.5mm Jack Plug, Mic and Volume Control, Memory Foam, Deep Bass, Tangle-Free Cord - Purple",37573,4.3,All Electronics,LUDOS,19.97,https://m.media-amazon.com/images/I/61oaJM9BbuL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BNC1QBH6,"Sony Wireless Headphones WH-CH510: Wireless Bluetooth On-Ear Headset with Mic for phone-call, Blue",36452,4.5,All Electronics,Sony,59.99,https://m.media-amazon.com/images/I/81H0JaAaVNL._AC_SL1500_.jpg,True,OK (image/jpeg),"Get dynamic sound and all-day listening in a wireless headphone. The zero-compromise wh-ch510 wireless headphones feature an extra-long battery life of up to 35 hours. 30mm drivers bring crisp, clear ..."
B09WTY86N6,"iClever HS01 Food Grade Kids Headphones with Microphone, 85/94dB Volume Limiter, Cat Ear Headphones for Kids Boys Girls, Wired Childrens Headphones for School/Travel/Tablet/E-Learning/iPad, Green",15463,4.5,All Electronics,iClever,18.99,https://m.media-amazon.com/images/I/51ASyEiRHaL._AC_SL1400_.jpg,True,OK (image/jpeg),"iClever BoostCare Headphones for Kids Are you protecting your children's hearing? when it comes to children, not all headphones are created equal. The best headphones for adults are rarely the best mo..."
B09QS2K7XW,"Professional Ear Pads Cushions Replacement, Earpads Compatible with Beats Solo2 & Solo3 Wireless On-Ear Headphones with Soft Protein Leather/Strong Adhesive Tape",15420,4.6,All Electronics,SoloWIT,20.95,https://m.media-amazon.com/images/I/61L-V89zFNL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0C4T9BHWX,"SoloWIT Replacement Ear Pads Cushions for Beats Studio 2 & Studio 3 Wired & Wireless Headphones, Earpads with Soft Protein Leather, Noise Isolation Memory Foam - Burgundy",15207,4.7,All Electronics,SoloWIT,22.95,https://m.media-amazon.com/images/I/71jbQ-PlWKL._AC_SL1500_.jpg,True,OK (image/jpeg),
