parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07H4HXW14,"MOSISO Laptop Sleeve Compatible with MacBook Air 11, 11.6-12.3 inch Acer Chromebook R11/HP Stream/Samsung/ASUS/Surface Pro X/7/6/5/4/3, Neoprene Bag with Small Case, Wine Red",42362,4.6,Computers,MOSISO,12.99,https://m.media-amazon.com/images/I/51v0+yH-E7L._AC_SL1468_.jpg,True,OK (image/jpeg),
B07N83RDMJ,"MOSISO Compatible with MacBook Air 13 inch Case 2022 2021 2020 2019 2018 Release A2337 M1 A2179 A1932 Retina Display with Touch ID, Plastic Hard Shell Case & Keyboard Cover Skin, Capulet Olive",35837,4.2,Computers,MOSISO,17.99,https://m.media-amazon.com/images/I/51UYsrdIdCL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09ZTC6LGP,"KLO Bluetooth Mouse for MacBook/MacBook air/Pro/iPad, Wireless Mouse for Laptop/Notebook/pc/iPad/Chromebook (BT/A deep Pink-Black)",23550,4.3,All Electronics,KLO,14.99,https://m.media-amazon.com/images/I/51lwFZXtsbL._AC_SL1000_.jpg,True,OK (image/jpeg),"Adopt bluetooth 3.0/5.2 technology, built-in 500mAH A product lithium battery, configuration charging line, like a mobile phone, easy to charge, more scientific, charge and discharge of more than 500 ..."
B074W2JMS6,"CableCreation USB C Cable 10FT USB A to USB C Cable Braided USB to C Cable Fast Charging Cable 3A 480Mbps Data Compatible with MacBook Air Chromebook Pixel Galaxy S22 S21 S10, etc 3M Space Gray",20965,4.6,Computers,CableCreation,12.59,https://m.media-amazon.com/images/I/51WwwPOI4zL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09W4DTMQX,LED Bluetooth Mouse for Laptop iPad MacBook pro Wireless Mouse for Laptop MacBook Air Mac Chromebook,20119,4.3,All Electronics,PEIBO,14.98,https://m.media-amazon.com/images/I/61uTTSiS27L._AC_SL1500_.jpg,True,OK (image/jpeg),"Packing list: Instructions x1, LED charging Bluetooth + 2.4G dual-mode wireless mouse x1, 2.4g Nano USB wireless receiver x1(hidden in the slot at the bottom of the mouse), USB charging line x1, USB C..."
B07RBBN3X3,"IBENZER Compatible with Old Version MacBook Air 13 Inch Case (2010-2017 Release). Models: A1466 / A1369, Plastic Hard Shell Case with Keyboard Cover for Mac Air 13, New York, MA13-NYC+1",20065,4.5,Computers,IBENZER,14.99,https://m.media-amazon.com/images/I/61HjaMNqzWL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BXM1MVWN,KECC Compatible with MacBook Pro 15 inch Case Cover 2016-2019 Release A1990 A1707 with Touch Bar Plastic Hard Shell + Keyboard Cover (Black Fabric),19292,4.4,Computers,KECC,17.09,https://m.media-amazon.com/images/I/91z+loQssgL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BTZDHJXY,KECC Compatible with MacBook Air 13 inch Case 2022 2021 2020 2019 2018 Release A2337 M1 A2179 A1932 Retina Display + Touch ID Protective Plastic Hard Shell (Blue),16828,4.4,Computers,KECC,17.99,https://m.media-amazon.com/images/I/817c76dCRUL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07QVQ7WHQ,"UESWILL Compatible with Smooth Matte Hard Shell Case Cover for MacBook Air 11 inch (Model A1370 / A1465), Purple",14825,4.3,Computers,UESWILL,11.99,https://m.media-amazon.com/images/I/41VEACm3lNL._AC_SL1024_.jpg,True,OK (image/jpeg),"UESWILL High Quality Smooth Soft-Touch Hard Cases This case is made of high quality polycarbonate. It's a hard case based on plastic coating rubber, frosted, translucent, fell silky-smooth and satin s..."
B07FNBYS5K,"V Voova 11 11.6 12 Inch Laptop Sleeve Case for Women,Slim Computer Cover Bag Compatible with MacBook Air 11,Mac 12,Surface Pro 9 8 7/Laptop Go 2 3,HP Lenovo Acer Samsung Chromebook 4,Red",14752,4.8,Computers,V Voova,15.96,https://m.media-amazon.com/images/I/81Kud+8b8iL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07KXNYX1L,"Syntech USB C to USB Adapter, 2 Pack USB C to USB3 Adapter,USB Type C to USB,Thunderbolt 3 to USB Female Adapter OTG Cable Compatible with iPad Air 2020, MacBook Pro, Air and More Space Gray",14063,4.7,All Electronics,Syntech,9.99,https://m.media-amazon.com/images/I/71YAt+iRMVS._AC_SL1500_.jpg,,not checked,
B09PHCM272,"Qishare 10 11"" 11.6"" 11.6-inch 12 Inch Black Multi-Functional Business Briefcase/Messenger Case with Handle and Carrying Strap for MacBook Air 11'', Hp Stream 11(Black, 11.6-12'')",12973,4.7,Computers,Qishare,17.99,https://m.media-amazon.com/images/I/71C+RuHZP4L._AC_SL1500_.jpg,,not checked,
B077TPNHYM,"MOSISO Case Only Compatible with MacBook Pro Retina 13 inch (Models: A1502 & A1425) (Older Version Release 2015 - end 2012), Plastic Hard Shell Case & Keyboard Cover & Screen Protector, Clear Pink",12972,4.2,All Electronics,MOSISO,13.49,https://m.media-amazon.com/images/I/51Z7FFDORVL._AC_SL1500_.jpg,,not checked,
B077TNGR8H,"MOSISO Compatible with MacBook Air 13 inch Case (Models: A1466 & A1369, Older Version 2010-2017 Release), Protective Plastic Hard Shell Case Cover, Peacock Green",11880,4.4,Computers,MOSISO,16.99,https://m.media-amazon.com/images/I/41nq3AdD9qL._AC_SL1500_.jpg,,not checked,
B09Q82NW65,"UESWILL Compatible with MacBook Pro 13 inch 2016-2022, Model A2338 M2 M1 A2289 A2251 A2159 A1989 A1706 A1708 Touch Bar USB-C, Matte Hard Shell Case Cover, Peacock Green",10687,4.4,Computers,UESWILL,13.99,https://m.media-amazon.com/images/I/51bi9mVtZGL._AC_SL1500_.jpg,,not checked,
B09JK95CNW,"Anker USB-C to USB-C Cable, 643 Cable 100W 6ft, USB 2.0 Type C Charging Cable Fast Charge for MacBook Pro 2020, iPad Pro 2020, iPad Air 4, iPad Mini 6, Galaxy S21, Pixel, Switch (Lilac Purple)",9653,4.8,All Electronics,Anker,19.54,https://m.media-amazon.com/images/I/611zmaHoxSL._AC_SL1500_.jpg,,not checked,
B0BXKWKH5Z,"Kinmac 360° Protective Waterproof Laptop Case Bag Sleeve with Handle for MacBook Pro 16, and 15 inch-15.6 inch Laptop (Banana Leaf)",8699,4.8,Computers,Kinmac,21.38,https://m.media-amazon.com/images/I/81SpNdSfI8L._AC_SL1500_.jpg,,not checked,
B071YJFTV4,"Laptop Sleeve Elastic Neoprene Case Compatible with 13-14 inch MacBook Air/Pro M1 M2, XPS 13, Surface Laptop 13.5"", Water Repellent Notebooks Hand Bag with Handle and Small Case,Butterfly",8298,4.6,Computers,Hseok,15.99,https://m.media-amazon.com/images/I/81sFNl33H2S._AC_SL1500_.jpg,,not checked,
B075QNY676,"IBENZER Compatible with MacBook Pro 13 Inch case A1278 Release 2012-2008, Plastic Hard Shell Case with Keyboard Cover for Apple Old Version Mac Pro 13 with CD-ROM, Angle Quartz, P13AGQZ+1A",8099,4.5,Computers,IBENZER,14.99,https://m.media-amazon.com/images/I/61R+ik6qdIL._AC_SL1000_.jpg,,not checked,
B0BSS1WJ4D,"JSAUX USB C to HDMI Cable 3.3ft/1M, (4K@60Hz) Type-C to HDMI Cord Compatible for MacBook Pro 2018 2017 Air, Samsung Galaxy S21 S20 Ultra Note 20 10 S10 Plus, iPad Pro 2021,iPad Mini 2021 -Red",7822,4.4,Industrial & Scientific,JSAUX,18.99,https://m.media-amazon.com/images/I/61Sjvq3oUVL._AC_SL1500_.jpg,,not checked,
B078YMYB9P,"RICHEN 11 11.6 12 12.5 13 inches Case Laptop/Chromebook/Ultrabook/MacBook pro air Notebook PC Messenger Bag Tablet Travel Case Neoprene Handle Sleeve with Shoulder (11-13.3 inch, Butterflies)",7306,4.7,Computers,RICHEN,22.98,https://m.media-amazon.com/images/I/71LmIDGfSbL._AC_SL1500_.jpg,,not checked,
B09XQBXXNH,"May Chen Compatible with MacBook Air 13 inch Case 2021 2020 2019 2018 Model: M1 A2337 A2179 A1932, Plastic Matte Hard Shell Case for MacBook Air 13 inch with Retina Display Fits Touch ID, Airy Blue",7113,4.2,Cell Phones & Accessories,May Chen,18.99,https://m.media-amazon.com/images/I/61fNnA4gZuL._AC_SL1200_.jpg,,not checked,"Compatible with： For Macbook Air 13 2018 2019 2020 2021 Release ( Models: A1932 A2179 A2337) * Release 2020: MREE2LL/A, MREC2LL/A, MRE82LL/A, MREA2LL/A, MREF2LL/A, MRE92LL/A * Release 2019: MVFH2LL/A,..."
B06XSX2DYR,iPearl mCover Hard Shell Case with FREE keyboard cover for Model A1278 13-inch Regular display Aluminum Unibody MacBook Pro - AQUA,6966,4.6,Computers,mCover,9.99,https://m.media-amazon.com/images/I/61RAws3CSQL._AC_SL1000_.jpg,,not checked,"iPearl mCover Collection for  MacBooks Product Highlights: + Designed to fit perfectly with the 13.3"" MacBook Pro with Regular Display, model A1278 (part number MB466LL/A or MB467LL/A or MB990LL/A or..."
B01MTY7MSK,"Kuzy Compatible with MacBook Air 13 inch Case 2017 2015 - A1466 MacBook Air Case Cover Hardshell MacBook Air 13.3 inch Case - MacBook Air 2017 Case - Older Version Case, Clear",6848,4.4,Computers,Kuzy,25.99,https://m.media-amazon.com/images/I/51OW0BPJVrL._AC_SL1500_.jpg,,not checked,
B07FY5DVJS,"MOSISO Compatible with MacBook Pro 13 inch Case 2015 2014 2013 end 2012 Older Version (Models: A1502 & A1425) with Retina Display, Protective Plastic Hard Shell Case Cover, Black",6780,4.2,Computers,MOSISO,16.99,https://m.media-amazon.com/images/I/41x3TFNJX6L._AC_SL1500_.jpg,,not checked,
B088PP1ZW4,"CableCreation USB C Cable 6FT 100W USB2.0 C to C Cable 5A Fast Charging Cable 480Mbps Durable Braided USB Type C Cable for MacBook Pro Air Pixel 4XL S21 S20 S10 S9, Note 10, 1.83m Space Gray",6247,4.6,Computers,CableCreation,9.99,https://m.media-amazon.com/images/I/71PcFJVc1kL._AC_SL1500_.jpg,,not checked,Brand Guarantee CableCreation Focus to the Ideal Design of All of Our Quality Cables CableCreation is not Only a Brand But Also a Creative Team With Own Factory manufacturing CableCreation is Confiden...
B094YSL845,KECC Compatible with MacBook Air 13 inch Case (2010-2017 Release) A1369/A1466 Plastic Hard Shell + Keyboard Cover + Sleeve + Screen Protector (Matte Navy Green),6141,4.4,Computers,KECC,29.99,https://m.media-amazon.com/images/I/91Gb7YCQ3LL._AC_SL1500_.jpg,,not checked,
B019O1R4DQ,"OMOTON Bluetooth Keyboard for Mac, Compact Wireless Keyboard Compatible with MacBook Pro/Air, iMac, iMac Pro, Mac Mini, Mac Pro Laptop and PC，Pink",6023,4.4,Computers,OMOTON,,https://m.media-amazon.com/images/I/61tioWmfYUL._AC_SL1500_.jpg,,not checked,
B07KHP49Q1,"TwoL Ultra Slim Hard Shell Case and Keyboard Cover Screen Protector for 2021-2018 MacBook Air 13 A2337 M1 A2179 A1932, Field Flower",5398,4.6,Computers,TwoL,26.0,https://m.media-amazon.com/images/I/71I-Vmeo9KL._AC_SL1200_.jpg,,not checked,"Design Printing Case Compatible with MacBook Air 13 inch 2021 2020 2019 2018 Release Model: A2337 M1 / A2179 / A1932 Please kindly check the model number ""Axxxx"" on the back of the laptop before your ..."
B09V7VC1LB,"SOOPII 100W 6.6ft USB C to USB C Cable Fast Charge, Nylon Braided Type-C Cable with LED Display for lPad Air/lPad Pro, MacBook Pro, Samsung Galaxy S21/S10/S9/Plus (Black)",5325,4.3,Industrial & Scientific,SOOPII,13.99,https://m.media-amazon.com/images/I/71pRJxRN3aL._SL1500_.jpg,,not checked,
