parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0845ML6WD,"Sony Extra Bass Bluetooth Headphones, Best Wireless Sports Earbuds with Mic/Microphone, IPX4 Splashproof Stereo Comfort Gym Running Workout up to 8.5 Hour Battery, Black (International Version)",932,4.0,All Electronics,Sony,39.99,https://m.media-amazon.com/images/I/61Br+w0LqQL._AC_SL1500_.jpg,True,OK (image/jpeg),"MDR-XB50BS/B Wireless Sports Bluetooth In-ear Headphones Rain or shine, these wireless sports headphones are more than an accessory for your active lifestyle and smartphone. They keep you connected to..."
B09414PJ6Q,"Bluetooth Headphones, PowerLocus Bluetooth Headphones Over-Ear, Passive Noise Cancelling Headphone with Microphone, 70Hrs Playtime, Foldable Wireless Headphones,Hi-Fi Deep Bass for Work,Home Office,PC",860,4.4,All Electronics,PowerLocus,29.99,https://m.media-amazon.com/images/I/613BFOCkD-L._AC_SL1500_.jpg,True,OK (image/jpeg),
B007525JNO,STREET by 50 Cent Wired Over-Ear Headphones - Blue by SMS Audio (Discontinued by Manufacturer),850,4.2,Home Audio & Theater,SMS Audio,,https://m.media-amazon.com/images/I/81DSAIJAePL._AC_SL1500_.jpg,True,OK (image/jpeg),"Product Description Take it to the street. Bring your music with you in luxurious style with STREET by 50 Over-Ear Headphones. Detachable mic cord for tangle free streetwear and transport, plus enhanc..."
B00U77TFOS,SOL REPUBLIC Tracks HD On-Ear Headphones - Purple 1241-05,725,4.2,Home Audio & Theater,SOL REPUBLIC,,https://m.media-amazon.com/images/I/4165VRapCdL._AC_.jpg,True,OK (image/jpeg),"Sol Republic's 1241-05 Tracks HD On-Ear Interchangeable Headphones with 3-Button Mic + Music Control, in purple, feature V10 sound engine speakers. Tracks HD can be remixed with a stylish selection of..."
B009EDQKLM,Bose SIE2i Sport Headphones - Purple,666,4.1,Home Audio & Theater,Bose,200.0,https://m.media-amazon.com/images/I/61NdVyBIwRL._AC_SL1500_.jpg,True,OK (image/jpeg),"Product Description Push your workout to the limit with headphones that are up to the task. Bose SIE2i sport headphones, customized for select Apple devices, are specifically engineered for exercise. ..."
B07R4ZJKMG,"Geekria Comfort Mesh Fabric Replacement Ear Pads for Logitech G35, G430, G432, G332, G930, F450 Headphones Ear Cushions, Headset Earpads, Ear Cups Repair Parts (Black Red)",650,4.6,Home Audio & Theater,GEEKRIA,12.9,https://m.media-amazon.com/images/I/61cxqBJwM2S._AC_SL1100_.jpg,True,OK (image/jpeg),Product Features Replacement earpads made with high quality memory foam and mesh fabric. Replace your worn-out earpad cushions / ear cover / ear cups. Give your headset a new earpad. Make it a brand n...
B0C65FBHHL,Apple Headphones Wired iPhone Earbuds with Lightning Connector [Apple MFi Certified] Earphones with Built-in Microphone & Volume Control Compatible with iPhone 14/13/12/11/XR/XS/X/7/8/8Plus/SE,629,4.5,All Electronics,Fujimoto Dengyo,8.99,https://m.media-amazon.com/images/I/41-HyN9AxcL._AC_SL1096_.jpg,True,OK (image/jpeg),Apple Headphones Wired iPhone Earbuds with Lightning Connector [Apple MFi Certified] Earphones with Built-in Microphone & Volume Control Compatible with iPhone 14/13/12/11/XR/XS/X/7/8/8Plus/SE
B077GR958Z,"VEENAX Over Ear Wireless Headphones, Dual 3W Speaker, HS1 Sport Bluetooth Headphones Speaker 2 in 1, Stereo Headset with Mic NFC and Bass, Wearable Speaker for Phone Computer PC Tablet MP3, Black",628,4.2,All Electronics,VEENAX,,https://m.media-amazon.com/images/I/61lnt8YijTL._AC_SL1000_.jpg,True,OK (image/jpeg),
B074H1KSG7,"Studio 2/3 Replacement Earpads, JARMOR Memory Foam Ear Cushion Pads Cover for Beats Studio 2.0 Wired/Wireless B0500 / B0501 & Studio 3.0 Over Ear Headphones by Dr. Dre ONLY (Blue)",551,4.5,Cell Phones & Accessories,Jarmor,17.99,https://m.media-amazon.com/images/I/81I3xnEk9YL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BBZ2JGW4,"YUSONIC Unicorn Kids Headphones,Unicorn Bluetooth Headphones Foldable for Girls Boys Toddlers Phones/ipad/Amazon fire,Light Up Kids Wireless Headphone Birthday Gifts (White+Pink)",497,4.5,All Electronics,YUSONIC,25.98,https://m.media-amazon.com/images/I/61CuccXUR6S._AC_SL1400_.jpg,True,OK (image/jpeg),
B07D824XHY,"Geekria Headband Cover Compatible with Sony MDR1A, MDR-1ADAC, MDR-1ABT, MDR-1AM2, MDR1R, MDR1RNC, MDR1RBT Headphones/Headband Protector/Easy DIY Installation No Tool Needed",495,4.2,Home Audio & Theater,GEEKRIA,10.99,https://m.media-amazon.com/images/I/61zOW60GL2L._AC_SL1100_.jpg,,not checked,
B0BFR3QPWR,ZOVITS U-Shuxian Wireless Earbuds Blutooth 5.3 Headphones for iPhone,452,4.5,All Electronics,ZOVITS,22.99,https://m.media-amazon.com/images/I/61GHjX1yTyL._AC_SL1500_.jpg,,not checked,ZOVITS U-Shuxian Wireless Earbuds Lightweight
B0BVLGGGBM,"FXWONTY Wireless Headset, Bluetooth Headset with AI Noise Cancelling Microphone & Charging Base, 50Hrs Bluetooth 5.0 Headphones with USB for PC/Remote Work/Call Center/Online Class/Trucker/Zoom/Skype",361,4.2,All Electronics,FXWONTY,59.99,https://m.media-amazon.com/images/I/610bOLHLpBL._AC_SL1500_.jpg,,not checked,
B0B1M3DGMQ,HAYLOU PurFree Bone Conduction Headphones Open-Ear Bluetooth 5.2 Sport Headphones -IP67 Waterproof Wireless Earphones for Cycling and Running - CVC Dual Microphone Noise Reduction Call,312,4.0,All Electronics,HAYLOU,,https://m.media-amazon.com/images/I/51IRfOhD8AL._AC_SL1500_.jpg,,not checked,Open-Ear Bluetooth Bone Conduction Sport Headphones
B00B7UOILY,iFrogz Animatones Volume Limiting Headphones for Kids - Green,272,3.4,Home Audio & Theater,iFrogz,14.99,https://m.media-amazon.com/images/I/51daI6kxLnL._AC_SL1200_.jpg,,not checked,"The Animatones headphones feature playful child friendly styling and volume limiting speakers. Kids will love the fun look, sturdy, and lightweight construction. Parents can feel safe knowing the buil..."
