parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B084D8BXPT,Dekoni Audio Memory Foam Replacement Ear Pads Compatible with Sennheiser HD800 and HD800S Headphones (Elite Velour),92,4.2,All Electronics,Dekoni Audio,49.99,https://m.media-amazon.com/images/I/81AGCP5o-iL._AC_SL1500_.jpg,True,OK (image/jpeg),
B074ZYJWPV,"20 Piece (10 Pairs) Ear Hooks Silicone Tips Covers Accessories Compatible With Apple Airpods & Earpods Headphones Earphone Earbuds, One Size Fits All (White)",79,4.2,All Electronics,Tiehnom,,https://m.media-amazon.com/images/I/51q0EX9WKoL._AC_SL1080_.jpg,True,OK (image/jpeg),"Tiehnom 20 Piece (10 Pairs) AirPod Ear Hooks For Airpods and EarPods, Silicone Ear Hooks Covers Accessories for Apple Headphones Earphone Earbuds, One Size Fits All PACKAGE CONTAINS: 10 Pairs (10x rig..."
B07KWFSMYQ,"Sony Wireless Bluetooth in Ear Headphones: Noise Cancelling Sports Workout Ear Buds for Exercise and Running - Cordless, Sweatproof Sport Earphones, Built-in Microphone, Extra BASS – Blue WF-SP700N/L",77,3.4,All Electronics,Sony,,https://m.media-amazon.com/images/I/515CViRkc-L._AC_SL1200_.jpg,True,OK (image/jpeg),"Introducing the Sony SP700N Headphones, the world’s first1 true wireless noise-canceling headphones with splash-proof design. 3 Equipped with a cushioned fit and sweat-resistance, these wireless earbu..."
B09YRGYD9J,"iKF Find Pro Wireless Earbuds Built-in Mic,Waterproof Bluetooth 5.0 in-Ear Headphones with Charging Case, Volume Control Stereo TWS Earphones for Sport (White)…",71,4.0,All Electronics,iKF,39.99,https://m.media-amazon.com/images/I/41OpG5XFfIL._AC_SL1000_.jpg,True,OK (image/jpeg),
B06XJHRP5G,"MXditect EB166 Headphones with Mic Stereo Earphones for iOS Android Windows System, Black",69,3.3,All Electronics,MXditect,,https://m.media-amazon.com/images/I/71n7jqcnYpL._AC_SL1500_.jpg,True,OK (image/jpeg),Parameters: Package Size: 3.35 x 3.35 x 0.98 inches. Net Weight: 0.58 ounces. Rough Weight: 0.99 ounces. Color: Black. Cable Length: 120±5CM. Plug Diameter：3.5MM. Frequency Range: 20Hz-20 kHz. Speaker...
B07XH1XWPC,"PRUNUS J-982 Pocket Radio AM FM Portable Mini Walkman Radio with Headphones, Personal Small Battery Operated Transistor Radio with Excellent Reception, Enhanced Bass for Elderly,Walking,Jogging",68,4.1,All Electronics,PRUNUS,,https://m.media-amazon.com/images/I/61-e2IaKvOL._AC_SL1200_.jpg,True,OK (image/jpeg),
B000T57Y0A,Zalman ZM-RS6F 5.1 surround sound headphones (Discontinued by Manufacturer),62,3.2,Home Audio & Theater,Zalman,,https://m.media-amazon.com/images/I/41XHN2JQYRL._AC_.jpg,True,OK (image/jpeg),Product Description 5.1 Channel Equivalent 6 speaker real surround sound headphones. Electro Dynamic Round Type Micro Speaker. Frequency Response - 50Hz 20KHz (Extension Effective). From the Manufactu...
B09K67QXKT,"Bluetooth Earbuds Wireless Active Noise Canceling Headphones in-Ear Earphones with 4 Mics for Sports, Enhanced Deep Bass, 30Hrs Playtime, IPX8 Waterproof, Touch Control, USB-C Quick Charging Case",61,3.2,All Electronics,Gsoemon,,https://m.media-amazon.com/images/I/6182myBMxuL._AC_SL1500_.jpg,True,OK (image/jpeg),
B000KW3FA0,Genius HS-04SU Over-the-head Headphones Retail,61,3.1,Computers,Genius,,https://m.media-amazon.com/images/I/51ugR4vfx8S._AC_SL1200_.jpg,True,OK (image/jpeg),Enjoy crystal-clear calls with this Genius HS-04SU Stereo Headset! It features an adjustable headband for comfortable wear and an adjustable noise-canceling microphone that helps reduce background noi...
B00708WMH4,WeSC RZA Street Headphones (Black/Red),55,3.4,Home Audio & Theater,WeSC,,https://m.media-amazon.com/images/I/71qn0VgdCoL._AC_SL1500_.jpg,True,OK (image/jpeg),"With a music sharing function that enables you to connect your headphones to your friends and share the music, adjustable headband, molded ear cushions for maximum comfort, foldable hinges and a 3-tou..."
B0B8CY1MJ4,"SIMOLIO Wireless Headphones for TV Watching with Transmitter/Charging Dock 2 in 1, 2.4G Wireless Earbuds for TV Listening, Dialog Mode & Boosted Vol & Spare Battery for Seniors, by-Pass, 100ft Range",54,4.0,All Electronics,SIMOLIO,79.99,https://m.media-amazon.com/images/I/61G9VYvhI0L._AC_SL1500_.jpg,,not checked,
B07WF9SLQP,"Phiaton BT 390 on Ear Hi-Fi Stereo Wireless Bluetooth Headphones, Foldable, Noise Isolation, EverPlay-X Wireless Headset, 30 Hours Play Time, with Deep Bass Stereo and Mic, Black",46,3.3,All Electronics,Phiaton,39.99,https://m.media-amazon.com/images/I/71RxC4D7ucL._AC_SL1500_.jpg,,not checked,
B00ZFCTVM6,808 Audio SHOX On-The-Ear Bluetooth Headphones - Black HPA150BK,45,3.2,Home Audio & Theater,808 Audio,,https://m.media-amazon.com/images/I/71KQput3kYL._AC_SL1350_.jpg,,not checked,The 808 Shox Bluetooth headphones give the flexibility of wirelessly listening to your music or using the tangle-free cord for wired listening. The 808 Shox headphones also have built-in music control...
B074CGSRSZ,Replacement Ear Pads for SteelSeries Siberia V2 Headphones - Black,43,4.7,All Electronics,HIQUE,11.98,https://m.media-amazon.com/images/I/713XyTe-NOL._AC_SL1500_.jpg,,not checked,"Ear pads cushion compatible with SteelSeries Siberia V2 Headphones,Cushions align with mounting posts inside the headphone earcups, snap easily into place.  Headphones sponge sets, in general, I recom..."
B07X2TVBNY,Microsoft Surface Headphones (Renewed),40,4.2,All Electronics,Amazon Renewed,,https://m.media-amazon.com/images/I/51z376z5iBL._AC_SL1200_.jpg,,not checked,"Keep it quiet with active noise cancellation you can adjust with an easy on-ear dial. Or, turn it all the way down to better hear conversations without removing headphones.Frequency response, 20 – 20k..."
B08KDML9NQ,Micro USB AC Charger Fit for Cowin E7 Pro ANC SE7 E9 E8 SE8 Active Noise Cancelling Bluetooth Headphones Power Cord Adapter Supply,39,4.3,All Electronics,Superer,14.99,https://m.media-amazon.com/images/I/51nx0IstxZL._AC_SL1500_.jpg,,not checked,Fit for Cowin E7 Pro ANC SE7 E9 E8 SE8 Active Noise Cancelling Bluetooth Headphones Power Cord Adapter Supply Fit for Treblab FX100 HD77 HD7 X5 XR700 XR800 XR500 N8 XR100 Xfit XGO X5 White Z2 BT5 xRun...
B00KKQVHME,3.5mm Wired Headphone Metal Earbuds by JOVERS Noise Cancelling Stereo Heave Bass Earphones With Micphone with Volume Control，In Ear Headphones with Magnetic Design for Men for earbud earphone 5 6 Pink,37,3.4,Cell Phones & Accessories,JOVERS,,https://m.media-amazon.com/images/I/71oBKKtFy3L._AC_SL1500_.jpg,,not checked,"3.5mm Aux Earphones / Headphones / Earbuds / Headsets with Remote Control and MIC , JOVERS earphones for / / / and More devices Compatible with 3.5 mm headphone -Black Feature: Comfortable ear buds, f..."
B08LMS6Q19,"Metal Earbuds Wired with Microphone Pack of 3, Noise Isolating in-Ear Headphones, Powerful Heavy Bass, High Definition, Random Color from Blue Red Black White Yellow",36,3.8,Home Audio & Theater,Bihai,,https://m.media-amazon.com/images/I/514+6jb6vlL._AC_SL1001_.jpg,,not checked,Meet The High Quality Earbuds Headphones. Exceptional listening experience with well-balanced sound. Ergonomic design provides comfortable fit for your ears. Make hands-free calls easily with built-in...
B07PYLCK87,Jamoji On Ear Headphones for Kids,36,3.9,All Electronics,Jam,,https://m.media-amazon.com/images/I/51B3TYrCakL._AC_SL1000_.jpg,,not checked,"The child friendly JAMOJI headphones are full of joy, positivity and great sound. Custom designed to fit children, JAMOJI On-ear headphones are lightweight and comfortable Making them the perfect part..."
B0B6SQMZ4P,KKstorm School Headset for School: Student Headphones Bulk for Classroom Headphones Class Set Bulk Order of Headphones Class Sets of Headphones for Students (Green),35,3.5,All Electronics,KKstorm,19.64,https://m.media-amazon.com/images/I/71NlNUwtABL._AC_SL1500_.jpg,,not checked,
