parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07X2R8248,"FEATOL Anti Fatigue Mat Floor Mat, Extra Thick Standing Office Desk Mat Foam Cushioned Anti Fatigue Ergonomic Kitchen Mats Comfort Standing Pad 9/10 Inch (20"" x 32"", Black)",4763,4.7,Amazon Home,FEATOL,25.49,https://m.media-amazon.com/images/I/81RWOsJnQVL._AC_SL1500_.jpg,True,OK (image/jpeg),
B091Q8GQYR,"TOPSKY Computer Desk with Bookshelf/Metal Hole Cable Cover 1.18"" Thick Desk (55"", Espresso Gray)",4544,4.7,Amazon Home,TOPSKY,179.99,https://m.media-amazon.com/images/I/61oDLjpUKbS._AC_SL1500_.jpg,True,OK (image/jpeg),
B099RNVMNR,"IRONCK Computer Writing Desk, Home Office PC Desk with Keyboard Tray Monitor Stand Storage CPU Stand, Modern Study Writing Table for Home Office,55"" White",4132,4.6,Amazon Home,IRONCK,109.99,https://m.media-amazon.com/images/I/71GgIUEzuOL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07HNVB7WG,"DlandHome 63 inches X-Large Computer Desk, Composite Wood Board, Decent and Steady Home Office Desk/Workstation/Table, BS1-160BB Black Walnut and Black Legs, 1 Pack",3795,4.6,Office Products,DlandHome,139.99,https://m.media-amazon.com/images/I/61EJfOGFk-L._AC_SL1500_.jpg,True,OK (image/jpeg),
B07JXY4RWF,"22 x 44 "" Clear Plastic Dining Table Protector Tablecloth Desk Pad Mat Wooden Furniture Coffee Glass End Sofa Bed Side Banquet TV Console Entry Cabinet Table Top Protection Cover Waterproof PVC Vinyl",3081,4.4,Office Products,Easy Easy Life,28.89,https://m.media-amazon.com/images/I/51aLgT6wyiL._AC_SL1000_.jpg,True,OK (image/jpeg),"Protect Your Expensive Furniture Table Top from Damages via Table Protector ❤ Protection Use table protector pad, or as tablecloth cover on your furniture or tabletop,shows its original beauty, extend..."
B08P4DHJKF,"Home Office Chair Ergonomic Desk Chair Mesh Computer Chair Swivel Rolling Executive Task Chair with Lumbar Support Arms Mid Back Adjustable Chair for Men Adults, Black",2872,4.1,Amazon Home,BestOffice,70.99,https://m.media-amazon.com/images/I/61VDG7RTF0L._AC_SL1500_.jpg,True,OK (image/jpeg),
B09ZYF8W89,"Convenience Concepts Northfield Hall Console Table/Desk, Gray Faux Marble",2863,4.5,Amazon Home,Convenience Concepts,,https://m.media-amazon.com/images/I/71lVla2ZYvL._AC_SL1500_.jpg,True,OK (image/jpeg),Transform your home with the contemporary style of the Northfield Hall Console Table/Desk from Convenience Concepts. This minimalist design can essentially be used in any room of your home and with th...
B08RP93QSX,"Cubiker Computer Home Office Desk with Drawers, 40 Inch Small Desk Study Writing Table, Modern Simple PC Desk, Black",2857,4.5,Amazon Home,Cubiker,99.99,https://m.media-amazon.com/images/I/71oQCu4WPBL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09CTND8Y8,POOCCI Desk Fan Personal Quiet Powerful Small Table Fans Retro Bladeless Fans for Home Office Bedroom Bedside with 3 Speeds,2704,4.6,Amazon Home,POOCCI,29.99,https://m.media-amazon.com/images/I/71sBLX4Va5L._AC_SL1500_.jpg,True,OK (image/jpeg),
B08HR2WDSC,"Ninja Brand Premium Floor Comfort Mat, Ergonomically Engineered, Extra Support Floor Pad, Commercial Grade Rug for Kitchen, Gaming, Office Standing Desk Mats, 20x32 Inches, Classic Khaki",2571,4.5,Amazon Home,Ninja,19.55,https://m.media-amazon.com/images/I/61wV+HLlHrS._AC_SL1000_.jpg,True,OK (image/jpeg),
