parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B083QZNP1Z,"KitchenAid KSM75WH Stand Mixer, 4.5 Qt, White",4760,4.8,Amazon Home,KitchenAid,,https://m.media-amazon.com/images/I/71IrSnpQcbL._AC_SL1500_.jpg,True,OK (image/jpeg),"The KitchenAid Classic Plus Series Tilt-Head Stand Mixer with 4.5-quart stainless steel mixing bowl and 10 speeds easily mixes, kneads and whips your favorite ingredients. For even more versatility, t..."
B09JTSVYKS,"COOKLEE Stand Mixer, 9.5 Qt. 660W 10-Speed Electric Kitchen Mixer with Dishwasher-Safe Dough Hooks, Flat Beaters, Wire Whip & Pouring Shield Attachments for Most Home Cooks, SM-1551, Lavender",4190,4.4,Amazon Home,COOKLEE,159.99,https://m.media-amazon.com/images/I/61J5bX1VfOL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08H2J6T8T,"Nurxiovo 3 in 1 Stand Mixer 850W 6 Speed Tilt-Head Kitchen Standing Mixer with 6.5QT Stainless Steel Bowl, Dough Hook Whisk Beater, Meat Blender and Juice Extracter Black",3883,4.4,Amazon Home,Nurxiovo,119.99,https://m.media-amazon.com/images/I/71oNeWl7JXL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09NNYZ6CM,Kitchenaid Artisan Mini Plus 3.5-Qt. Tilt-Head Stand Mixer with Flex Edge Beater,3776,4.8,Amazon Home,KitchenAid,379.99,https://m.media-amazon.com/images/I/61LlkOdJbdL._AC_SL1500_.jpg,True,OK (image/jpeg),"Lighter. Smaller. Just as Powerful.* When you still need the power but don't quite have the space, the KitchenAid® Artisan® Mini Tilt-Head Stand Mixer can whip up the recipes you love without taking o..."
B086TVVWFV,"Luxja Dust Cover Compatible with 6-8 Quart Stand Mixer, Cloth Cover with Pockets for Stand Mixer and Extra Accessories (Compatible with 6-8 Quart Stand Mixer), Black",3533,4.7,Amazon Home,LUXJA,17.99,https://m.media-amazon.com/images/I/81SIi-harKL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BJR2BSFB,"Hamilton Beach Electric Stand Mixer, 4 Quarts, Dough Hook, Flat Beater Attachments, Splash Guard 7 Speeds with Whisk, Black",2341,4.4,Amazon Home,Hamilton Beach,79.99,https://m.media-amazon.com/images/I/61UbixVo-7L._AC_SL1500_.jpg,True,OK (image/jpeg),This Hamilton Beach stand mixer can do everything from whip delicate meringues to mix sticky pizza dough. It has the same rotating mixing action as KitchenAid stand mixers* - which means complete bowl...
B07GH98CWQ,"KLARSTEIN Bella Rossa 2g Electric Stand Mixer, Grinder, Dough Bowl, Flat Whisk, Food mixer, Wire Whip, 650 Watts, 5.5 qt Glass Bowl, 6 Speeds",2212,4.3,Amazon Home,KLARSTEIN,,https://m.media-amazon.com/images/I/71NNV6DbDZL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07YBWJPY8,"Pasta Maker Attachments Set for all KitchenAid Stand Mixer, including Pasta Sheet Roller, Spaghetti Cutter, Fettuccine Cutter by Nevku",2067,4.6,Amazon Home,Nevku,105.99,https://m.media-amazon.com/images/I/71fwJmeaWML._AC_SL1500_.jpg,True,OK (image/jpeg),
B09J3VCMVF,"Homai Stand Mixer Cover Compatible with Tilt Head 4.5-5 Quart KitchenAid Mixer, Cloth Dust Cover with Pocket for Extra Attachments (Gray)",1929,4.7,Amazon Home,Homai,13.99,https://m.media-amazon.com/images/I/71StC8UU1cL._AC_SL1500_.jpg,True,OK (image/jpeg),"Protect your valuable stand mixer from erosive kitchen vapor, dust or lampblack! Sturdy, plain water-resistant nylon fabric with neat stitches effectively wards off dings, scratches, dust and food spl..."
B089VKNHG8,"Meat Grinder Attachment for KitchenAid Stand Mixers, Accessories Included 2 Sausage Stuffer Tubes, Durable Metal Food Grinder Attachments by Kitchood, Silver",1880,4.6,Amazon Home,Kitchood,39.99,https://m.media-amazon.com/images/I/61hgWGT+ilL._AC_SL1500_.jpg,True,OK (image/jpeg),Metal meat grinder for kitchenaid
B08RMQC2YH,"Mini Angel Electric Stand Mixer, 5.5 Quarts, Dough Hook, Flat Beater, Wire Whisk Attachments, 10+P Speeds with Splash Guard, Lavender with DIY STICKERS",1861,4.5,Amazon Home,Mini Angel,99.99,https://m.media-amazon.com/images/I/712w5XLfA9L._AC_SL1500_.jpg,,not checked,
B08JLJ98QL,"Stand Mixer Cover,Kitchen Mixer Cover Compatible With 5-8 Quart Kitchenaid Hamilton Mixers,Pioneer Woman Kitchen Mixer Cover for Stand Mixer With Pockets,Kitchen Aid Mixer Assecories",1710,4.5,Amazon Home,CEMGYIUK,14.58,https://m.media-amazon.com/images/I/81LHFrHmdNL._AC_SL1500_.jpg,,not checked,"kitchen Aid mixer cover. FEATURES: made of durable Polyester Taffeta Fabric Durable,Dust-proof and easy to clean Can folding into a small, space-saving Package include 1 x kitchen aide stand mixer cov..."
B0892MRLNN,CHEFTRONIC Stand Mixer Tilt-head Mixers Kitchen Electric Dough Mixer for Household Aids 120V/650W 5.5qt Stainless Steel Bowl,1660,4.4,Amazon Home,CHEFTRONIC,,https://m.media-amazon.com/images/I/617vM6An0JL._AC_SL1000_.jpg,,not checked,
B005Y4O3FA,"Sunbeam Mixmaster Dual Function Hand and Stand Mixer, 250 W, 5 Speed, White",1534,4.3,Amazon Home,Sunbeam,,https://m.media-amazon.com/images/I/41+APe4b3eL._AC_.jpg,,not checked,"5 speeds; heel rest design ,250-watt motor. Chrome beaters and dough hooks. Manufactured in Canada."
B07Z62T4KQ,KitchenAid Professional 5 Plus Series Stand Mixers - Silver,1454,4.6,Amazon Home,KitchenAid,,https://m.media-amazon.com/images/I/81swHS3CXgL._AC_SL1500_.jpg,,not checked,Direct drive transmission and wide bowl Capacity supply this mixer with the powerful ability to mix large batches of heavy batter and dough. Features the power knead spiral dough hook and a 5-quart po...
B0BCYL26Q4,"Metal Food Grinder Attachment for KitchenAid Stand Mixers, Kitchen aid Meat Grinder Included 3 Sausage Stuffer Tubes, 4 Grinding Plates, 2 Grinding Blades, Kubbe Meat Processor Accessories",1430,4.5,Amazon Home,GVODE,40.99,https://m.media-amazon.com/images/I/71y2w9RURJL._AC_SL1500_.jpg,,not checked,
B06XDZ17CB,"Evermarket Stand Mixer Dust Proof Cover with Pocket and Organizer Bag for Kitchenaid,Sunbeam,Cuisinart,Hamilton Mixer (Red)",1363,4.6,Amazon Home,EVERMARKET,10.98,https://m.media-amazon.com/images/I/71hLMZNvUFL._AC_SL1200_.jpg,,not checked,
B07NQ545K7,"COSTWAY Stand Mixer, 6-Speed 7.5 QT Tilt-head Electric Kitchen Food Mixer 660W with Stainless Steel Bowl, Dough Hook, Beater, Whisk",1145,4.6,Amazon Home,COSTWAY,99.99,https://m.media-amazon.com/images/I/61eXmW8h+xL._AC_SL1200_.jpg,,not checked,
