parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B088ZKP6HB,Home Office Chair Ergonomic Desk Chair Mesh Computer Chair with Lumbar Support Armrest Executive Rolling Swivel Adjustable Mid Back Task Chair for Women Adults (Orange),50514,4.3,Amazon Home,BestOffice,24.99,https://m.media-amazon.com/images/I/71T4TTNYJTL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0779NY6PC,Furmax Office Chair Desk Chair Leather Gaming Chair Computer Chair Racing Style Ergonomic Adjustable Swivel Task Chair with Lumbar Support and Arms (Grey),34929,4.2,Amazon Home,Furmax,78.99,https://m.media-amazon.com/images/I/71KOWddUvGL._AC_SL1500_.jpg,True,OK (image/jpeg),"*Specifications: - Color:Grey  - Product Size(Backrest):19.8""X26.5""  - Product Size(Seat):19.8""X19.8""  - Load Capacity: 280 LBS  - Adjustable height from 15.2 to 18.3""  - Backrest height adjustable do..."
B086VSQND8,"ComfiLife Anti Fatigue Floor Mat – 3/4 Inch Thick Perfect Kitchen Mat, Standing Desk Mat – Comfort at Home, Office, Garage – Durable – Stain Resistant – Non-Slip Bottom (20"" x 32"", Rose Gold)",32076,4.8,Amazon Home,ComfiLife,47.95,https://m.media-amazon.com/images/I/91rhbHaUC3L._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BJ5NYWDT,"OFM Gaming Chair Ergonomic Racing Style PC Computer Desk Office Chair - 360 Swivel, Integrated Lumbar Support & Headrest, Adjustable Height, Recline Tilt Control, Flip-Up Arms, 275lb Max (2020 Green)",23023,4.5,Amazon Home,OFM,149.88,https://m.media-amazon.com/images/I/71Q0sPYZxOL._AC_SL1500_.jpg,True,OK (image/jpeg),Generation 1.0 : The Essentials by OFM seating collection is where quality meets value - and now it's taking the Generation 1.0 chair to a whole new level with the ESS-3085 series. Designed in an ergo...
B0BTHDXBZT,"SHW Home Office 48-Inch Computer Desk, White/Oak",22700,4.6,Amazon Home,SHW,70.87,https://m.media-amazon.com/images/I/814bSh3FpQL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09CQ18FX9,"Foxemart Computer Desks Modern Sturdy Office Desk PC Laptop Notebook Study Writing Table for Home Office Workstations, White",19181,4.5,Amazon Home,Foxemart,72.99,https://m.media-amazon.com/images/I/614+6GUT08S._AC_SL1500_.jpg,True,OK (image/jpeg),"Foxemart Computer Office Desk, Study Writing Table - Stable Structure, Easy assembly, Convenient Move, Strong and Durable. With a contemporary, minimalist design, the Foxemart computer desk offers you..."
B0C4871WHV,"KANGAROO Thick Ergonomic Anti Fatigue Cushioned Kitchen Floor Mats, Standing Office Desk Mat, Waterproof Scratch Resistant Topside, Supportive All Day Comfort Padded Foam Rugs, 70x24, Navy",17831,4.5,Amazon Home,KANGAROO,89.99,https://m.media-amazon.com/images/I/61d4N1a8Y8L._AC_SL1000_.jpg,True,OK (image/jpeg),
B09RNB69M1,"Gorilla Grip Anti Fatigue Cushioned Kitchen Floor Mats, Thick Ergonomic Standing Office Desk Mat, Waterproof Scratch Resistant Pebbled Topside, Supportive Comfort Padded Foam Rugs, 17x24 Sky Blue",12999,4.6,Amazon Home,Gorilla Grip,35.55,https://m.media-amazon.com/images/I/61x0ExZ9OVL._AC_SL1000_.jpg,True,OK (image/jpeg),
B07SFY91YW,"Tribesigns Modern Computer Desk, 70.8 x 31.5 inch Large Office Desk Computer Table Study Writing Desk Workstation for Home Office, Black Metal Frame, Grey Oak",11711,4.5,Amazon Home,Tribesigns,209.99,https://m.media-amazon.com/images/I/61oIfsdNf0L._AC_SL1500_.jpg,True,OK (image/jpeg),
B083C1C775,"JALL Digital Alarm Clock, with Wooden Electronic LED Time Display, 3 Dual Plus Alarm, 2.5-inch Cubic Small Mini Wood Made Electric Clocks for Bedroom, Bedside, Desk, Black",10984,4.3,Amazon Home,JALL,14.99,https://m.media-amazon.com/images/I/61-aroj7ZFL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BX6BQZ4N,"FLEXISPOT Height Adjustable Desk, Electric Sit Stand Desk Home Office Table Standing Desk (60x24 Black+Maple 2 Packages)",10275,4.6,Amazon Home,FLEXISPOT,279.99,https://m.media-amazon.com/images/I/61XwgeKXm7L._AC_SL1500_.jpg,,not checked,
B08NK1K8ZJ,"ZINUS Jennifer 63 Inch Black Frame Desk / Computer Workstation / Office Desk / Easy Assembly, Deep Espresso",9935,4.7,Amazon Home,Zinus,163.99,https://m.media-amazon.com/images/I/81xQLeCe2qL._AC_SL1500_.jpg,,not checked,"Your office space should be just as functional and inviting as your living area or bedroom, which is why we created the Jennifer Desk. Built to make getting down to business a breeze, this sleek metal..."
B09XX9HBDJ,"Mr IRONSTONE Computer Desk 31"" Small Home Office Gaming Desk for Small Spaces, Writing Desk Study Table with Storage Bag, Laptop Table with Cup Holder and Headphone Hook (Stylish Black)",9793,4.7,All Electronics,Mr IRONSTONE,79.97,https://m.media-amazon.com/images/I/71we0Ny5Y+L._AC_SL1500_.jpg,,not checked,
B09TQWPL15,OHAHO Gaming Chair Racing Style Office Chair Adjustable Massage Lumbar Cushion Swivel Rocker Recliner Leather High Back Ergonomic Computer Desk Chair with Retractable Arms and Footrest (Black/Red),9647,4.3,Amazon Home,OHAHO,109.99,https://m.media-amazon.com/images/I/71SORtTTb1L._AC_SL1500_.jpg,,not checked,
B09K3HVH39,"VASAGLE L-Shaped Computer Desk, Corner Desk, 54-Inch Writing Study Workstation, Rustic Brown and Black ULWD72X​",9525,4.8,Amazon Home,VASAGLE,109.99,https://m.media-amazon.com/images/I/71Uu32vFNWL._AC_SL1500_.jpg,,not checked,
B0C3R57GVK,"GreenForest Folding Desk No Assembly Required, Computer Desk with 2-Tier Shelf Foldable Table for Small Spaces Fully Unfold 32 x 24.5 inch, Espresso",8691,4.7,Amazon Home,GreenForest,89.99,https://m.media-amazon.com/images/I/71ocLe3ljIL._AC_SL1500_.jpg,,not checked,
B07WVYWC3Y,"TOPSKY Compact Computer Desk with Storage Shelves/Keyboard Tray/Monitor Stand Study Table for Home Office (46.5x19 inch, Espresso Gray)",8512,4.7,Amazon Home,TOPSKY,129.99,https://m.media-amazon.com/images/I/61wf1LVaZVL._AC_SL1500_.jpg,,not checked,
B09XV86L6B,GTRACING Gaming Chair with Footrest Speakers Video Game Chair Bluetooth Music Heavy Duty Ergonomic Computer Office Desk Chair Red,8454,4.6,All Electronics,GTRACING,129.99,https://m.media-amazon.com/images/I/61bbIn9rXGL._AC_SL1500_.jpg,,not checked,
B098JCLDDR,"SARAFLORA Office Chair Cover- Large, Purple- Removable Computer Chair Cover for Office Chair with Zipper for Universal Rotating Chair Desk Chair Cover High Back Chair Seat Washable Protector for Pets",8242,4.3,Amazon Home,SARAFLORA,17.99,https://m.media-amazon.com/images/I/51fOr7bfHoL._AC_SL1200_.jpg,,not checked,
B0B6Q9YJYR,"iPrimio Oversized Bed Risers - Square, 3 Inch Lift, Heavy Duty, 6 Pack, Up to 6000lbs - Bed Raising Blocks, Furniture Risers - Safe, Sturdy Bed Lifts for College Dorm Rooms, Couches, Tables, Desks",6920,4.6,Amazon Home,iPrimio,47.99,https://m.media-amazon.com/images/I/71nl85Z2FEL._AC_SL1500_.jpg,,not checked,
B08N4GR3PJ,"CubiCubi Computer Home Office Desk, 47 Inch Small Desk Study Writing Table with Storage Shelves, Modern Simple PC Desk with Splice Board, Black Brown Finish",6454,4.6,Amazon Home,CubiCubi,89.99,https://m.media-amazon.com/images/I/71DV8R7o1RL._AC_SL1500_.jpg,,not checked,
B09B37P12R,"AMEITECH Acrylic Photo Frame 5x7 inches, Free Standing Desktop Double Sided Magnetic Picture Display, 10 + 10MM Thickness Clear Magnet Photo Frame with Microfiber Cloth, Gift Box Package",6404,4.8,Amazon Home,AMEITECH,16.99,https://m.media-amazon.com/images/I/619oxY9ohuL._AC_SL1000_.jpg,,not checked,
B08D6Y62B7,"16 Pcs Drawer Organizer Set Dresser Desk Drawer Dividers - 5 Size Bathroom Vanity Cosmetic Makeup Trays - Multipurpose Clear Plastic Storage Bins for Jewelries, Kitchen Gadgets and Office Accessories",6334,4.7,Tools & Home Improvement,Seseno,14.99,https://m.media-amazon.com/images/I/81tR1cjIvPL._AC_SL1500_.jpg,,not checked,Keep your Desks Drawers Dressers or Vanity neatly organized with these Multipurpose Clear Plastic organizer storage Trays. Practical design to help maximize your space. Use them side by side to keep i...
B07C88N6D5,"Need Small Computer Desk 31.5 inches Sturdy Writing Desk for Small Spaces, Small Desk Teens Desk Study Table Laptop Desk, Teak AC3-8040-BB",6319,4.6,Amazon Home,Need,59.99,https://m.media-amazon.com/images/I/51VeVi4ZhtL._AC_SL1300_.jpg,,not checked,
B0828KLX3S,"Cubiker Computer Desk 63"" Modern Sturdy Office Desk Large Writing Study Table for Home Office with Extra Strong Legs, White",5722,4.6,Amazon Home,Cubiker,,https://m.media-amazon.com/images/I/61JuPxM9DbL._AC_SL1498_.jpg,,not checked,"This computer desk is for home office use. Modern simple style enables it to fit most of your home decoration style. The Art Work Collectible Series can help you transform your office into an active, ..."
B0BVFT69TG,Kootek 9 Pcs Drawer Organizer 4-Size Bathroom Drawer Organizers Clear Plastic Desk Storage Bins Vanity Makeup Drawer Dividers for Jewelry Dresser Bedroom Kitchen Gadgets Office (Grey),5521,4.7,Amazon Home,Kootek,18.99,https://m.media-amazon.com/images/I/719cst4bgRL._AC_SL1500_.jpg,,not checked,
B08KQKZ9NB,"Boxalls 5x7 Inches Acrylic Picture Frame, Double Sided Clear Frameless Photo Frame with Magnetic Desktop Transparent",5515,4.8,Amazon Home,Boxalls,15.99,https://m.media-amazon.com/images/I/81N3ygZuncL._AC_SL1500_.jpg,,not checked,
B09NNL7XJX,"PVC Tablecloths Transparent Acrylic Clear Table Protector Vinal Tabletop Protection Cover Carpet Protector Office Desk Mat for Computer Wooden Furniture Cabinet Shelf Granite Screen Cover Mat 12x72""",5483,4.4,Amazon Home,Wadrac,24.88,https://m.media-amazon.com/images/I/51sOjvdPwHL._AC_SL1000_.jpg,,not checked,
B07ZCWTQ62,"Teraves Computer Desk/Dining Table Office Desk Sturdy Writing Workstation for Home Office (55.11“, Black Oak)",5169,4.7,Amazon Home,Teraves,89.99,https://m.media-amazon.com/images/I/71ZEloEFV4L._AC_SL1500_.jpg,,not checked,
B0BMQB9MQZ,"ROCKPOINT Axess Computer Keyboard Tray and Drawer Small Home Office Bedroom, Homework and School Studying Writing Desk for Student with Storage,Chocolate",5146,4.4,Amazon Home,Rockpoint,149.0,https://m.media-amazon.com/images/I/51n7qZXtkmL._AC_SL1000_.jpg,,not checked,"Rockpoint Axess Desk with Keyboard Tray, Chocolate"
