parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B09GBG54BY,HYDRO CELL Stainless Steel Insulated Water Bottle with Straw - For Cold & Hot Drinks - Metal Vacuum Flask with Screw Cap and Modern Leakproof Sport Thermos for Kids & Adults (Fuchsia 24oz),55702,4.8,Amazon Home,HYDRO CELL,19.99,https://m.media-amazon.com/images/I/81rrnoYzYBL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BL9R9KFZ,Simple Modern Insulated Tumbler with Lid and Straw | Iced Coffee Cup Reusable Stainless Steel Water Bottle Travel Mug | Gifts for Women Men Her Him | Classic Collection | 28oz | Cream Leopard,35869,4.8,Amazon Home,Simple Modern,28.99,https://m.media-amazon.com/images/I/51nkIItkRBL._AC_SL1275_.jpg,True,OK (image/jpeg),"The Simple Modern Classic Tumbler is double walled and vacuum insulated to keep your drink hot or cold for hours. The cup comes with two lids, a straw lid and a flip lid, so you can enjoy your favorit..."
B085GZ5YMR,"Chilly's Bottles | Leak-Proof, No Sweating | BPA-Free Stainless Steel | Reusable Water Bottle | Double Walled Vacuum Insulated | Keeps Cold for 24+ Hrs, Hot for 12 Hrs",34148,4.7,Sports & Outdoors,Chilly's,34.84,https://m.media-amazon.com/images/I/71V+M5ioWSL._AC_SL1500_.jpg,True,OK (image/jpeg),The Chilly's drinking bottle. The Chilly's drinking bottle is a revolutionary reusable bottle that can keep your drinks extremely cool for up to 24 hours. Unmistakable style. The design of the Chilly'...
B09PGPMB31,"IRON °FLASK Sports Water Bottle - 24 Oz, 3 Lids (Straw Lid), Leak Proof, Vacuum Insulated Stainless Steel, Hot Cold, Double Walled, Thermo Mug, Standard Metal Canteen",24289,4.8,Amazon Home,IRON °FLASK,24.45,https://m.media-amazon.com/images/I/61DCqCko0mL._AC_SL1500_.jpg,True,OK (image/jpeg),Have you ever been so thirsty that you spilled water down your chin and neck while drinking? No? Ohâ¦ yeahâ¦ neither have we. And this cup holder-friendly Iron Flask 24 oz Water Bottle With Spout Li...
B0BM9BHMMN,"Simple Modern Water Bottle with Straw and Chug Lid Vacuum Insulated Stainless Steel Metal Thermos Bottles | Reusable Leak Proof BPA-Free Flask for Gym, Sports| Summit Collection | 32oz, Copper Leopard",18753,4.8,Amazon Home,Simple Modern,34.99,https://m.media-amazon.com/images/I/717pjVdVM+L._AC_SL1500_.jpg,True,OK (image/jpeg),The Simple Modern Summit Water Bottle with Straw Lid and Chug lid comes with two different lid options to best fit your daily needs. The Straw Lid and Chug lids are both leak-proof and have a transpor...
B09G9F2GVB,"Elvira 32oz Vacuum Insulated Stainless Steel Water Bottle with Straw & Spout Lids, Double Wall Sweat-proof BPA Free to Keep Beverages Cold For 24Hrs or Hot For 12Hrs",18263,4.7,Sports & Outdoors,Elvira,21.99,https://m.media-amazon.com/images/I/710xkpORmxL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07R2DR3YL,"Snug Kids Water Bottle - insulated stainless steel thermos with straw (Girls/Boys) - Cars, 12oz",16040,4.6,Amazon Home,Snug,20.99,https://m.media-amazon.com/images/I/61Z21z+rDFL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09VB2VM9R,"SENDESTAR Stainless Steel Water Bottle, 2 or 3 Lids(32 oz,40 oz,64oz), Double Wall Vacuum Insulated Leak Proof, Wide Mouth Water bottle with Straw Lid, Spout Lid, Keep Liquids Hot or Cold",15964,4.7,Sports & Outdoors,SENDESTAR,29.99,https://m.media-amazon.com/images/I/71mTsXt47mL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BTHXS2F2,Simple Modern Insulated Tumbler with Lid and Straw | Iced Coffee Cup Reusable Stainless Steel Water Bottle Travel Mug | Gifts for Women Men Her Him | Classic Collection | 24oz | Dreamcicle,15870,4.8,Amazon Home,Simple Modern,,https://m.media-amazon.com/images/I/71Sq+JX6yUL._AC_SL1214_.jpg,True,OK (image/jpeg),"The Simple Modern Classic Tumbler is double walled and vacuum insulated to keep your drink hot or cold for hours. The cup comes with two lids, a straw lid and a flip lid so you can enjoy your favorite..."
B08H4CVND8,"Umite Chef Stainless Steel Water Bottle with Straw, 64 OZ Wide Mouth Vacuum Insulated Sports Water Thermos Bottle with Leak-proof Wide Handle Straw Lid, Double Walled Flask Thermos Mug(Ocean)",15234,4.6,Amazon Home,Umite Chef,27.99,https://m.media-amazon.com/images/I/615BawpHRsS._AC_SL1500_.jpg,True,OK (image/jpeg),
B0968DHKN2,"Glink Stainless Steel Water Bottle with Straw, 12-64 oz Wide Mouth Double Wall Vacuum Insulated Water Bottle Leakproof, Straw Lid and Spout Lid with New Rotating Rubber Handle",12895,4.7,Sports & Outdoors,GLINK,15.24,https://m.media-amazon.com/images/I/710RReXcAmS._AC_SL1500_.jpg,,not checked,
B0BRPBXZ1N,"Brita Insulated Filtered Water Bottle with Straw, Reusable, Stainless Steel Metal, 32 Ounce",12491,4.6,Amazon Home,Brita,41.49,https://m.media-amazon.com/images/I/610J8CYl+7L._AC_SL1500_.jpg,,not checked,"Enjoy great-tasting water anywhere with the Brita 32 Ounce Stainless Steel Premium Filtering Water Bottle. The durable, double wall insulated bottle stays cold for a full 24 hours. It includes 1 repla..."
B08KJPNX4V,"CSBD Beer Can Coolers Sleeves, Soft Insulated Reusable Drink Caddies for Water Bottles or Soda, Collapsible Blank DIY Customizable for Parties, Events or Weddings, Bulk (12, White)",10770,4.7,Amazon Home,CSBD,8.95,https://m.media-amazon.com/images/I/816OlTuisyL._AC_SL1500_.jpg,,not checked,
B08C2QP211,"BUZIO Stainless Steel Insulated Water Bottle Flask Jug, 64 oz Water Bottle with Straw Lids, Half Gallon Canteen Metal Thermo Mug Hydro Jug, Double Vacuum Hot Cold Water Bottles Carrying Pouch, Blue",10594,4.7,Amazon Home,BUZIO,38.99,https://m.media-amazon.com/images/I/71Oyv5EdjdL._AC_SL1500_.jpg,,not checked,
B08D4ZJCCR,"Simple Modern 40oz Water Bottle, Insulated Reusable Wide Mouth Stainless Steel Metal Flask with Chug Lid and Silicone Boot, Sunshine",10184,4.7,Amazon Home,Simple Modern,,https://m.media-amazon.com/images/I/61Ncl8fNUxL._AC_SL1500_.jpg,,not checked,
B086BMBMWN,"IRON °FLASK Sports Water Bottle - 32 Oz, 3 Lids (Spout Lid), Leak Proof, Vacuum Insulated Stainless Steel, Hot Cold, Double Walled, Thermo Mug, Standard Metal Canteen",9097,4.7,Tools & Home Improvement,IRON °FLASK,28.85,https://m.media-amazon.com/images/I/71uJ6KJ1WXL._AC_SL1500_.jpg,,not checked,
