parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B09J4RVRMP,"CubiCubi 47 Inch Small L Shaped Computer Desk with Storage Shelves Home Office Corner Desk Study Writing Table, Deep Brown",962,4.5,Amazon Home,CubiCubi,109.99,https://m.media-amazon.com/images/I/81Fzr+gckSL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09PNBPJ2K,"JISULIFE Small Desk Fan, Portable USB Rechargeable Fan, 160° Tilt Folding Personal Mini Fan with 2000mAh Battery, Strong Wind, Ultra Quiet, 4 Speed Modes for Office, Home, Camping - Brown",863,4.5,Amazon Home,JISULIFE,22.99,https://m.media-amazon.com/images/I/61WDQ-oEJML._AC_SL1500_.jpg,True,OK (image/jpeg),
B08LDBNTWW,"VON RACER Massage Gaming Chair, Desk Office Chair High-Back Swivel Computer Chair with Retractable Footrest and Adjustable Lumbar Support",636,4.4,Amazon Home,VON RACER,,https://m.media-amazon.com/images/I/51EF42N6I3L._AC_SL1000_.jpg,True,OK (image/jpeg),
B07TP32NF7,"Tangkula 66"" × 66"" L-Shaped Desk, Corner Computer Desk with Drawers Keyboard Tray and Storage Cabinet, Home Office Desk, Sturdy and Space-Saving Computer Workstation",487,4.0,Amazon Home,Tangkula,349.99,https://m.media-amazon.com/images/I/61p4X5jXNzL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BBL2H3Z3,"bilbil 48 x 24 Inches Electric Height Adjustable Standing Desk, Stand Up Home Office Computr Desk with 4 Memory Preset Options, Double-Beam Construction, Anti-Collision Technology",481,4.6,Amazon Home,bilbil,159.99,https://m.media-amazon.com/images/I/61T9do2EKtL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BMDT3YQ2,"CubiCubi L Shaped Computer Desk, 59"" Reversible Gaming Desk with Storage Shelves, Corner Desk for Home Office, Space Saving Modern Desk, Easy to Assemble, Fir",421,4.4,Amazon Home,CubiCubi,109.99,https://m.media-amazon.com/images/I/71hTc8ckx+L._AC_SL1500_.jpg,True,OK (image/jpeg),
B08QT7GDVG,"Dorel Living Drafting and Craft Counter Height Desk, Espresso",385,4.2,Amazon Home,Dorel Living,,https://m.media-amazon.com/images/I/71H6NTjf5yL._AC_SL1500_.jpg,True,OK (image/jpeg),"Let your creativity run wild with the versatile Dorel Living Drafting and Craft Counter Height Desk. Crafted with a sturdy wood construction and a mature espresso finish, this desk ensures sturdiness ..."
B094G82664,"Rolanstar Height Adjustable Desk, 47"" Standing Desk with Drawers and Monitor Shelf, Electric Standing Table with Double Headphone Hooks, Rustic Brown",332,3.6,Amazon Home,Rolanstar,149.99,https://m.media-amazon.com/images/I/71ALWN0nLPL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09JK42QBK,"Easy-Going Reversible Office Chair Cover Water Resistant Dining Chair Cover Soft Desk Computer Chair Slipcover with Anti-Slip Buckle for Armchair or Armless Chair (Large, Camel/Ivory)",306,4.1,Amazon Home,Easy-Going,29.99,https://m.media-amazon.com/images/I/61fixzy4KhL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0B4T6QH9N,LED Music Crystal Snow Globe with Hourglass Timer Home Decoration for Living Room Bedroom Book Shelf TV Cabinet Desktop Decor Statue Figurine Table Centerpieces Ornaments(A Silver),298,4.4,Amazon Home,IDORTYBB,24.99,https://m.media-amazon.com/images/I/71AHUF0PFbL._AC_SL1500_.jpg,True,OK (image/jpeg),
B01ND19J9W,"Ameriwood Home Landon Desk, Weathered Oak",273,4.3,Amazon Home,Ameriwood Home,83.99,https://m.media-amazon.com/images/I/41AuQ+gU2+L._AC_.jpg,,not checked,"If you’re looking for a space-saving modern desk, then check out the Ameriwood Home Landon Desk. This Desk is designed with a smaller footprint, making it perfect for apartments, bedrooms and dorm roo..."
B09YPSWB7S,Owl vase Owl Gifts for Women Fall owl Decorations for Home Office Desk Accessories for Women TV Stand Decor Bedroom Living Room Accessories Owl Decor Black and White Owl Canister Statue,255,4.3,Amazon Home,BOYOWO,13.98,https://m.media-amazon.com/images/I/71UCUHPHGsL._AC_SL1200_.jpg,,not checked,
