parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B08JYZR8GH,Diller Glass Tumbler with Straw 16oz Glass Water Bottle with Silicone Protective Sleeve Bamboo Lid - BPA Free (Pink),780,3.9,Amazon Home,Diller,12.99,https://m.media-amazon.com/images/I/51KJBYD2eNL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08J2QTFJF,"mDesign Plastic Water Bottle Organization/Wine Rack Storage Organizer for Kitchen Countertops, Cabinet, Bin, Pantry, Fridge, Refrigerator, 3 Tiers, 9 Bottles, Lumiere Collection - Black",702,4.7,Amazon Home,mDesign,24.49,https://m.media-amazon.com/images/I/61wnnP9tSEL._AC_SL1000_.jpg,True,OK (image/jpeg),
B0BNR1X9LD,"JoyJolt Triple Insulated Water Bottle with Straw Lid AND Flip Lid! 22oz Water Bottle, 12 Hour Hot/Cold Vacuum Insulated Stainless Steel Water Bottle. BPA-Free Leakproof Water Bottles - Thermos Bottle",643,4.6,Amazon Home,JoyJolt,15.95,https://m.media-amazon.com/images/I/71rDtq0iWTL._AC_SL1500_.jpg,True,OK (image/jpeg),
B084KXCZJ2,Layer 8 Stainless Steel Portable Water Bottle with Pop Up Straw and Screw on Lid,570,4.5,Tools & Home Improvement,Layer 8,15.99,https://m.media-amazon.com/images/I/61u1T9DNybL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BZX2GPC5,"Ello Cooper Vacuum Insulated Stainless Steel Water Bottle with Soft Straw and Carry Loop, Double Walled, Leak Proof, Gray, 22oz",554,4.5,Amazon Home,Ello,19.99,https://m.media-amazon.com/images/I/71--mfL5grL._AC_SL1500_.jpg,True,OK (image/jpeg),"The Ello Cooper Vacuum Insulated Stainless Steel Water Bottle features a soft silicone straw and a locking, leak-proof flip lid to keep the drink surface fully covered during transport. Cooper keeps d..."
B07QJD4GBR,"Insulated Lunch Bag for Men, Women & Kids with water bottle holder, Professional lunchbox for adults, Mens lunchbox for work, School and Outdoor Activities, waterproof insulated lunch box, Dark Blue",500,4.7,Amazon Home,Healthy Packers,10.49,https://m.media-amazon.com/images/I/71z0XUKgkPL._AC_SL1080_.jpg,True,OK (image/jpeg),
B0893PNXQP,"Nayad 22 oz Stainless Steel Vacuum Insulated Thermos Tumbler, Automotive Cup Holder Compatible Travel Coffee Mug Water Bottle with Straw and Lid for Iced Cold/Hot, 1 Count (Pack of 1), Sand",463,4.7,Amazon Home,NAYAD,,https://m.media-amazon.com/images/I/51L4OyAyEwL._AC_SL1500_.jpg,True,OK (image/jpeg),Designed with a wide-mouth lid that can easily be reached into and hand washed.
B0BLG18VCS,"Simple Modern 22oz Water Bottle, Insulated Reusable Wide Mouth Stainless Steel Metal Flask with Handle Lid, Pattern: Carrara Marble",455,4.7,Amazon Home,Simple Modern,,https://m.media-amazon.com/images/I/71jA9y0BByL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08Y682VK6,"Lit Handlers Neoprene Water Bottle Sleeve - 16-24 oz Insulated Water Bottle Holder for Walking, Running, & Cycling - Soda Can Cooler & Beer Sleeve - Water Resistant Insulated Coozies & Drink Covers",411,4.5,Amazon Home,Handlers,10.49,https://m.media-amazon.com/images/I/71zjH8rym3L._AC_SL1500_.jpg,True,OK (image/jpeg),
B07C1VW6D3,Thermi Ice Cube Tray with Easy Release Push Pop Out Narrow Ice Stick Cubes for Small Mouth Sport Water Bottles like S'well 'Cola' Vacuum Insulated Bottles (3 Pack),397,4.1,Amazon Home,Thermi,,https://m.media-amazon.com/images/I/61DkeYqJkOL._AC_SL1000_.jpg,True,OK (image/jpeg),
B07Q3ZLSJT,"Drinco stainless steel water bottle insulated water bottle| Canteen | Loop Cap | Double Wall | Wide Mouth | Triple Insulated | Powder Coated Durability |18/8 Grade | 17oz (Aqua, 17oz Canteen)",351,4.6,Amazon Home,Drinco,11.95,https://m.media-amazon.com/images/I/61q8VCR+BWL._AC_SL1500_.jpg,,not checked,
B088VN53F8,AquaNation Dew Cap Replacement - 55mm Snap On Crown Top Fit 3 & 5 Gallon Water Bottles Snug & Tight Leak Proof Reusable BPA-Free Jug Lids (6 Dew Caps),343,4.5,Tools & Home Improvement,AquaNation,13.39,https://m.media-amazon.com/images/I/71iQQcmgy9L._AC_SL1500_.jpg,,not checked,"- Replacement push caps for most of 3 & 5 gallon 55mm snap on crown top water bottles - Light blue cap easy to remove, and tight seal to prevent water spills. - Interior cup assures a seal between bot..."
B079R812SL,"Pur-Go Stainless Steel Water Bottle Tumblers: BPA Free, Vacuum Insulated Travel Mug with Lid and Removable Fruit and Tea Filter  for Hot or Cold Beverages - 17 oz. Infuser Bottles Set of 2",332,4.3,Sports & Outdoors,Pur-Go,21.35,https://m.media-amazon.com/images/I/81U8SQwVCHL._AC_SL1500_.jpg,,not checked,"INSULATED DRINKING BOTTLE  Pur-Go's reusable 17 ounce (500 ml) BPA-free stainless steel water bottles not only help reduce the amount of plastic overwhelming our landfills, they also give you a safe, ..."
B09RZSG29P,"AULEDIO Water Bottle Organizer, 2-Pack 2 Tier Stackable Watre Bottle Holder, Adjustable Bottle Organizer, Brone",293,4.5,Amazon Home,AULEDIO,18.99,https://m.media-amazon.com/images/I/71LOfiFBpbL._AC_SL1500_.jpg,,not checked,
B08V4VK2KH,"Cobra Kai Stickers 102PCS,Cobra Kai Birthday Decorations,Snake Stickers Karate Series Movie Stickers,Cobra Stickers Waterproof Vinyl Stickers for Laptop Luggage Skateboard Water Bottle Guitar",269,4.7,Amazon Home,SERE,6.99,https://m.media-amazon.com/images/I/91bwt9LUuIL._AC_SL1500_.jpg,,not checked,"You will be a Karate and Cobra film class fever lover in your circle! As a sticker lover, these stickers are a must-have. Size: 3.98-8.68cm/1.57-3.42 inches. Material: PVC. Package including 102 pcs n..."
B0BKYG2C26,"Luxfuel 18 oz Clear Glass Bottles with Lids, Reusable Glass Water Bottles with Stainless Steel Cap for Juicing,Refrigerator,100% Leak Proof, BPA Free Eco Friendly,Water Bottle Set of 10",229,4.5,Tools & Home Improvement,Luxfuel,31.99,https://m.media-amazon.com/images/I/61DdEQnp90L._AC_SL1500_.jpg,,not checked,
B0B7FVQ6LG,"tronco Glass Tumbler with Silicone Lid and Straw,20OZ Reusable Iced Coffee Cup,Smoothie Cups,Glass Travel Water Bottle,See Through Silicone Sleeve With Measurement,Dishwasfer Safe,Spill Proof",228,4.4,Amazon Home,tronco,22.99,https://m.media-amazon.com/images/I/410x7f0pX6L._AC_SL1500_.jpg,,not checked,
