parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07Y3ZZ786,DORAMI Transparent Solar Power Radiometer Metal Frame Sun Light Energy Spinning Vanes Windmill Gift Home Desk Decoration,99,4.4,Toys & Games,DORAMI,34.8,https://m.media-amazon.com/images/I/61FIIfRPl1L._AC_SL1500_.jpg,True,OK (image/jpeg),"When you put the radiometer in the sun, the vanes will keep spinning."
B07J66M191,"SIHOO M72-M101 Ergonomics Office Computer Desk Chair, Adjustable Headrests Chair Backrest and Armrest's Mesh Chair (Black)",91,3.5,Office Products,SIHOO,,https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_.gif,True,OK (image/jpeg),
B078VZQCN2,"SERO Innovation Cup Clip Drink Holder - Black - Snap to Tables, desks, Chairs, Shelves, counters. Keep Your Beverage, Smartphone or Other Small Item Secure and Out of The Way.",88,4.0,Amazon Home,SERO Innovation,9.95,https://m.media-amazon.com/images/I/41f4LYosgjL._AC_.jpg,True,OK (image/jpeg),"A premium cup holder, at a not so premium price! Our clip on cup holders are designed to last, made with durable ABS plastic and quality springs. Features: Strong Grip: Hold beverages, and other items..."
B097R8V582,"MQUPIN Rectangle Bed Risers 1.5/3 inch Heavy Duty, 4 Pack Furniture Risers Adjustable Desk Risers for Desk Sofa Table Legs Risers up to 10000 lbs",83,4.2,Amazon Home,MQUPIN,,https://m.media-amazon.com/images/I/61-K9b7GAVS._AC_SL1500_.jpg,True,OK (image/jpeg),
B07J2YCD18,"Tangkula Gaming Desk PC Computer Desk, Home Office Study Writing Table for Small Space, Black Gamer Workstation",83,4.6,Amazon Home,Tangkula,89.99,https://m.media-amazon.com/images/I/61FogIZtwKL._AC_SL1200_.jpg,True,OK (image/jpeg),"Description Our modern Gaming Computer Desk is specifically designed for all your gaming swag so you can focus on that epic battle. It comes with premium MDF board and steel construction, which is hea..."
B07PKRMY8M,"Alpine Industries Wooden Bamboo Rectangular Tissue Box Cover - Eco Friendly Pull Holder/Dispenser - Decorative Organizer for Bathroom, Office Desk & Car (Espresso)",78,4.1,Industrial & Scientific,Alpine Industries,12.74,https://m.media-amazon.com/images/I/71UU9oRJExL._SL1500_.jpg,True,OK (image/jpeg),
B07FSQ7VTS,"8x10 Picture Frame Distressed White - Wall Mount Desktop Display, Frames by EcoHome",65,4.6,Amazon Home,Eco-home,15.2,https://m.media-amazon.com/images/I/71CH3YIvrFL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09W2L33GT,Set of 3 Assorted Small Potted Plants Fake Eucalyptus Plants and Rosemary Plant in Rustic Wooden Planters for Mother Gifts Farmhouse Table Centerpiece Bathroom Shelf Office Desk Indoor Greenery Decor,64,4.7,Amazon Home,Winlyn,17.99,https://m.media-amazon.com/images/I/81MtChulThL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0C5Y15C7H,"Mini Portable Air Conditioner, SKYICE 3-IN-1 Evaporative Air Cooler & Humidifier w/ 4H Timer, 7-Color Night Light, 3 Speeds & 90°Oscillation, 10""Desktop Personal AC Cooling Fan for Room Office Camping",63,4.0,Tools & Home Improvement,SKYICE,59.99,https://m.media-amazon.com/images/I/61jPqD4OsiL._AC_SL1300_.jpg,True,OK (image/jpeg),
B072M1JJ1Z,"Bush Furniture Ironworks Writing Desk, 48W, Coastal Cherry",60,4.0,Amazon Home,Bush Furniture,93.0,https://m.media-amazon.com/images/I/41DdP+RCgPL._AC_.jpg,True,OK (image/jpeg),The kathy ireland® Home by Bush Furniture Ironworks 48W Writing Desk in Coastal Cherry offers incredible durability and unique detailing popular in today's family homes. This collection blends a varie...
B0BGHMSL3S,"Small foot stool ottoman, Teal Velvet rectangle ottoman footrest, bedside step stool with wood legs, small Rectangular stool, foot rest for couch, small leather ottoman for desk, living room, bedroom",55,4.8,Amazon Home,Durfii,38.99,https://m.media-amazon.com/images/I/81Z7Y0CZlsL._AC_SL1500_.jpg,,not checked,
B07LD9J6K4,CAIUL Compatible 68 Pockets Desk Calendar Style Photo Album for Fujifilm Instax Mini 7s 8 8+ 9 25 26 50s 70 90 Films (Purple),46,4.4,Camera & Photo,CAIUL,7.99,https://m.media-amazon.com/images/I/71sSNmaRcML._AC_SL1200_.jpg,,not checked,"The best of best CAIUL Instax Mini Book Album for Film, 68 Photos ABOUT US CAIUL - - Instax films' best companionship CAIUL Instax Mini Album - - Devote to the preservation of instax mini films. NOTIC..."
B09GFVZJST,"YESHOMY Home Office Chair Mid-Back with Lumber Support, Ergonomic Computer Desk Seat, Blue",42,4.1,Amazon Home,YESHOMY,,https://m.media-amazon.com/images/I/81ojaodEJYL._AC_SL1500_.jpg,,not checked,"YESHOMY Office Ergonomic Mesh Chair Feature: An essential chair for home and office, bringing convenience to your life and officeFreely adjustable height meets the height needs of different family mem..."
B08FBXNR98,IMIKEYA Desk Decor Statue - Reading Decor Ornament Figurines for Room Decor Office Decor,38,4.6,Amazon Home,IMIKEYA,28.99,https://m.media-amazon.com/images/I/81hNwPmv0uS._AC_SL1500_.jpg,,not checked,"Features - Color: As shown.- Material: Resin.- Size: 20.5 x 20.5 x 7.5cm.- Brand new and high quality.- Handmade craft, special texture feeling.- A nice choice for home office decoration. Package Incl..."
B09W8KSBHF,"Yangming Desk Chair, Armless Office Mesh Computer Desk Chair Swivel Small Desk Chair Adjustable Black Task Chair No Armrest Mid Back Home Office Chair Perfect for Small Spaces",37,4.0,Amazon Home,Yangming,58.05,https://m.media-amazon.com/images/I/7197ODVxavS._AC_SL1500_.jpg,,not checked,
B09S5LPWFD,"WERSMT Bedside Functional Height Adjustable Table Nightstand with Wheels and, Storage Drawers, Laptop Workstation Desk, Oak",36,3.9,Amazon Home,WERSMT,95.99,https://m.media-amazon.com/images/I/81fMMBgHxzL._AC_SL1500_.jpg,,not checked,
B00H4K6SZU,"Optical Suppliers Bassett Hound Eyeglass Holder - Animal Shaped Polyresin Glasses Holder Stand for Spectacles - Glasses Holder for Nightstand, Desk, and Dressers - Perfect Pet Glasses Stand",35,4.7,Health & Personal Care,Optical Suppliers,31.86,https://m.media-amazon.com/images/I/41VqAuIjdxL._AC_SL1000_.jpg,,not checked,A creative cute glasses holder design inspired by a small domestic animal. This animal glasses holder serves both decorative and practical purposes to prevent scratching or crushing of your lenses. A ...
B09GVMZ6PR,"QSSLLC Computer Desk with Storage Shelves 47 inch Study Desk with 4-Tier Bookshelves, File Bag and Earphone Hook Corner Desk for Home Office and Small Space (Rustic Brown)",34,4.2,Amazon Home,QSSLLC,,https://m.media-amazon.com/images/I/71NKRoOUeGL._AC_SL1500_.jpg,,not checked,SPECIFICATION: Product Size: 51''*25.5''*47.24’’ Packaging Size : 52.36 * 26.77 * 4.33 inches GW: 49.38lbs NW: 42.77lbs Panel Thickness : 1.5 cm P2 particle board Surface : Electrostatic powder coatin...
B07NPW6SMQ,"Sanoma Decorative Tissue Box Cover - Modern, Square, Acrylic Facial Tissue box Holder - Dorm Room, Home Bedroom and Bathroom Accessories - Decor Box for Table, Shelf, Vanity Countertop, Dresser, Desk.",34,4.4,Amazon Home,SANOMA,,https://m.media-amazon.com/images/I/91m-sEnb2GL._AC_SL1500_.jpg,,not checked,"Tired of getting your tissues boxes wet, or maybe you want something that looks good to hide them in? Tissues are bathroom essentials geared more towards function rather than looks. Though some homes ..."
