parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B09L75YM38,"Whisk Attachment for KitchenAid Tilt-Head Stand Mixer K45SS, K45 Wire Whip.",95,4.6,Amazon Home,ORIEMARS,16.99,https://m.media-amazon.com/images/I/61hTWajeaPL._AC_SL1400_.jpg,True,OK (image/jpeg),
B0943Z8QDL,"Masticating Juicer Attachment for KitchenAid All Models Stand Mixers,AMZCHEF Masticating Juicer, Slow Juicer Attachment for All KitchenAid Mixers, Cold Press Juicer Parts",90,4.4,Amazon Home,amzchef,,https://m.media-amazon.com/images/I/71I9N00NB3L._AC_SL1500_.jpg,True,OK (image/jpeg),
B000MTIJGG,"Cuisinart Meat-Grinder Attachment for Cuisinart Stand Mixer, White",82,3.8,Amazon Home,Cuisinart,,https://m.media-amazon.com/images/I/71R6Fnx1HyL._AC_SL1500_.jpg,True,OK (image/jpeg),Now health-conscious consumers can connect the Cuisinart Large Meat Grinder Attachment to any Cuisinart Stand Mixer to grind the ingredients they personally select. This versatile attachment grinds me...
B0BBQ34YC4,Stand Mixer (Black),81,4.3,Amazon Home,Kitchenin,107.9,https://m.media-amazon.com/images/I/61GHedVgBLL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07BBFXNMP,Protac KN1PS Pouring Shield W10616906 For Kitchen Mixer Aid Polished Or Brushed Stainless Steel Tilt Head Stand Mixer Bowls,75,3.7,Amazon Home,Protac,17.99,https://m.media-amazon.com/images/I/61El5W87rOL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09XXJBXRC,"Kitchen Aid Mixer Cover,Kitchen Aid Mixer Accessories with Pockets,Stand Mixer Quilted Dust Cover Compatible with KitchenAid 4.5-5 & 5-8 Quart.Stand Mixer Cover,",69,4.6,Amazon Home,TUYUU,11.88,https://m.media-amazon.com/images/I/81tRCHBoeyL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08Q3R4G5P,"Millie (2 Pack) 5# Knife Meat Grinder Blade,Food Meat Grinder Blade Stainless Steel Knife Cutter Compatible for Size 5 Meat Grinder Stand Mixers Accessories Replacement",69,4.5,Amazon Home,Millie,9.98,https://m.media-amazon.com/images/I/51c8tY0bmvL._AC_SL1071_.jpg,True,OK (image/jpeg),"Extensive application: The BEST sharp replacement blade for the Size 5 Meat Grinder/Stand Mixers.The cutter blade is easy for you to use and help you work with hamburger, sausage, meat, fruits, vegeta..."
B073SLC9ZV,"Penny's Needful Things Canvas Cover Compatible for Kitchenaid Stand Mixer (Orange, 4.5,5,6qt Lift Bowl)",63,4.7,Amazon Home,Penny's Needful Things,,https://m.media-amazon.com/images/I/91NUkoe35dL._AC_SL1500_.jpg,True,OK (image/jpeg),"PLEASE NOTE: Due to your devices color/brightness settings the shade of color may differ when received. Penny's Needful Things handcrafts each item. Located in Minnesota, USA. We ship items using USPS..."
B07H5GXPGX,CHEFTRONIC Stand Mixer Tilt-head Mixers Kitchen Electric Dough Mixer for Household Aids 120V/650W 5.5qt Stainless Steel Bowl (Silver),61,4.2,Amazon Home,CHEFTRONIC,,https://m.media-amazon.com/images/I/41R48bN-YaL._AC_.jpg,True,OK (image/jpeg),
B08R6VQDQ4,"KRISVI Slicer Shredder Attachments for KitchenAid Stand Mixer/Cuisinart Stand Mixer, Vegetable Slicer Cheese Grater for Kitchen, Kitchen Aid Asseccories, White (M-White)",53,4.4,Amazon Home,KRISVI,,https://m.media-amazon.com/images/I/713mKn6D3fL._AC_SL1500_.jpg,True,OK (image/jpeg),
