parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07GVJ6S65,MAMI WATA Stainless Steel Water Bottle – Unique Stylish Design - Vacuum Insulated Double Walled Reusable bottle - Beautiful Sparkle Coating –Perfect for Christmas,97,4.4,Amazon Home,MAMI WATA,,https://m.media-amazon.com/images/I/916gGIdMMmL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09SP15Z45,"64oz Sports Water Bottle, Aikico Stainless Steel Water Bottle with Straw Lid, Double Vacuum Insulated Thermos Mug, Reusable Wide Mouth Flask Thermos for Hot and Cold Drinks(Love-hate)",94,4.6,Amazon Home,Aikico,24.99,https://m.media-amazon.com/images/I/71xE7rqz3MS._AC_SL1500_.jpg,True,OK (image/jpeg),
B0B6QJMS3G,"Blank Neoprene Water Bottle Coolie (4 Pack, Burgundy)",93,4.5,Amazon Home,Coolie Junction,13.64,https://m.media-amazon.com/images/I/71Tp7Tmm90L._AC_SL1500_.jpg,True,OK (image/jpeg),
B082GJGZCT,HYDRATIZE Vacuum-Insulated Lightweight Stainless Steel Water Bottle 17.5 Oz - Thermal Insulation Waterbottle-Reusable Thermo Equipped with Wide Mouth/Leak-Proof Lid,88,4.6,Amazon Home,HYDRATIZE,,https://m.media-amazon.com/images/I/81A+3+cDm9L._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BYPBFF5T,"Almeara Crystal Infused Water Bottle- Amethyst, Rose Quartz, Clear Quartz Crystals in Gem Pod - Tempered Glass with Tea strainer, Lead-Free, BPA-Free, Crack-Resistant, Mindful Spiritual Healing",87,4.3,Tools & Home Improvement,Almeara,39.95,https://m.media-amazon.com/images/I/91KVhHcw2fL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07VV3PML3,Kitchen Drain Cup Holder Water Bottle Drying Drainer Rack - Swan Head Plastic Drainer Stand Mug/Bottle for Kitchen/Dining/Living Room-Assembled Cup Rack (Pink),84,4.4,Amazon Home,HRILI,13.88,https://m.media-amazon.com/images/I/51kc30Nz17L._AC_SL1010_.jpg,True,OK (image/jpeg),"Description: Put it in the kitchen and hang up the cleaned mug/glass/baby bottle, which is convenient and hygienic. In the living room, simple and stylish, the cup holder has a good decorative effect...."
B08921PYMC,AquaNation Dew Cap Replacement - Fit 55mm Snap On Crown Top 3 & 5 Gallon Water Bottles Snug & Tight Leak Proof BPA-Free Jug Lids (Pack of 20),83,4.2,Camera & Photo,AquaNation,23.59,https://m.media-amazon.com/images/I/61v0IQ5DGdL._AC_SL1500_.jpg,True,OK (image/jpeg),"- Replacement push caps for most of 3 & 5 gallon 55mm snap on crown top water bottles - Light blue cap easy to remove, and tight seal to prevent water spills. - Interior cup assures a seal between bot..."
B07YBKQ66R,ICONIQ Stainless Steel Vacuum Insulated Water Bottle with Pop Up Straw Cap | 25 Ounce | Azure Blue,81,4.1,Sports & Outdoors,ICONIQ,,https://m.media-amazon.com/images/I/61IJG-QCJ6L._AC_SL1500_.jpg,True,OK (image/jpeg),
B07C8HN3TG,"Simple Modern Tumbler with Clear Flip Lid and Straw | Reusable Insulated Water Bottle Stainless Steel Travel Mug | Slim Cruiser Collection | 22oz, Winter White",77,4.6,Amazon Home,Simple Modern,,https://m.media-amazon.com/images/I/6152UuliICL._AC_SL1500_.jpg,True,OK (image/jpeg),"The Simple Modern Slim Cruiser is double walled and vacuum insulated to keep your drink hot or cold for hours. Made from 18/10 stainless steel, these tumblers are rust resistant and highly durable. Ea..."
B00AXTQMIC,"Asobu Perma-Frost Water Bottle with Double Wall Freezer Gel Pack, Red",71,3.5,Amazon Home,asobu,,https://m.media-amazon.com/images/I/81B4bWXE9uL._AC_SL1500_.jpg,True,OK (image/jpeg),"The Perma-frost hydra bottle is ideal for storing 20 ounces of water, ice tea, juice or a sport drink. The impact-resistant double wall Tritan withstands sub freezing to boiling temperatures. The perm..."
