parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0BV6LSX8R,"HOEAAS 2 Pack Microfiber Camping Towels, Quick Dry Towel, Super Absorbent Ultra Compact Travel Towel Soft Lightweight Sports Towel for Sweat Fast Drying Towels for Pool,Gym,Hiking,Backpacking,Fitness",3954,4.5,Sports & Outdoors,HOEAAS,8.99,https://m.media-amazon.com/images/I/71lcxwl6tJL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07D8CTXS7,"GSI Outdoors Percolator Coffee Pot | Enamelware Campfire Coffee Boiler Kettle for Outdoor Camping Cookware, Cabin, RV, Kitchen, Hunting & Backpacking",3845,4.4,,GSI Outdoors,24.8,https://m.media-amazon.com/images/I/71ifoRVtduL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0897TXH83,"Bike Helmet, Basecamp Bicycle Helmet with Rear Light & Detachable Magnetic Goggles & Portable Backpack Lightweight Cycling Helmet Adjustable for Adult Men Women Mountain & Road (BC-069)",3165,4.6,Sports & Outdoors,Basecamp,36.97,https://m.media-amazon.com/images/I/71eqBUiS0FL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07G5P98K5,"Sojourner Hydration Pack, Hydration Backpack - Water Backpack with 2l Hydration Bladder, Festival Essential - Rave Hydration Pack Hydropack Hydro for Hiking, Running, Biking, Festival Gear",3114,4.6,Sports & Outdoors,SoJourner Bags,46.99,https://m.media-amazon.com/images/I/913lQcnUz+L._AC_SL1500_.jpg,True,OK (image/jpeg),SoJourner Bags Hydration Pack is the perfect all day hydro backpack Function & fashion all-in-one with our hydration backpack rave collection. Designed to keep you hydrated & stylish for any hands-fre...
B00K7SE1GY,Seibertron Falcon Water Repellent Hiking Camping Backpack Compact Pack Summit Bag,2959,4.6,Sports & Outdoors,Seibertron,59.99,https://m.media-amazon.com/images/I/91no0Ez+slL._AC_UL1500_.jpg,True,OK (image/jpeg),"Tactical assault backpack Capacity: 37L. External dimensions:19""(H) x 11""(W) x 11""(D),waist belt MAX:55 Inch,chest belt MAX:60 Inch , it's a medium backpack; Military backpack is made of high density ..."
B07C8JGN6M,"HIKPRO 20L - The Most Durable Lightweight Packable Backpack, Water Resistant Travel Hiking Daypack for Men & Women",2872,4.7,AMAZON FASHION,HIKPRO,17.99,https://m.media-amazon.com/images/I/71g9rdsTdzL._AC_UL1212_.jpg,True,OK (image/jpeg),
B071JSQG3N,"Athletico Youth Baseball Bag - Bat Backpack for Baseball, T-Ball & Softball Equipment & Gear | Holds Bat, Helmet, Glove | Fence Hook",2801,4.6,Sports & Outdoors,Athletico,39.99,https://m.media-amazon.com/images/I/81DqOPMpaxL._AC_UL1500_.jpg,True,OK (image/jpeg),
B017R9PD8U,BTR Waterproof High Vis Reflective Backpack Cover,2707,4.4,Sports & Outdoors,BTR,,https://m.media-amazon.com/images/I/81CC+C8WdyL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09ZF26KP4,"FAMI Outdoor Tactical Bag Backpack, Military Sport Bag Pack Sling Shoulder Backpack Tactical Satchel for Every Day Carry",2568,4.5,,,12.99,https://m.media-amazon.com/images/I/914ovG5IhNL._AC_UL1500_.jpg,True,OK (image/jpeg),
B08VDB7LDM,"SPARTER Backpack Cooler Insulated Leak Proof 33/45 Cans, 2 Insulated Comaprtments Thermal Bag, Portable Lightweight Beach Travel Camping Lunch Backpack for Men and Women",2485,4.5,Sports & Outdoors,SPARTER,,https://m.media-amazon.com/images/I/81TJgnk69nL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07BNZ7RLL,TRIWONDER Hammock Rain Fly Waterproof Tarp Camping Tent Footprint Ground Cloth Backpacking Tarp Camp Shelter Sunshade Mat for Outdoor Hiking Beach Picnic,2396,4.5,,TRIWONDER,28.99,https://m.media-amazon.com/images/I/51fMm-xdtBL._AC_SL1500_.jpg,,not checked,
