parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0968QMTKG,"MOUNTAINTOP 40L Hiking Backpack for Women & Men Outdoor Travel Camping Day Pack with Rain Cover, 21.7 x 13 x 7.9 in, Black",4394,4.6,Sports & Outdoors,MOUNTAINTOP,54.99,https://m.media-amazon.com/images/I/81QgOfFIyuL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09CD78NZV,Lixada Camping Stove Wood Burning Stoves Portable Backpacking Stove Stainless Steel Alcohol Stove for Outdoor Camping Hiking Backpacking Picnic BBQ,4062,4.3,Sports & Outdoors,Lixada,25.99,https://m.media-amazon.com/images/I/61qBQyai96L._AC_SL1000_.jpg,True,OK (image/jpeg),
B07GB9QV8H,"Bseash 60L Waterproof Lightweight Hiking Backpack with Rain Cover,Outdoor Sport Travel Daypack for Climbing Camping Touring",3138,4.4,Sports & Outdoors,Bseash,39.99,https://m.media-amazon.com/images/I/51UXh-ZVnwL._AC_SL1000_.jpg,True,OK (image/jpeg),
B0C4PFCQN1,"WintMing 70L Camping Hiking Backpack Molle Rucksack Waterproof Traveling Daypack, No Internal Frame",2846,4.4,Sports & Outdoors,W WINTMING,39.99,https://m.media-amazon.com/images/I/71wKaCfLPXL._AC_SL1500_.jpg,True,OK (image/jpeg),"Tactical Travel Backpack MOLLE Rucksack 70L Waterproof Camouflage Suitcase Hunting Mountain Sports Trekking Camping Dimensions: 13.4*6.7*28.75 inches Material: 900D oxford,waterproof,durable and pract..."
B0978JDMHH,G4Free Lightweight Packable Hiking Backpack 40L Travel Camping Daypack Foldable,2684,4.6,Sports & Outdoors,G4Free,19.99,https://m.media-amazon.com/images/I/81RPHycnWPL._AC_SL1500_.jpg,True,OK (image/jpeg),
B098D4K247,"TOMULE Camping Hiking Daypacks, 40L Lightweight Packable Hiking Backpack Travel Backpack for Women Men",2308,4.6,Sports & Outdoors,TOMULE,25.99,https://m.media-amazon.com/images/I/916acds885S._AC_SL1500_.jpg,True,OK (image/jpeg),
B0C6LB8N6K,"MOUNTAINTOP 40L Hiking Backpack and 3L Hydration Bladder for Women & Man Outdoor Backpack with Rain Cover for Camping,Cycling and Traveling",2064,4.6,Sports & Outdoors,MOUNTAINTOP,65.99,https://m.media-amazon.com/images/I/814EkntelZL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07NM89M4L,"RuRu monkey 50L Hiking Backpack, Waterproof Lightweight Daypack for Outdoor Camping Travel",1984,4.4,Sports & Outdoors,RuRu monkey,29.99,https://m.media-amazon.com/images/I/61cpwzqsIrL._AC_UL1000_.jpg,True,OK (image/jpeg),
B01MZY6OON,TRIWONDER Camping Tarp Waterproof Tent Footprint Hammock Rain Fly Cover Ground Cloth Small Lightweight Tent Floor Mat Camp Shelter Canopy for Hiking Backpacking Outdoor,1793,4.3,Sports & Outdoors,TRIWONDER,19.99,https://m.media-amazon.com/images/I/51S919tA9gL._AC_SL1200_.jpg,True,OK (image/jpeg),
B09DMB1BRY,Water Buffalo Hydration Bladder - Water Bladder for Hiking Backpack - Leak Proof 2L Hydration Bladder - Water Reservoir Insulated Hose & High Flow Bite Valve - Oasis 2 Liter Hydration Bladder,1729,4.4,Amazon Home,Water Buffalo,24.95,https://m.media-amazon.com/images/I/71PC+x3P4MS._AC_SL1500_.jpg,True,OK (image/jpeg),
