parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0B7J8Y581,"Repel Umbrella The Original Portable Travel Umbrella - Umbrellas for Rain Windproof, Strong Compact Umbrella for Wind and Rain, Perfect Car Umbrella, Backpack, and On-the-Go",62293,4.5,All Electronics,Repel Umbrella,54.99,https://m.media-amazon.com/images/I/61PG7tEN7vL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09LZV87M7,"Ion8 Sport Water Bottle- Leakproof and BPA-free Water Bottle - Fits in Lunch Boxes, Handbags, Car Cup Holders, Backpacks and Bike Holders, 17 oz / 500 ml (Pack of 1)",32018,4.3,Sports & Outdoors,Ion8,18.72,https://m.media-amazon.com/images/I/61qAFkUF4XL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07WP65XLW,"Kootek Camping Hammock Double & Single Portable Hammocks Camping Accessories for Outdoor, Indoor, Backpacking, Travel, Beach, Backyard, Patio, Hiking",28346,4.7,Sports & Outdoors,Kootek,24.99,https://m.media-amazon.com/images/I/71E-2ZNOLaL._AC_SL1500_.jpg,True,OK (image/jpeg),"Product Description Features: 1. Light weight and breathable. 2. Durable--High strength nylon fabric materials, 3. Portable--Convenient to carry and store,easy to be cleaned. 4. Strong hammock with st..."
B08QZ5YQ5D,"HEETA Waterproof Dry Bag for Women Men, 5L/10L/20L/30L/40L Roll Top Lightweight Dry Storage Bag Backpack with Phone Case for Travel, Swimming, Boating, Kayaking, Camping and Beach",23775,4.6,,HEETA,17.99,https://m.media-amazon.com/images/I/71y6LhmXuoL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07R3J5SYG,"TREKOLOGY Ultralight Inflatable Camping Travel Pillow - ALUFT 2.0 Compressible, Compact, Comfortable, Ergonomic Inflating Pillows for Neck & Lumbar Support While Camp, Hiking, Backpacking",20769,4.5,Amazon Home,TREKOLOGY,17.99,https://m.media-amazon.com/images/I/81ADfqtraJL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07JB9LNSG,"MOSISO Sling Backpack, Multipurpose Crossbody Shoulder Bag Travel Hiking Daypack",20689,4.5,Sports & Outdoors,MOSISO,24.49,https://m.media-amazon.com/images/I/61IypUVkjbL._AC_SL1200_.jpg,True,OK (image/jpeg),
B09R1S688D,"Fit-Flip Travel Towel - Compact & Ultra Soft Microfiber Camping Towel - Quick Dry Towel - Super Absorbent & Lightweight for Sports, Beach, Gym, Backpacking, Hiking and Yoga",19080,4.6,Sports & Outdoors,Fit-Flip,10.99,https://m.media-amazon.com/images/I/71lZOUSKsXL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0998QVNLF,ZOMAKE Ultra Lightweight Hiking Backpack 20L - Water Resistant Small Backpack Packable Daypack for Women Men(Black),14948,4.6,,ZOMAKE,13.99,https://m.media-amazon.com/images/I/91KfHhtiiwL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07YZ4SMGR,"4Monster Camping Towels Super Absorbent, Fast Drying Microfiber Travel Towel, Quick Dry Ultra Soft Compact Gym Towel for Swimming Beach Hiking Yoga Travel Sports Backpack",14249,4.6,Sports & Outdoors,4Monster,10.99,https://m.media-amazon.com/images/I/61BoTjmZZBL._AC_SL1001_.jpg,True,OK (image/jpeg),
B0976XCLGB,Outlander Packable Handy Lightweight Travel Hiking Backpack Daypack-Red-L,13884,4.6,AMAZON FASHION,Outlander,18.32,https://m.media-amazon.com/images/I/71k79c9phyL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BMTBWZV2,"Tommy Bahama 5-Position Classic Lay Flat Folding Backpack Beach Chair, Polyester, Navy",13412,4.5,Sports & Outdoors,Tommy Bahama,66.27,https://m.media-amazon.com/images/I/71uOwpRaZcL._AC_SL1500_.jpg,,not checked,Make life one long weekend with the Tommy Bahama 5-Position Classic Lay Flat Backpack Beach Chair. This Tommy Bahama reclining backpack folding beach chair is perfect for the beach or pool. It’s made ...
B08V11VJBF,"OlimpiaFit Quick Dry Towel - 3 Size Pack of Lightweight Microfiber Travel Towels w/Bag - Fast Drying Towel Set for Camping, Beach, Gym, Backpacking, Sports, Yoga & Swim Use",11169,4.7,Sports & Outdoors,OlimpiaFit,11.05,https://m.media-amazon.com/images/I/71UoIVQA0bL._AC_SL1484_.jpg,,not checked,
B0B8YXX928,"Mubasel Gear Insulated Hydration Backpack Pack with 2L BPA Free Bladder - Keeps Liquid Cool up to 4 Hours – for Running, Hiking, Cycling, Camping",10620,4.6,Sports & Outdoors,Mubasel Gear,35.99,https://m.media-amazon.com/images/I/81eIvzwjIkL._AC_SL1500_.jpg,,not checked,
B083BPBR2N,"Therm-a-Rest Compressible Travel Pillow for Camping, Backpacking, Airplanes and Road Trips, Amethyst",9579,4.5,Sports & Outdoors,Therm-a-Rest,70.42,https://m.media-amazon.com/images/I/91gv39ed-XL._AC_SL1500_.jpg,,not checked,"The Therm-a-Rest Compressible Travel Pillow is a true travel essential. Ideal for anyone seeking sleep and comfort on-the-go, it offers all the support of home bedding in a small, convenient, and ligh..."
B08CC2XXLY,sunhiker Small Cycling Hiking Backpack Water Resistant Travel Backpack Lightweight Daypack M0714 （20-25L）-Colorful Micai,8072,4.5,Sports & Outdoors,sunhiker,29.99,https://m.media-amazon.com/images/I/71YAHkA6B1L._AC_SL1500_.jpg,,not checked,
