parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B08JD12G4X,Venture Pal 40L Lightweight Packable Travel Hiking Backpack Daypack,31333,4.6,,Venture Pal,29.99,https://m.media-amazon.com/images/I/91ZN6B5GGdL._AC_SL1500_.jpg,True,OK (image/jpeg),"Life is always in motion. Everything from technology to lifestyle essentials should be able to go where you go. Venture Pal continues to ensure whatever you need travels easily, safely, and stylishly ..."
B0998QVNLF,ZOMAKE Ultra Lightweight Hiking Backpack 20L - Water Resistant Small Backpack Packable Daypack for Women Men(Black),14948,4.6,,ZOMAKE,13.99,https://m.media-amazon.com/images/I/91KfHhtiiwL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0976XCLGB,Outlander Packable Handy Lightweight Travel Hiking Backpack Daypack-Red-L,13884,4.6,AMAZON FASHION,Outlander,18.32,https://m.media-amazon.com/images/I/71k79c9phyL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07N8SRSCX,"WaterStorageCube BPA Free Collapsible Water Container with Spigot, Camping Water Storage Carrier Jug for Outdoors Hiking Backpack & Survival Kit, Foldable Portable Water Canteen 1.3/2.6/5.3 Gallon",11716,4.4,Sports & Outdoors,WaterStorageCube,13.24,https://m.media-amazon.com/images/I/618QEujIXBL._AC_SL1200_.jpg,True,OK (image/jpeg),
B077P17P2N,Amazon Basics Internal Frame Hiking Backpack with Rainfly,9599,4.5,,Amazon Basics,76.28,https://m.media-amazon.com/images/I/81tHnmMoBSL._AC_SL1500_.jpg,True,OK (image/jpeg),Product Description Amazon Basics Internal Frame Hiking Backpack with Rainfly From the Manufacturer Amazon Basics
B08CC2XXLY,sunhiker Small Cycling Hiking Backpack Water Resistant Travel Backpack Lightweight Daypack M0714 （20-25L）-Colorful Micai,8072,4.5,Sports & Outdoors,sunhiker,29.99,https://m.media-amazon.com/images/I/71YAHkA6B1L._AC_SL1500_.jpg,True,OK (image/jpeg),
B09WKCP89B,ZOMAKE Lightweight Packable Backpack 35L - Light Foldable Hiking Backpacks Water Resistant Collapsible Daypack for Travel,7960,4.6,Sports & Outdoors,ZOMAKE,19.99,https://m.media-amazon.com/images/I/91eluNfRoPL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09R3Z5XX3,"NEEKFOX Lightweight Packable Travel Hiking Backpack Daypack,35L Foldable Camping Backpack,Ultralight Outdoor Sport Backpack",7868,4.6,AMAZON FASHION,NEEKFOX,25.99,https://m.media-amazon.com/images/I/81XpN7l3lEL._AC_SL1466_.jpg,True,OK (image/jpeg),
B09MHX11Q1,Orienteering Compass Hiking Backpacking Compass | Advanced Scout Compass Camping Navigation - Boy Scout Compass for Kids | Professional Field Compass for Map Reading - Best TurnOnSport Survival Gifts,6791,4.5,Sports & Outdoors,TurnOnSport,10.49,https://m.media-amazon.com/images/I/81qWO7l33ZL._AC_SL1500_.jpg,True,OK (image/jpeg),Works great this compact bazic compass. Best selling compass with big multifunction opportunities - high speed precision magnetic needle - horizontal compass orienteering lines - scale map for mapping...
B07H4LXXGK,ZOMAKE Ultra Lightweight Packable Backpack 25L - Foldable Hiking Backpacks Water Resistant Small Folding Daypack for Travel,6440,4.6,AMAZON FASHION,ZOMAKE,19.99,https://m.media-amazon.com/images/I/814LvHJHMBL._AC_UL1500_.jpg,True,OK (image/jpeg),
