parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07GVPYDT2,Arena Fastpack 2.1 Swim Backpack,922,4.7,AMAZON FASHION,Arena,,https://m.media-amazon.com/images/I/71GqHcih-9L._AC_SL1279_.jpg,True,OK (image/jpeg),"The Fastpack 2.1 backpack is quickly changing the way swimmers think about their practice bags. With storage solutions for your fresh and dry or wet and bulkiness, this bag makes carrying equipment co..."
B0BZ8BND3M,TRIWONDER Tent for Camping 1 2 3 Person Backpacking Small Dome Tent Lightweight Waterproof Outdoor Hiking Fishing Hunting Mountaineering Travel,904,4.3,Sports & Outdoors,TRIWONDER,63.99,https://m.media-amazon.com/images/I/71Ck6cZt3rL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09FS766PY,"Gold Armour Sleeping Bags for Adults Kids Boys Girls Backpacking Hiking Camping, Cold Warm Weather 4 Seasons, Indoor Outdoor Use, Lightweight & Waterproof, Left Zipper",902,4.6,Sports & Outdoors,Gold Armour,29.99,https://m.media-amazon.com/images/I/51xIS69cCqL._AC_SL1000_.jpg,True,OK (image/jpeg),
B08HDQ7W7D,Dynamic Discs Paratrooper Disc Golf Bag | Frisbee Golf Backpack Bag with 18+ Disc Capacity | Extra Storage Pockets | Padded Straps and Back Panel,897,4.7,Sports & Outdoors,D·D DYNAMIC DISCS,79.99,https://m.media-amazon.com/images/I/81pjpUK624L._AC_SL1500_.jpg,True,OK (image/jpeg),
B09GPBLS89,SEEHONOR Insulated Cooler Backpack 45 Cans Leakproof Soft Cooler Bag Lightweight Backpack Cooler for Lunch Picnic Fishing Hiking Camping Park Beach,763,4.5,Sports & Outdoors,SEEHONOR,36.99,https://m.media-amazon.com/images/I/71za5hR8S0L._AC_SL1500_.jpg,True,OK (image/jpeg),
B085WTXLH2,"Miztli Camping Hammock with Net and Rain Fly, Portable Lightweight Outdoor Hammock Tree Travel Backpacking Hammock Tent with 20Ft(Total) Tree Straps, Perfect for Camping Hiking Yard Adventure Survival",617,4.7,Sports & Outdoors,MIZTLI,62.99,https://m.media-amazon.com/images/I/71IaAMXN+uL._AC_SL1500_.jpg,True,OK (image/jpeg),Who is Miztli? Deep within we all have a common call to the wild. This yearning is ancestral. We are the earth we come from. Re-membering this connection is vital to survival. The spirit of MIZTLI see...
B0BRKTBN6L,"Savior Equipment American Classic Tactical Double Long Gun Bag Pistol Transportation Case w/Backpack Strap, Lockable Compartment, Available Length in 36"" 42"" 46"" 51"" 55""",615,4.8,AMAZON FASHION,Savior Equipment,86.99,https://m.media-amazon.com/images/I/71QCexVfJsL._AC_SL1500_.jpg,True,OK (image/jpeg),"Tried & proven to be our best-selling case, the American Classic rifle case has all the space you need for a day's worth at the range. This classic tactical design gives you both form & function, need..."
B09JWNFCRL,20Pcs Spring Snap Hook Carabiners Clip Spring Hanging Buckle Paracord Snap Hook Camping Bottle Backpack Clasps Keychain,546,4.4,AMAZON FASHION,SEADESKY,12.99,https://m.media-amazon.com/images/I/71pooYlQx9L._AC_SL1500_.jpg,True,OK (image/jpeg),
B09W8J8S3H,"NFL Philadelphia Eagles ""Draft Day"" Backpack, 18"" x 5"" x 12""",388,4.5,,Northwest,,https://m.media-amazon.com/images/I/41nTHh2dmYL._AC_.jpg,True,OK (image/jpeg),"Grab this backpack, throw it over your shoulders, and hit the road! The Officially Licensed NFL ""Draft Day"" Backpack by The Northwest Company is the perfect accessory to show off your favorite footbal..."
B08PB9LL1D,Mardingtop Duffle Backpack 40L Molle Travel Sports Gym Carry-On Backpack for Unisex,383,4.4,Sports & Outdoors,Mardingtop,,https://m.media-amazon.com/images/I/71aQp80IXRL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09QLZ844S,"CAMEL CROWN 2/3/4 Person Camping Tent with Removable Rain Fly, Easy Setup Outdoor Tents Water Resistant Lightweight Portable for Family Backpacking Camping Hiking Traveling",367,4.3,Sports & Outdoors,CAMEL CROWN,31.99,https://m.media-amazon.com/images/I/51qATjqqZNL._AC_SL1500_.jpg,,not checked,
B0BX5F5GVY,MSR PocketRocket Ultralight Camping and Backpacking Stove Kit,365,4.8,Sports & Outdoors,MSR,89.89,https://m.media-amazon.com/images/I/71zYusn03bL._AC_SL1500_.jpg,,not checked,
B08LKDD7KS,"Btrwor Hammock - Single or Double Camping Hammock - 500lbs Portable Hammocks with 2 Tree Straps - Lightweight Parachute Hammocks for Outdoor, Beach, Backpacking, Travel, Hiking",311,4.7,Amazon Home,Btrwor,,https://m.media-amazon.com/images/I/71U4EC5N1SL._AC_SL1500_.jpg,,not checked,
B08516JV4G,Adventure World Globotrekker Lightweight Backpack Poncho (Multiple Color Options Available),258,4.5,AMAZON FASHION,Adventure World,34.95,https://m.media-amazon.com/images/I/510F82hVC7L._AC_UL1262_.jpg,,not checked,
B01IOYP7VK,DeMarini Momentum Backpack,250,4.7,Sports & Outdoors,DeMarini,,https://m.media-amazon.com/images/I/81KJsT32HRL._AC_SL1500_.jpg,,not checked,"For the up and coming ballplayer who wants to show a little Swag with their bag, DeMarini has you covered with the new momentum backpack. It's equipped with two mesh bat sleeves, an interior fleece li..."
B0BLMWTH7S,"Small Kerosene Lantern Hurricane Lantern Oil Lamp 8 Inch Indoor Outdoor Hanging Lantern with Wick for Christmas Party Decorations Camping Hiking Backpacking Emergency (4 Pieces, Black)",243,3.8,Tools & Home Improvement,Honoson,40.99,https://m.media-amazon.com/images/I/71LLkyyvRMS._AC_SL1500_.jpg,,not checked,"Features:  Backup light source: The small hurricane lantern can be applied as the back up light source at home, preventing the accident of power off.  Wide applications: The small hurricane lantern ca..."
