parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B0B1WM4NX4,"N NEVO RHINO Hydration Backpack, Hydration Pack, Insulated Hiking Backpack with Water Bladder 3L for Hiking Cycling Running Biking Camping",854,4.6,,N NEVO RHINO,35.99,https://m.media-amazon.com/images/I/71y1470R4PL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07N2DQF2F,"Borogo Compression Stuff Sack, 24L/36L/46L Sleeping Bags Storage Stuff Sack Organizer Waterproof Camping Hiking Backpacking Bag for Travel - Great Sleeping Bags Clothes Camping",789,4.4,Sports & Outdoors,Borogo,16.99,https://m.media-amazon.com/images/I/81zoAGJUZ3L._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BTHNZ1LC,"MOUNTAINTOP 70L Internal Frame Hiking Backpack for Men Women with Rain Cover, 29.9 * 13 * 10.2in, Black…",763,4.6,Sports & Outdoors,MOUNTAINTOP,89.99,https://m.media-amazon.com/images/I/71EqkG0rfsL._AC_SL1500_.jpg,True,OK (image/jpeg),
B082PDDD5K,POKARLA 40L Hiking Backpack Lightweight Packable Water Resistant Travel Daypack,742,4.6,Sports & Outdoors,POKARLA,,https://m.media-amazon.com/images/I/715Nf9ltrEL._AC_UL1200_.jpg,True,OK (image/jpeg),
B089CKS3QM,"High Sierra Pathway Internal Frame Hiking Backpack, Grey Blue/Mercury/Blue Haze, 70L",607,4.7,,High Sierra,109.99,https://m.media-amazon.com/images/I/713CONkxJ8L._AC_SL1500_.jpg,True,OK (image/jpeg),"The High Sierra Pathway backpack uses extra padding and breathable air mesh to deliver optimal carrying comfort. Loaded with all the essential features, the Pathway is the ideal size for those weekend..."
B09KS4H77V,"SHENHU Hiking Backpack 40L Waterproof Daypack Outdoor Sport Trekking,Camping Backpack for Men Women",513,4.5,Sports & Outdoors,SHENHU,26.99,https://m.media-amazon.com/images/I/71W1UCksCYL._AC_SL1200_.jpg,True,OK (image/jpeg),
B088TF984T,"EMONIA Camping Sleeping Bag, 3-4 Season Waterproof Outdoor Hiking Backpacking Sleeping Bag Perfect for Traveling,Lightweight Portable Envelope Sleeping Bags for Adults, Girls and Boys",498,4.5,Sports & Outdoors,EMONIA,,https://m.media-amazon.com/images/I/61uBWC+Yy4L._AC_SL1100_.jpg,True,OK (image/jpeg),
B08F342Z21,Camping Hammock with Mosquito Net and Rain Fly - Travel Hammock Bug Net - Hammock Tent for Outdoor Hiking Backpacking Travel Camping Accessories and Camping Gear…,458,4.5,Amazon Home,AEETT,43.99,https://m.media-amazon.com/images/I/51WS9vPmESS._AC_SL1000_.jpg,True,OK (image/jpeg),
B07W4HQ8WW,"WaterStorageCube 3pc/5pc Premium Collapsible Water Container Bundle Cube + Bag, No BPA Camping Drink Storage Carrier Jug for Outdoors Hiking Backpack & Survival, No-Leak Foldable Portable & Freezable",391,4.5,Sports & Outdoors,WaterStorageCube,30.94,https://m.media-amazon.com/images/I/711FiCxFVVL._AC_SL1300_.jpg,True,OK (image/jpeg),WaterStorageCube Premium 3-PC or 5-PC Collapsible Water Container Bundle Combos Get our 2 most popular folding/collapsible water containers in 1 pack! COMBINATION OPTIONS: 3-PK OPTIONS - (1ea) 5.3 Gal...
B099Z1V4RZ,CLINFISH 70L Camping Hiking Backpack Lightweight Packable Waterproof Backpack Outdoor Daypacks,330,3.8,Sports & Outdoors,CLINFISH,,https://m.media-amazon.com/images/I/61n02fS+UaL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08ZSF1RJ8,Zavothy 35-45L Unisex Hiking Backpack Camping Backpack Daypack for Travel Water Resistant Tactical Military Backpack Army,321,4.6,Sports & Outdoors,Zavothy,31.99,https://m.media-amazon.com/images/I/71+Mcydk6NL._AC_SL1500_.jpg,,not checked,Our versatile tactical backpack available in three distinct colors to fit your individual style and needs. The black model is crafted from durable 1000D waterproof Oxford cloth and boasts an impressiv...
