parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B08WHGFGVZ,"TULYKA Mojave Hydration Backpack 70 oz (2L) Size Water Bladder in a Comfortable and Easy to Carry Backpack - Lightweight Hydration Pack for Biking, Running, Hiking, Climbing, Skiing or Other Sports",93,4.3,,TULYKA,33.99,https://m.media-amazon.com/images/I/A1g3dHWMnlL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07428DPV7,"MECOC Ultralight Backpack Rain Cover & Cooling Towel or Cellphone Waterproof Case, 3 Color Available,15-90L for Camping,Hiking,Cycling,Waterproof case for iPhone 6S 6, S7 Edge,S7,Up to 6 inches",88,4.5,Sports & Outdoors,MECOC,,https://m.media-amazon.com/images/I/6139KboSf6L._AC_SL1001_.jpg,True,OK (image/jpeg),
B07GCSX9NB,Boundary Life Camping Pillow for Sleeping | Backpacking Pillows for Hiking | Comfort in a Hammock or for Travel | Large Inflatable Pillow for Adjustable Lumbar Support in Airplane or Car,73,4.3,Amazon Home,Boundary Life,,https://m.media-amazon.com/images/I/318jFkGegFL._AC_.jpg,True,OK (image/jpeg),
B07KCQFYQY,"DUSK Camping, Backpacking Pillow - Inflatable, Soft, Lightweight, Comfortable, Compact Pillow w/Water-Resistant Portable Bag (2""x4"")",69,4.3,Sports & Outdoors,DUSK,,https://m.media-amazon.com/images/I/81FvB9iPzrL._AC_SL1500_.jpg,True,OK (image/jpeg),"DUSK delivers an exclusive line of inflatable camping/backpacking pillows for sleep, rest, and relaxation. We push the boundaries of innovation and minimalism so that you can push the boundaries of ex..."
B08TLYLZMK,"Camping Hammock with Mosquito Bug Net, Travel Hammocks with Tree Straps Carabiners, Outdoor Portable Hammock Men Women Kid, Nylon Parachute Hammocks for Backpacking, Patio, Hiking, Yard, Green",63,3.8,Amazon Home,Vosaro,,https://m.media-amazon.com/images/I/71DWoaiVgkS._AC_SL1500_.jpg,True,OK (image/jpeg),
B07BL1M9SN,Granite Gear Virga 2 Backpack - 52L,60,4.2,AMAZON FASHION,Granite Gear,89.97,https://m.media-amazon.com/images/I/91A-vcT6evL._AC_UL1500_.jpg,True,OK (image/jpeg),"This perennial frameless favorite of ultralight backpackers gets a serious update and a reduction in weight! As in redesigned shoulder straps, a true ""roll top"" closure to keep out the elements, a mes..."
B015SBLWL6,"Gregory Mountain Products Zulu 40 Liter Men's Multi Day Hiking Backpack , Moss Green, Small",51,4.6,Sports & Outdoors,Gregory,,https://m.media-amazon.com/images/I/71CRlzJAwrL._AC_SL1001_.jpg,True,OK (image/jpeg),"The Zulu 40 offers more room than a daypack, making it ideal for warm-weather overnights and all-day winter outings. Far lighter, cooler, and more trekkable than an alpine pack, but tough enough to wi..."
B019Q1J8U6,Goplus New 55L Outdoor Military Tactical Backpack Rucksack Camping Bag Hiking Backpack,47,4.1,AMAZON FASHION,Goplus,,https://m.media-amazon.com/images/I/71nbUET6ppL._AC_UL1200_.jpg,True,OK (image/jpeg),"This new outdoor camping bag is ideal and convenient for u when taking outdoor activities, such as hiking, camping, or climbing. The bigger size provides more room for storage. The material is strong ..."
B07R25JPPP,"Paria Outdoor Products Titanium Pot with Lid - Ultralight, Compact and Extremely Durable - Perfect for Backpacking and Camping",43,4.5,Sports & Outdoors,Paria Outdoor Products,,https://m.media-amazon.com/images/I/61GiVZ1ARDL._AC_SL1500_.jpg,True,OK (image/jpeg),"When it comes to ultralight and strong, there is no better choice than titanium. It’s 50 percent stronger than steel but weighs less than anything else available. One of the easiest ways to incorporat..."
B07M6PFBCG,"TOURIT Cooler Backpack Waterproof TPU Backpack Cooler Insulated Leak-Proof Soft Cooler Bag for Men Women to Picnic, Hiking, Beach Trip, Theme Park",41,4.5,Amazon Home,TOURIT,,https://m.media-amazon.com/images/I/619LR07pkEL._AC_SL1500_.jpg,True,OK (image/jpeg),
B003JP41NK,AKONA Full Size Roller Backpack Carries two full sets of gear,40,4.0,Sports & Outdoors,Akona,,https://m.media-amazon.com/images/I/71Y1ty-ZgVL._AC_SL1000_.jpg,,not checked,"The AKONA Roller Backpack is the industry standard for local diving. Large enough to hold two full sets of gear, this back is build to withstand the rigors of diving. All internal metal components are..."
