parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07CFWFQVN,"Gonex Updated 35L Hiking Backpack, Camping Outdoor Trekking Daypack, Waterproof and Backpack Cover Included (Blue)",99,4.2,Sports & Outdoors,Gonex,,https://m.media-amazon.com/images/I/71CLJL6HYOL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08TM49RW3,Camping Cot Max Load 450 LBS 1 Side Large Pockets Extra Wide Sturdy Portable Foldable Outdoor Bed for Adults Kids for Camping Beach BBQ Hiking Backpacking Office (Grey),96,4.4,Amazon Home,BAORUI,85.99,https://m.media-amazon.com/images/I/61Sc0ZDwW7S._AC_SL1000_.jpg,True,OK (image/jpeg),
B0BS8QKQJK,"RaoRanDang Hiking Backpack Waterproof Lightweight Durable 75L Large Capacity Travel Backpack Suitable for Hiking, Mountaineering, Camping, Fishing.",84,4.2,,RaoRanDang,39.99,https://m.media-amazon.com/images/I/71r4evOkiLL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08JQZ2VD2,Deuter Women's Ac Lite 15 Sl Hiking Backpack,82,4.4,Sports & Outdoors,Deuter,119.99,https://m.media-amazon.com/images/I/91yXeWthIoL._AC_SL1500_.jpg,True,OK (image/jpeg),"The new AC Lite, which is also specially designed for women, is the perfect partner for day hikes. The hiking backpack is now even lighter and provides maximum ventilation with the Aircomfort back sys..."
B07238QJQ9,TOURIT Packable Travel Hiking Backpack Foldable Daypack,81,4.6,Sports & Outdoors,TOURIT,,https://m.media-amazon.com/images/I/71RrtLmPdZL._AC_UL1500_.jpg,True,OK (image/jpeg),
B08CXD38XD,VEVESMUNDO 30L Hiking Backpack Men Women for Travel Mountaineering Climbing Camping Trekking (Gray),78,4.3,,VEVESMUNDO,,https://m.media-amazon.com/images/I/81EbWyrhNfL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08XX5J9JM,Purewell Replaceable Water Filter for Portable Filtered Water Purifier - Emergency Water Filter Pump with 4-Stage Integrated Filter for Camping Hiking Backpacking,77,4.6,Sports & Outdoors,Purewell,16.85,https://m.media-amazon.com/images/I/61+wYMqKoVL._AC_SL1500_.jpg,True,OK (image/jpeg),
B08SH68Q3R,Folding Camping Chair High Back Lightweight Ottoman Portable Compact Seat for Adults Fishing Travel Picnic Festival Hiking Backpacking,76,4.3,Amazon Home,Yolafe,49.99,https://m.media-amazon.com/images/I/71xqSGht8bL._AC_SL1200_.jpg,True,OK (image/jpeg),
B07YJNB8D1,"Mardingtop Military Tactical Backpacks for men,Molle hiking backpack,2 Day Assault Pack,28L Backpack for Everyday Carry",73,4.5,AMAZON FASHION,Mardingtop,,https://m.media-amazon.com/images/I/71fFIxdC0AL._AC_UL1500_.jpg,True,OK (image/jpeg),Mardingtop Molle Tactical Backpack Rucksack Bag Military Backpack for Riding Camping Hiking Trekking Traveling Product Fetures Numerous Molle Loops. Patch Area for nametape and flag patches. Side cinc...
B077P4S1FL,Ginpie Outdoor Waterproof Water Repellent Sports Backpack Travel Backpack Hiking Backpack For Men and Women.,64,3.7,Sports & Outdoors,GINPIE,,https://m.media-amazon.com/images/I/91gv4ksVQeL._AC_UL1500_.jpg,True,OK (image/jpeg),"Premium Organizer:Backpack has a roomy main compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or u..."
B01MU0EYKQ,MOUNTAINTOP 50L/60L Hiking Backpack with Rain Cover (60L-Blue),60,4.4,Sports & Outdoors,MOUNTAINTOP,,https://m.media-amazon.com/images/I/41JqeX7in5L._AC_.jpg,,not checked,
