parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B00000IWD0,Sorry! Board Game for Kids Ages 6 and Up; Classic Hasbro Board Game; Each Player Gets 4 Pawns (Pawn Colors May Vary) – Amazon Exclusive,4864,4.8,Toys & Games,Hasbro Gaming,23.9,https://m.media-amazon.com/images/I/81hjo6PjFsL._AC_SL1500_.jpg,True,OK (image/jpeg),"Product Description In this edition of the Sorry! game, each player gets 4 pawns (colors may vary) to move around the gameboard. Players need to pick a 1 or a 2 card to get a pawn out of the starting ..."
B0C3YZ4KJY,"Otrio Wood Strategy-Based Family Board Game Award-Winning STEM Interactive Puzzle Game, for Adults and Kids Ages 8 and up",4550,4.7,Toys & Games,Marbles,31.07,https://m.media-amazon.com/images/I/81cJ2spwfVL._AC_SL1500_.jpg,True,OK (image/jpeg),"Addicted to brainy challenges? Enjoy playing Tic Tac Toe? Then fire up your competitive side with Otrio, the 2-4 player head-to-head strategy game! To win, get three pieces of your color in a row base..."
B08NGX8XDF,"Crazy Games Backgammon Set - Classic Purple Small 11 Inch Backgammon Sets for Adults Board Game with Premium Leather Case - Best Strategy & Tip Guide (Purple, Small)",3737,4.7,Toys & Games,Crazy Games,29.95,https://m.media-amazon.com/images/I/91i+liqG6tS._AC_SL1500_.jpg,True,OK (image/jpeg),
B0B9YPDWND,Rich Dad CASHFLOW Board Game (New Edition) with Exclusive Bonus Strategy Guide (PDF Delivered Via Email),3671,4.7,Toys & Games,The Rich Dad Company,85.99,https://m.media-amazon.com/images/I/713Wh8MpBzL._AC_SL1500_.jpg,True,OK (image/jpeg),"PLAY! HAVE FUN! LEARN TO ESCAPE THE RAT RACE!... In Real Life. Play your way out of the rat race by generating passive income through real estate, stocks, companies and more. The updated CASHFLOW star..."
B000BBSA0U,"University Games | Spinner: The Game of Wild Dominoes, Double 9 Set Plus 11 Wild Spinner Tiles Board Game",2801,4.8,Toys & Games,University Games,23.99,https://m.media-amazon.com/images/I/71fgCwdN0RL._AC_SL1500_.jpg,True,OK (image/jpeg),"Sometimes when you’re playing dominoes, things can get a little wild! Spinner is the only dominoes game with wild dominoes that can be played as any number. A dynamic Double 9 Domino game plus 11 Spin..."
B089HPT49G,"Monopoly: Pixar Edition Board Game for Kids 8 and Up, Buy Locations from Disney and Pixar's Toy Story, The Incredibles, Up, Coco, Lightyear, and More (Amazon Exclusive)",2483,4.8,Toys & Games,Monopoly,27.99,https://m.media-amazon.com/images/I/71kmzFkC6NL._AC_SL1500_.jpg,True,OK (image/jpeg),"Imagine a magical adventure with the Monopoly: Pixar Edition board game! Fans can explore locations from some favorite movies such as Disney and Pixar's Up, The Incredibles, Toy Story, Finding Nemo, a..."
B0C5GNBJZW,"X-Men, Marvel United Board Game with Cards and Collectible Hero Villain Figurines Party Fun Movie Challenge, for Kids & Adults Aged 14 and Up",2399,4.6,Toys & Games,Spin Master Games,32.64,https://m.media-amazon.com/images/I/91Fb388GlkL._AC_SL1500_.jpg,True,OK (image/jpeg),"In the battle for mutant acceptance, the Brotherhood of Mutants see themselves as superior to ordinary people, hatching villainous plans to bend mankind to their will. But the X-Men uphold the princip..."
B0B85QNSQZ,Ticket to Ride New York Board Game | Train Route-Building Strategy Game | Fun Family Game for Kids and Adults | Ages 8+ | 2-4 Players | Average Playtime 10-15 Minutes | Made by Days of Wonder,2355,4.7,Toys & Games,Days of Wonder,19.78,https://m.media-amazon.com/images/I/81lzCmD2gbL._AC_SL1500_.jpg,True,OK (image/jpeg),"Product Description Welcome to new York city in the 1960S! In this brand-new version of ticket to ride, players race one another through the busy streets of new York city to visit the most prestigious..."
B0BP7H64R8,"Gentle Monster Wooden Colorful Stacking Board Games Builing Blocks for Kids Boys Girls, 54 Pcs Wood Balancing Blocks Montessori Toy Gift for Kids, Classic Game for Party with Storage Bag",2330,4.7,Toys & Games,Gentle Monster,16.99,https://m.media-amazon.com/images/I/61v6MIDrPBL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0B42XFY35,"Escape Room The Game, Escape Your House: Spy Team Fun Strategy Family Board Game, for Kids Aged 8 and up",2309,4.2,Toys & Games,Spin Master Games,29.99,https://m.media-amazon.com/images/I/91SyYFxmGML._AC_SL1500_.jpg,True,OK (image/jpeg),The Super Secret Spy Team (SSST) is an organization that protects the world against dangers. One of the main characteristics of spies is that they go unnoticed. And what would be less noticeable than ...
B088J28RFM,Wonder Forge Ravensburger Pictopia: Harry Potter Edition Family Trivia Board Game For Kids & Adults Age 10 & Up,2114,4.7,Toys & Games,Wonder Forge,24.99,https://m.media-amazon.com/images/I/71FAxmn0+LL._AC_SL1500_.jpg,,not checked,"Showcase your knowledge of J.K Rowling wizarding world When you encounter 1, 000 picture trivia questions featuring the beloved characters, extraordinary places, magical creatures, and enchanted objec..."
B018GRSLK4,"Stonemaier Games Viticulture Essential Edition Board Game, for 156 months to 9600 months",2049,4.9,Toys & Games,Stonemaier Games,46.33,https://m.media-amazon.com/images/I/91ZtO2M6LUL._AC_SL1500_.jpg,,not checked,"In the game, you find yourself in rustic, pre modern Tuscany, where you've inherited a meager vineyard. You'll have a few plots of land, an old crush pad, a tiny cellar, 3 workers.and the dream of own..."
B01JGOMQR0,"Stonemaier Games Scythe Metal Coins Board Game Addon, Accessory",1866,4.9,Toys & Games,Stonemaier Games,24.99,https://m.media-amazon.com/images/I/71dURsowwdL._AC_SL1500_.jpg,,not checked,"These 80 custom metal coins will enhance playing Scythe. With over 5 different kinds and custom artwork, these metal coins are a great addition to Scythe"
B00FW0WBUA,"Eldritch Horror Board Game (Base Game) | Mystery, Strategy, Cooperative Board Game for Adults and Family | Ages 14+ | 1-8 Players | Avg. Playtime 2-4 Hours | Made by Fantasy Flight Games",1852,4.8,Toys & Games,Fantasy Flight Games,55.99,https://m.media-amazon.com/images/I/91ZEBMvrc7L._AC_SL1500_.jpg,,not checked,"Product Description Eldritch Horror Across the globe, ancient evil is stirring. Now, you and your trusted circle of colleagues must travel around the world, working against all odds to hold back the a..."
B083YL1SZD,"Hasbro Gaming Monopoly for Sore Losers Board Game for Ages 8 and Up, The Game Where it Pays to Lose",1684,4.8,Toys & Games,Hasbro Gaming,,https://m.media-amazon.com/images/I/91dzyHijGIL._AC_SL1500_.jpg,,not checked,"Don't get sad…get even! Say goodbye to the frustration of losing while playing Monopoly, and say hello to the Monopoly For Sore Losers board game. This hilarious twist on the Monopoly game turns losin..."
B01J8DXFOM,Santa VS Jesus The Epic Party Card Game|Adult Board Games Card Games for Christmas Holidays Party Family Games|Top 10 Best Board Games 2020|Christmas Gift for Kids Children Teens Adult,1582,3.9,Toys & Games,MCMILLER ENTERTAINMENT,16.99,https://m.media-amazon.com/images/I/91r817pcP-L._AC_SL1500_.jpg,,not checked,
B07CJSWQBN,"CODENAMES: Board Game , Based on Harry Potter Films , Officially Licensed Merchandise",1576,4.6,Toys & Games,USAOPOLY,24.99,https://m.media-amazon.com/images/I/61HWtsZ3hFL._AC_SL1000_.jpg,,not checked,"CODENAMES: Harry Potter™ is a fun, easy-to-learn cooperative word and picture deduction game for Harry Potter fans of all game levels. Players help their teammates locate secret Agents who are conceal..."
B07S7FZ3NV,"Educational Insights Shelby’s Snack Shack Game and Board Book Combo: Preschool Math Game, Board Game & Board Book, Ages 4+",1513,4.8,Toys & Games,Educational Insights,35.67,https://m.media-amazon.com/images/I/81ixw64RtaL._AC_SL1500_.jpg,,not checked,"Shelby has buried her bones on the shore and needs your help to find them! Little learners spin the spinner to determine their play and the number of bones they’ll win or lose, then use the Shelby Squ..."
B00PU5C5IA,"Oink Games ""Deep Sea Adventure Board Game • Dice Strategy Board Games for Funny Games Nights • for Adults & Children • Best Game for 9-99 Year Olds",1475,4.7,Toys & Games,Oink Games,21.87,https://m.media-amazon.com/images/I/61xkAi8QIuL._AC_SL1500_.jpg,,not checked,Product Description Deep Sea Adventure: A Treasure-Hunting Travel Game for Kids and Adults It’s time to dive into the ocean and race to uncover all the secret riches that hide below the surface. Deep ...
B07SVNZXY4,Parks Board Game - a Family and Strategy Game About National Parks by Keymaster Games,1459,4.8,Toys & Games,Keymaster Games,49.99,https://m.media-amazon.com/images/I/710k5IvsqIL._AC_SL1021_.jpg,,not checked,
B07PP7ZWR4,"Bedwina Tic Tac Toe (Bulk Pack of 24) 5""x5"" Foam Tic-Tac-Toe Mini Board Game Toys for Kids, Birthday Party Favors, Goody Bag Stuffers, Classroom Prizes & Occupational Therapy, Stocking Stuffers",1447,4.3,Toys & Games,Bedwina,13.89,https://m.media-amazon.com/images/I/91DHi7Rd66L._AC_SL1500_.jpg,,not checked,Foam Tic Tac Toe Boards for Kids in Bulk Play this classic 2 player game with your friends and sharpen your skills. Each order includes 24 Mini Foam Tic Tac Toe Boards. Boards measure 5 inches x 5 inc...
B091D18MB2,Queensell Dominoes Set for Adults - Domino Set for Classic Board Games - Dominoes Double 6 for Family Games - Double Six Standard Dominos Set 28 Tiles with Brown Wood Case,1441,4.6,Toys & Games,Queensell,19.99,https://m.media-amazon.com/images/I/712ygGj5yvL._AC_SL1500_.jpg,,not checked,
