parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B08V91H5M3,Yellow Mountain Imports Magnetic Portable Medium Chess Board Game Set (9.8 Inches) - Travel Chess Set with Folding Board and Felt-Bottom Chessmen,2411,4.6,Toys & Games,Yellow Mountain Imports,12.99,https://m.media-amazon.com/images/I/81xb92eLBcS._AC_SL1500_.jpg,True,OK (image/jpeg),
B07MNF5KKF,"ASNEY Upgraded Magnetic Chess Set, 12” x 12” Folding Wooden Chess Set with Magnetic Crafted Chess Pieces, Chess Game Board Set with Storage Slots, Includes Extra Kings, Queens and Carry Bag",2134,4.6,Toys & Games,ASNEY,22.99,https://m.media-amazon.com/images/I/91Z7RW4N5xL._AC_SL1500_.jpg,True,OK (image/jpeg),
B083F5SM9Y,As Seen On TV Collector's Edition 2020 Battle for The White House Chess Set Board Game by BulbHead - Chess Pieces Look Just Like Politicians & Patriotic Chess Board Democrats Vs. Republicans,1771,4.4,Toys & Games,BulbHead,49.99,https://m.media-amazon.com/images/I/71n1vVeb1FL._AC_SL1500_.jpg,True,OK (image/jpeg),"A Historical Election The 2020 election will be historical. To commemorate this moment in history, we’ve crafted the 2020 Battle for the White House Chess Set, a collector’s edition chess set that inc..."
B07QH4453Y,"Scientoy Chess Sets (Magnetic), 15”×15” Foldable Wooden Chess Set for Kids and Adults, Storage for Piece, Handcraft Travel Chess Set, Prefect Choice for Birthday, Rewards for Beginner",1406,4.6,Toys & Games,Scientoy,,https://m.media-amazon.com/images/I/716eh6PKSyL._AC_SL1000_.jpg,True,OK (image/jpeg),
B09TLJ31V5,Wholesale Chess Heavy Tournament Triple Weighted Chess Set Combo,1252,4.7,Sports & Outdoors,Wholesale Chess,45.99,https://m.media-amazon.com/images/I/81As9KOjPyL._AC_SL1500_.jpg,True,OK (image/jpeg),
B075KL5KX3,"Peradix Wooden Chess Sets, Portable Wood Chess Set with Folding Chess Board, Hand Crafted Chess Pieces 11.4”, Beginner Chess Board Games, Easy Storage & Gifts Box",1207,4.4,Toys & Games,Peradix,,https://m.media-amazon.com/images/I/81T48O4cIsL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09SBP3QWV,"Story Time Chess - 2021 Toy of The Year Award Winner - Chess Sets for Kids, Beginners Chess, Kids Chess Set, Chess Game Toddlers, Learning Games for Kids, Chess Sets for Boys & Girls Ages 3-103",1166,4.7,Toys & Games,Story Time Chess,39.99,https://m.media-amazon.com/images/I/91gLqkdNrRL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BT9Y1DLS,"iCore Electronic Chess Set, Voice Chess Sets for Adults, Academy Electronic Chess Board, Portable Board Game, Computer Chess Tactics for Kids & Adults",1125,4.0,Toys & Games,iCore,69.99,https://m.media-amazon.com/images/I/51Xl8ALR5rL._AC_.jpg,True,OK (image/jpeg),"What is iCore electronic chess board? The iCore Electronic Chess Set offers a modern electronic board design. It comes with an exclusive strategy with 100 preset chess exercises, players can practice ..."
B0C1YSWKZ9,"Hnoerin Chess Board, Chess Sets for Adults, Magnetic Chess Set Wooden Travel Chess Set for Kids, Folding Chess Board Set with Crafted Chess Pieces Includes Extra Queens, Great Gifts for Friends",1102,4.7,Toys & Games,Hnoerin,26.97,https://m.media-amazon.com/images/I/719sY0Tg2NL._AC_SL1500_.jpg,True,OK (image/jpeg),
B01CIG8PVY,Agirlgle Retro Metal Chess Set with Folding Wooden Chess Board and Classic Handmade Standard Pieces Metal Chess Set for Kids Adult,1057,4.5,Toys & Games,Agirlgle,36.96,https://m.media-amazon.com/images/I/71zC0NzxeDL._AC_SL1500_.jpg,True,OK (image/jpeg),
B00IFWO7VI,Avant-Garde Black Frosted Glass Chess Set with Mirror Board,1001,4.4,Sports & Outdoors,Avant Garde,35.9,https://m.media-amazon.com/images/I/41e0ucygMML._AC_.jpg,,not checked,Take the classic thinking man's game to the next level with the Black and Frosted Glass Chess Set with Mirror Board from Avant-Garde. This stunningly detailed glass set adds a touch of modern to a tim...
B07XVQ2GFK,Wooden Chess Set - Handcrafted Chess Pieces - 15 Inch Chess Board - Foldable - Interior Storage Space - Travel Friendly - Felt Bottom - 3 Inch King - Bonus Wooden Checkers Pieces,1001,4.6,Toys & Games,ONDEKT,31.95,https://m.media-amazon.com/images/I/71m+Tt91IxL._AC_SL1280_.jpg,,not checked,
