parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07JC5GND1,Catan Board Game (Base Game) | Family Board Game | Board Game for Adults and Family | Adventure Board Game | Ages 10+ | for 3 to 4 Players | Average Playtime 60 Minutes | Made by Catan Studio,33937,4.8,Toys & Games,Catan Studio,47.99,https://m.media-amazon.com/images/I/81+okm4IpfL._AC_SL1500_.jpg,True,OK (image/jpeg),"Your adventurous settlers seek to tame the remote but rich isle of Catan. Start by revealing Catan’s many harbors and regions: Pastures, fields, mountains, hills, forests, and desert. The random mix c..."
B08FD8VQCP,"Ravensburger Labyrinth Family Board Game for Kids and Adults Age 7 and Up - Millions Sold, Easy to Learn and Play with Great Replay Value (26448)",24163,4.8,Toys & Games,Ravensburger,33.99,https://m.media-amazon.com/images/I/91kIDDoiAhL._AC_SL1500_.jpg,True,OK (image/jpeg),Product Description Search for treasure deep within the twisting maze! The playing board constantly changes so no two games are ever the same! The cards will determine your quest. Looking for the Drag...
B0B63CGNBN,"Guess Who? Original, Easy to Load Frame, Double-Sided Character Sheet, 2 Player Board Games for Kids, Guessing Games for Families, Ages 6 and Up",23156,4.7,Toys & Games,Hasbro Gaming,13.99,https://m.media-amazon.com/images/I/71brT4P0PAL._AC_SL1500_.jpg,True,OK (image/jpeg),"Bring back childhood memories of playing the classic Guess Who? board game, and introduce this edition of the original guessing game to your kids and grandkids. With the Guess Who? game for kids and a..."
B000EULZDM,"Mexican Train Dominoes Set Tile Board Game in Aluminum Carry Case Games with Colorful Trains for Family Game Night, for Adults and Kids Ages 8 and up",20229,4.8,Toys & Games,Spin Master,12.39,https://m.media-amazon.com/images/I/91yMzY81vQL._AC_SL1500_.jpg,True,OK (image/jpeg),Product Description The cardinal Mexican train domino game with aluminum case can provide hours of fun for the whole family. The Mexican train domino game is a timeless classic that has entertained ki...
B00A2HD40E,Pandemic Board Game (Base Game) | Family Board Game | Board Game for Adults and Family | Cooperative Board Game | Ages 8+ | 2 to 4 players | Average Playtime 45 minutes | Made by Z-Man Games,17941,4.8,Toys & Games,Z-Man Games,35.99,https://m.media-amazon.com/images/I/811YPz8YufL._AC_SL1500_.jpg,True,OK (image/jpeg),Product Description Four diseases have broken out in the world and it is up to a team of specialists in various fields to find cures for these diseases before mankind is wiped out. Players must work t...
B09JZNWFFG,"Chess Sets by Chess Armory - 15 Inch Wooden Chess Set Board Game for Adults and Kids with Extra Queen Pieces,2 Players",17896,4.6,Toys & Games,Chess Armory,28.99,https://m.media-amazon.com/images/I/81dtz3OT4IL._AC_SL1500_.jpg,True,OK (image/jpeg),
B06Y1N3PTX,Battleship With Planes Strategy Board Game For Ages 7 and Up (Amazon Exclusive),17275,4.7,Toys & Games,Hasbro Gaming,16.99,https://m.media-amazon.com/images/I/71NJXBpsUTL._AC_SL1500_.jpg,True,OK (image/jpeg),"This exclusive edition of the Battleship game includes 2 planes in addition to ships, for exciting aircraft combat. In head to head battle, players search for the enemy’s fleet of ships and aircraft, ..."
B09NP5JBXG,Scrabble Crossword - Classic Board Game - 120 Letter Tiles - 4 Racks - 1 Letter Bag - Instructions Included - for 2 to 4 Players - Gift for Kids 10+,15831,4.7,Toys & Games,Mattel Games,31.51,https://m.media-amazon.com/images/I/61Jxv2Nf8fL._AC_SL1500_.jpg,True,OK (image/jpeg),"Product Description Scrabbleis the classic board game that always spells F-U-N! Consisting of interlocking words, crossword fashion, onto a playing board, Scrabblegame challenges players to spell out ..."
B01N32T43L,Ticket to Ride Europe Board Game | Train Route-Building Strategy Game | Fun Family Game for Kids and Adults | Ages 8+ | 2-5 Players | Average Playtime 30-60 Minutes | Made by Days of Wonder,13322,4.9,Toys & Games,Days of Wonder,47.99,https://m.media-amazon.com/images/I/91sMYOj2NDL._AC_SL1500_.jpg,True,OK (image/jpeg),"Product Description From the craggy hillsides of Edinburgh to the sunlit docks of Constantinople, from the dusty alleys of Pamplona to a windswept station in Berlin, Ticket to Ride Europe takes you on..."
B09S19HKSB,Telestrations Original 8-Player | Family Board Game | A Fun Family Game for Kids and Adults | Family Game Night Just Got Better | The Telephone Game Sketched Out | Ages 12+,12669,4.8,Toys & Games,USAOPOLY,,https://m.media-amazon.com/images/I/8154qoC99CL._AC_SL1500_.jpg,True,OK (image/jpeg),"Product Description The ""Telephone Game"" Turned Into The #1 LOL Family & Party Game! Draw what you see then guess what you saw for hilarious and unpredictable outcomes. It’s miscommunication at its be..."
