parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B079DDN9SR,Century Golem Edition | Strategy Board Game | Exploration Game | Family Board Game for Adults and Kids | Ages 8 and up | 2 to 4 Players | Average Playtime 30-45 Minutes | Made by Plan B Games,840,4.9,Toys & Games,Plan B Games,39.99,https://m.media-amazon.com/images/I/719nWPAxJwL._AC_SL1500_.jpg,True,OK (image/jpeg),"""Century: Golem Edition is a re-themed version of Century: Spice Road set in the world of Caravania. In Century: Golem Edition, players are caravan leaders who travel the famed golem road to deliver c..."
B097LRY982,"Funny Emotions Preschool Learning Toys, Montessori Toddler Board Games for 3+ Year olds, 58 Piece, Learning Games for Kids Ages 3-5, Speech Therapy Materials, Educational Toys, Craft for Kids",708,4.2,Toys & Games,Picnmix,20.72,https://m.media-amazon.com/images/I/81GfVIIxwpL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BR9KXGMF,"Yuanhe Wooden Domino Racks Set of 8, Domino Trays Holders Organizer for Classic Board Games, Mexican Train Chicken Foot Cuban Dominoes Accessories, Domino Trays for Tiles Family Games",696,4.4,Toys & Games,Yuanhe,17.69,https://m.media-amazon.com/images/I/61OYbNeCcrL._AC_SL1000_.jpg,True,OK (image/jpeg),"This is the ideal accessory for any diehard dominoes fan. The premium wooden ensure splinter-free, convenient game time. Each tray holds up to 30dominoes and has 3 rows for plenty of space to organize..."
B07BF5XF85,Privacy - Adult Party Game | 18+ Board Game | Fun Drinking Game to play with Friends | Reveal your friends secrets with the hilarious Privacy Card Game | Anonymously Answer NSFW Questions,662,4.7,Toys & Games,USAOPOLY,11.28,https://m.media-amazon.com/images/I/71H9twJ8jML._AC_SL1500_.jpg,True,OK (image/jpeg),Privacy is the adult party game in which players finally get answers to the provocative questions they were afraid to ask. Players anonymously answer outrageous and depraved questions by securing “Yes...
B00J7GFATY,Yellow Mountain Imports Ludo Magnetic Folding Pocket-Size Travel Board Game Set - 6.5 Inches,659,3.5,Toys & Games,Yellow Mountain Imports,,https://m.media-amazon.com/images/I/81Ab4ZZG0WS._AC_SL1500_.jpg,True,OK (image/jpeg),
B07M92382T,Hasbro Gaming Perfection Neon Pop Board Game for Kids Ages 5 & Up for 1 or More Players,587,4.7,Toys & Games,Hasbro Gaming,,https://m.media-amazon.com/images/I/81RO1Tsg1-L._AC_SL1346_.jpg,True,OK (image/jpeg),"It's ready, set, go…with bright neon Colors! This bright and bold edition of the perfection game features neon geometric pieces, and a neon plastic housing unit and tray. Featuring classic perfection ..."
B0999C36LR,Dominoes Set for Adults for Families and Kids Ages 9 and up - Double Nine Dominoes Set for Classic Board Games - Domino Set for Family Games - Double Nine Dominos Set 55 Tiles with Wooden Case,517,4.5,Toys & Games,Queensell,25.99,https://m.media-amazon.com/images/I/81atpyI792L._AC_SL1500_.jpg,True,OK (image/jpeg),
B00IGR5ERI,Spin Master Games - Best of Movies & TV Board Game,473,4.3,Toys & Games,Spin Master,22.72,https://m.media-amazon.com/images/I/91DRxqpT1sL._AC_SL1500_.jpg,True,OK (image/jpeg),"You've watched them over and over and now you can show off what you’ve learned. The Best of TV & Movies is the trivia game about hundreds of your favorite TV shows and films! From Grease to Glee, The ..."
B07KBFFM1M,"Roll-Play Board Game Mat 3' x 4' | Neoprene Tabletop Accessory | Level-up Classic Card Games, Dice Games, Tabletop & RPG Gaming | Double-Sided, Reversible, Portable | Rubber and Pattern Sides",383,4.8,Toys & Games,Stratagem,49.99,https://m.media-amazon.com/images/I/81lVtHDzpBL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09BDNBHTZ,"78Pcs Classic Tarot Cards Deck with Colorful Guidebook, the Original Tarot Card for Beginners, Beginner Board Game, Tarot Deck Set (English Edition)",354,4.6,Toys & Games,Boolavard,,https://m.media-amazon.com/images/I/81CwtedEYpL._AC_SL1500_.jpg,True,OK (image/jpeg),"ECOOSTAR 78Pcs Classic Tarot Cards Deck with Colorful Guidebook, The Original Tarot Card for Beginners, Beginner Board Game, Tarot Deck Set (English Edition)"
B071VP8CCZ,"IELLO: Mountains of Madness, Strategy Board Game, Inspired By Popular Novel At the Mountains of Madness, 60 Minute Play Time, 3 to 5 Players, Ages 14 and Up",349,4.5,Toys & Games,IELLO,39.95,https://m.media-amazon.com/images/I/917UTsknxkL._AC_SL1500_.jpg,,not checked,"Inspired by the popular novel at the mountains of madness by H.p. Lovecraft, mountains of madness is a new crazy creation from Rob Daviau, with illustrations from the great Miguel Coimbra (sea of clou..."
