parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B09FJMTQHT,GYBBER&MUMU Wooden Chess Set 11.4'' Magnetic Chess Set Felted Game Board Interior Storage (11.4''),944,4.7,Toys & Games,GYBBER&MUMU,19.99,https://m.media-amazon.com/images/I/61O1KTpNRTL._AC_SL1200_.jpg,True,OK (image/jpeg),
B08Z3LHCR7,Tournament Roll-Up Staunton Chess Set w/Travel Canvas Bag - Black,884,4.6,Toys & Games,Yellow Mountain Imports,39.99,https://m.media-amazon.com/images/I/813moy9g0tL._AC_SL1500_.jpg,True,OK (image/jpeg),
B084CW2RL3,Creatov Chess Set - Chess Board Set for Adults Kids Chess Set Board Game Set Wood Chess Set with Chess pieces Travel Chess Set,872,4.1,Toys & Games,Creatov,,https://m.media-amazon.com/images/I/91dw-N4yy6L._AC_SL1500_.jpg,True,OK (image/jpeg),
B07TSC3JXB,"Amerous 15"" x 15"" Magnetic Wooden Chess Set, Folding Travel Chess Board with 2 Extra Queens / Pieces Storage Slots / Carry Bag , Handmade Large Wooden Board Game for Kids and Adults",785,4.6,Toys & Games,AMEROUS,25.99,https://m.media-amazon.com/images/I/71OKFTVk4RL._AC_SL1500_.jpg,True,OK (image/jpeg),Brand: AMEROUS Magnetic Chess Board Set - 15inches Folding Travel Chess Board with 2 Extra Queens for All Chess Lovers  Are you looking for a perfect tournament chess set to play with your family or f...
B0759XBS6V,"BlueSnail 15"" Classic Vintage Standard Folding Wooden Chess Set, Foldable Games Board Crafted Carved",781,4.1,Toys & Games,BlueSnail,19.99,https://m.media-amazon.com/images/I/61MNSTmFQjL._AC_SL1033_.jpg,True,OK (image/jpeg),"The BlueSnail 15"" Standard Wooden Chess Set is a perfect companion for all chess lovers. We have excellent quality and perfect design. It is Classic Vintage Standard Games Board. Our suppliers continu..."
B07SJM8KB8,Wooden Chess Set for Kids and Adults – 17 in Staunton Chess Set - Large Folding Chess Board Game Sets - Storage for Pieces | Wood Pawns - Unique E-Book for Beginner - 2 Extra Queens,758,4.4,Toys & Games,PAWNSON CREATIONS,43.95,https://m.media-amazon.com/images/I/81-QoKoikVS._AC_SL1500_.jpg,True,OK (image/jpeg),
B0BX693VXJ,"A&A 15"" Magnetic Wooden Chess Set/Folding Board / 3"" King Height German Knight Staunton Chess Pieces/Mahogany & Maple Inlaid /2 Extra Queen/Board Games Chess Sets for Adults and Kids",722,4.7,Toys & Games,A&A,34.89,https://m.media-amazon.com/images/I/71YH3ZxDP4L._AC_SL1500_.jpg,True,OK (image/jpeg),
B0B75T4XJF,U.S. Chess Quiver Chess Set Combination - Triple Weighted,645,4.8,Sports & Outdoors,US Chess Federation,35.95,https://m.media-amazon.com/images/I/51+2hpAlXQL._AC_SL1000_.jpg,True,OK (image/jpeg),
B09SZ7HGNZ,"Beautiful Handcrafted Wooden Chess Set with Wooden Board and Handcrafted Chess Pieces - Gift idea Products (21"" (55 cm))",594,4.5,Toys & Games,Chess and games shop Muba,64.37,https://m.media-amazon.com/images/I/51sXbFbA3RL._AC_SL1000_.jpg,True,OK (image/jpeg),Wooden 21 Inch Beech & Birch Board With Felt Base - Carved Hornbeam & Sycamore Wood Chess Pieces - Compartment Inside The Board To Store Each Piece Great Gift For The Holidays
B08R3NB9T5,DINOBROS Magnetic Travel Chess Set with Folding Board Portable Chess Board Games Gift for Kids and Adults,491,4.4,Toys & Games,DINOBROS,13.99,https://m.media-amazon.com/images/I/61toNv1FqxL._AC_SL1500_.jpg,True,OK (image/jpeg),
B0C2T8XPJH,"A&A Magnetic Plastic Travel Chess Set w/Folding Chess Board, Educational Toys for Kids and Adults - 8""(20cm) * 8""(20cm) Board",477,4.5,Toys & Games,A&A,9.9,https://m.media-amazon.com/images/I/71OXE8fNFsL._AC_SL1500_.jpg,,not checked,"♖A&A Chess and Checkers are made of high quality environmentally friendly HIPS plastic material with fine texture and fine details, smooth touch and durable to use."
B0848DSPH9,"Mynnnat Professional Chess Set, Thick Tournament Roll up Board and Pieces with Travel Bag, Checkers and Unique Booklet for Chess Training - White & Green",334,4.6,Toys & Games,Mynnnat Gifts & Games,39.9,https://m.media-amazon.com/images/I/91WtBbqm6JL._AC_SL1500_.jpg,,not checked,
B00KLB2V5A,RADICALn 15 Inches Large Handmade Black and Fossil Coral Weighted Marble Full Chess Game Set Staunton and Ambassador Gift Style Marble Tournament Chess Sets,290,4.6,Toys & Games,Radicaln,125.0,https://m.media-amazon.com/images/I/81N9PuEJaoL._AC_SL1500_.jpg,,not checked,
B07F3MN4GQ,Miniature Chess Set and Table Magnet Chess Pieces 1:12 Dollhouse Accessories,277,4.6,Toys & Games,posee,18.99,https://m.media-amazon.com/images/I/711cCwUI89L._AC_SL1500_.jpg,,not checked,"100% Brand NewMaterial:MetalQTY:1 Set Color:As PicturedSize Approx.(LxWxH):4.8x4.8x6.1cm (1.9x1.9x2.4"")"
B08ZYRWWF5,Magnetic Wooden Chess Set for Kids and Adults – 15 inch Staunton Chess Set - Large Folding Chess Board Game Sets - Storage for Pieces | Wood Pawns - Unique E-Book for Beginner - 2 Extra Queens,262,4.6,Toys & Games,PAWNSON CREATIONS,59.89,https://m.media-amazon.com/images/I/91gEeOpRSPL._AC_SL1500_.jpg,,not checked,
B000IZYWF6,Classic Wood Chess Set,252,4.2,Toys & Games,John N. Hansen,20.26,https://m.media-amazon.com/images/I/91cumSbau6L._AC_SL1500_.jpg,,not checked,Product Description TM-3 Features: -Game sets in beautiful burlwood cases with storage.-With 10 1/2'' x 10 1/2'' folding inlaid wood chess board with 1 1/4'' sq.-King measures 2 1/2''. From the Manufa...
