parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B007EZMARK,Mage Wars Arena Board Game,95,4.4,Toys & Games,Arcane Wonders,19.95,https://m.media-amazon.com/images/I/71oezB0YP6L._AC_SL1200_.jpg,True,OK (image/jpeg),"Mage Wars Arena combines the best elements of customizable card games and tactical miniatures games to create a unique, fast-paced, strategic fight to the finish! Players take on the role of powerful ..."
B09M45H252,"24 Jumbo Replacement Checkers - Extra Red/Black Interlocking Stackable Plastic Pieces for Board Games, Checkboards, Missing Pieces, and Rec Rooms, 2.75"" Wide - Checkers, Draughts, and Tic Tac Toe",93,4.7,Toys & Games,MBGBrybelly,9.99,https://m.media-amazon.com/images/I/81aIR1keFvL._AC_SL1500_.jpg,True,OK (image/jpeg),
B00YCLV2R8,La Granja Board Game,87,4.7,Toys & Games,Stronghold Games,,https://m.media-amazon.com/images/I/81C4v0qlsTL._AC_SL1500_.jpg,True,OK (image/jpeg),"In La Granja, 1-4 players control small farms by the Alpaca pond near the village of Esporles on Mallorca. During the course of the game, the players try to steadily expand their farms into the mighty..."
B078MPKJMH,Fantasy Flight Games Jelly Monster Attack of the Board Game,81,4.2,Toys & Games,Libellud,13.99,https://m.media-amazon.com/images/I/913SbkD1KsL._AC_SL1500_.jpg,True,OK (image/jpeg),Take cover! A gigantic gelatinous alien is wreaking havoc in our city in Attack of the Jelly Monster from Libellud. The army is taking the matter into their own hands: a drone is slowly sucking up the...
B085CKCNX2,"EARTHLY HOME Tic Tac Toe Wooden Board Game, Table Toy Player Room Decor Tables Family XOXO Decorative Pieces Adult Rustic Kids Play Travel Backyard Discovery Night Level Drinking Romantic Decorations.",76,4.2,Toys & Games,EARTHLY HOME,15.99,https://m.media-amazon.com/images/I/61d-rbAmVfL._AC_SL1430_.jpg,True,OK (image/jpeg),
B07RX8RMV1,"Cardinal Games Marvel's Avengers Hero Rush Board Game, Multicolor, 6051278",74,4.3,Toys & Games,Spin Master,27.99,https://m.media-amazon.com/images/I/81D1G95ey3L._AC_SL1500_.jpg,True,OK (image/jpeg),"Any fan of the superheroes in the Marvel universe will love this fast-paced board game featuring Hulk, Black Panther, and Iron Man. It’s going to take speedy moves and fast thinking to be the ultimate..."
B093T8DZLR,12Pieces Glitter Token Counter Dice| Galaxy D6 Dice Set for MTG CCG Board Game,66,4.9,Toys & Games,QiAN SiMAi,4.99,https://m.media-amazon.com/images/I/71+b7-3B3uS._AC_SL1200_.jpg,True,OK (image/jpeg),
B08VWL2D1B,3-in-1 Wooden Chess Set Folding Chess Board Game Set Chess and Checkers Backgammon Portable Folding Travel Tabletop Game Travel Chess Set Board Games for Adults Teens,64,4.0,Toys & Games,Skylety,18.59,https://m.media-amazon.com/images/I/81VhNf2iXCL._AC_SL1500_.jpg,True,OK (image/jpeg),"Features:  Sturdy material: This chess set is made of durable wood with fine texture, gives you smooth touch feeling, light in weight, compact and portable, easy to use and store.  Multi-function ches..."
B01BL7T5RY,Village Board Game,61,4.4,Toys & Games,Stronghold Games,,https://m.media-amazon.com/images/I/91SyU1pENRL._AC_SL1500_.jpg,True,OK (image/jpeg),Village is a game full of tactical challenges. A smart and unique new action mechanism is responsible for keeping turns short and yet still tactically rich and full of difficult decisions. Also unique...
B00NP7E6U0,Coup Reformation Board Game,61,4.3,Toys & Games,Indie Boards and Cards,13.95,https://m.media-amazon.com/images/I/51dzv8-v9bL._AC_.jpg,True,OK (image/jpeg),"Driven by their successes, the Resistance has gained popular support and entire regions are in open rebellion. In a desperate attempt to stay in control, some government leaders are publicly supportin..."
B08W2D4ZHN,Cryo Board Game | Strategy Board Game | Board Game for Adults and Teens | Adventure Board Game | Ages 14 and up | 2 to 4 Players | Average Playtime 60-90 Minutes | Made by Z-Man Games,57,4.6,Toys & Games,Z-Man Games,48.0,https://m.media-amazon.com/images/I/81w1RaeROCS._AC_SL1500_.jpg,,not checked,"Tensions mount aboard your colony ship. An anonymous act of sabotage goes awry, and your vessel crash-lands on a frigid, uncharted planet in the distant reaches of space. Your only hope for survival i..."
