parent_asin,title,rating_number,average_rating,main_category,store,price,main_image_url,image_valid,image_note,description_preview
B07D5QZPQ7,"Magnetic Chess Set,12.6'' Square Golden/Silver Folding Chess Pieces Chessboard Travel Chess Set Hips Gifts for Kids and Adults Educational Toys",93,4.6,Toys & Games,ZCQS,,https://m.media-amazon.com/images/I/61xMJRGEsBL._AC_SL1001_.jpg,True,OK (image/jpeg),
B0BLTPT4TF,Electronic Chess Sets Vonset M986 Electronic Chess Board Chess Computer Magnetic Electronic Chess Game Travel Chess for Kids and Adults Toys Gift to Practice Chess Learn Chess for Beginners,86,4.1,Toys & Games,Vonset,89.99,https://m.media-amazon.com/images/I/6166y7NFjRL._AC_SL1500_.jpg,True,OK (image/jpeg),
B089GW4H8Z,GrowUpSmart Magnetic Chess Set - Size 16 inches - Folding Board - Extra Queens,82,4.3,Toys & Games,GrowUpSmart,,https://m.media-amazon.com/images/I/81iWteXbX7L._AC_SL1500_.jpg,True,OK (image/jpeg),"This classic strategy game will challenge the minds of girls and boys! See images above. It features a 16 inch, folding game board with magnets inside the board and the chess pieces. It also includes ..."
B01MTTXKHG,"House of Chess - Ringy Rosewood Galaxy Staunton Wooden Chess Set Pieces King Size 3"" + 15"" Flat Ringy Rosewood Chess Board",77,4.9,Toys & Games,House of Chess,174.95,https://m.media-amazon.com/images/I/61WrQjCvmAL._AC_SL1200_.jpg,True,OK (image/jpeg),
B000JMCKC0,WE Games Folding Magnetic Walnut Wood Chess Set - 10.5 inches,68,3.1,Toys & Games,WE Games,65.99,https://m.media-amazon.com/images/I/71e7GDT5oHL._AC_SL1500_.jpg,True,OK (image/jpeg),
B07Z32NR21,"Qualid Premium Triple Weighted Tournament Chess Set- for On The Go Tournament Play, Roll Up Board That is Transportable/Lays Flat, Includes Weighted Pieces, Quiver Bag, Annotation Book",66,4.7,Toys & Games,Qualid LLC,49.99,https://m.media-amazon.com/images/I/81n6IuA51eL._AC_SL1500_.jpg,True,OK (image/jpeg),"Qualid’s premium triple weighted tournament chess set allows you to perform at your best. With a reliable board and quality weighted pieces, you can bring this chess set wherever you go to compete. Tr..."
B08VWL2D1B,3-in-1 Wooden Chess Set Folding Chess Board Game Set Chess and Checkers Backgammon Portable Folding Travel Tabletop Game Travel Chess Set Board Games for Adults Teens,64,4.0,Toys & Games,Skylety,18.59,https://m.media-amazon.com/images/I/81VhNf2iXCL._AC_SL1500_.jpg,True,OK (image/jpeg),"Features:  Sturdy material: This chess set is made of durable wood with fine texture, gives you smooth touch feeling, light in weight, compact and portable, easy to use and store.  Multi-function ches..."
B0B584XFQV,"Lixada Wooden Chess Set,3 in 1 Portable Travel Chess Board Wood Chess Checkers Suit Backgammon Suit,Beginner Chess Set for Kids and Adults",57,3.8,Toys & Games,Lixada,9.48,https://m.media-amazon.com/images/I/71++Qmsd0zL._AC_SL1500_.jpg,True,OK (image/jpeg),
B09ZPPKF9H,LEAP Chess Set Roll up with Board 1MM Supper Thickness | Portable Mousepad Silicone Material | Chess Pieces and Carrtying Bag | Non-Slip Fold Back or Roll up Gift Chess Set,55,4.4,Toys & Games,LEAP,29.99,https://m.media-amazon.com/images/I/718nKIJ39sS._AC_SL1500_.jpg,True,OK (image/jpeg),
B0C6G97B37,"ZeJlo Mini Chess Set, 6.5"" Portable Folding Chess Board Magnetic Travel Chess Set for Kids and Adults",51,4.4,Toys & Games,ZeJlo,9.99,https://m.media-amazon.com/images/I/61vbby88zRL._AC_SL1500_.jpg,True,OK (image/jpeg),
B081S2W99D,"The Library Grandmaster Chess Set, Box, and Board Combination",49,4.4,AMAZON FASHION,The House of Staunton,299.01,https://m.media-amazon.com/images/I/716jNWt5boL._AC_UL1500_.jpg,,not checked,
B00U8APD4A,LEGO Kingdoms Set Chess Set (853373),46,4.3,Toys & Games,LEGO,378.98,https://m.media-amazon.com/images/I/71rH0GKdNoL._AC_SL1500_.jpg,,not checked,"Play chess with minifigures in regal LEGO Kingdoms’ style! Build all 32 royal characters, then the black and white baseplate board! Put your army in place with their weapons and accessories, then batt..."
B0999PLQXR,"Nekko Premium Wooden Chess Sets for Adults & Kids, Handcrafted Polished Wooden Chess Pieces, 12 Inch Foldable Chess Board, Easy Carry Wooden Chess Set",45,4.3,Toys & Games,Nekko,,https://m.media-amazon.com/images/I/91AEPWDzxXL._AC_SL1500_.jpg,,not checked,"Being chess players ourselves for many years now, we really believe that chess will have the same great impact on your life that it had on ours. In a digital word, chess has the power to reconnect peo..."
B00004YUYR,Cardinal Industries Wood Chess Set,42,4.1,Toys & Games,Cardinal,19.95,https://m.media-amazon.com/images/I/71c1Diy350L._AC_SL1500_.jpg,,not checked,Product Description Challenge someone to a game of Chess with this solid wood chess set. Perfect for a rainy day or anytime! Makes a great gift for the beginner. For 2 players. From the Manufacturer S...
B0776NJ92F,Dragon King Chess Set,39,3.7,Toys & Games,Dragon King,,https://m.media-amazon.com/images/I/71FCm-bjSHL._AC_SL1000_.jpg,,not checked,Have your inner warrior awakened! Enjoy a very interactive chess game anywhere with this Medieval Dragon Chess Set with Two-Tier Chess Board!  A two-tier chess board with a sturdy thick glass board pe...
B0B1LJHYQF,"LEAP Magnetic Wooden Chess Sets 15 inch Foldable Chess Board 3 inch King Height Chess Pieces Travel Chess Sets, Chess Board Set with 2 Extra Pieces and Storage Slots for Adults",37,4.7,Toys & Games,LEAP,32.99,https://m.media-amazon.com/images/I/71cbZhV5n0L._AC_SL1500_.jpg,,not checked,
B0798QJL41,15 Inches White & Green Onyx Top Home Decor Ideas Classic Board Games Chess Set - Handmade Marble Decor Chess Board Game Set - Non Othello Game - Non Backgammon Board Game - Non Wooden,37,4.8,Toys & Games,LAVISH CHESS SETS,115.0,https://m.media-amazon.com/images/I/71cJR9V99tL._AC_SL1500_.jpg,,not checked,You’re by no means that elderly to be a gamer once more. Its time to deliver an exceptional marble home decorator absolutely hand made White and Green chess board game. This modern chess home decor is...
